"","tp","AOO","occupancy_area","occupancy_Ncells","relative_occupancy_area","relative_occupancy_Ncells","occupancy_area_scaled","occupancy_Ncells_scaled","relative_occupancy_area_scaled","relative_occupancy_Ncells_scaled","AOO_scaled"
"125",1,1.6,1.6,-0.163,1.654,1.561,0.853,0.907,0.872,0.883,0.853
"126",1,1.251,1.251,-0.504,1.257,1.162,0.666,0.713,0.663,0.664,0.666
"127",1,1.32,1.32,-0.462,1.318,1.198,0.703,0.736,0.695,0.684,0.703
"128",1,1.351,1.351,-0.404,1.358,1.264,0.72,0.769,0.716,0.72,0.72
"129",1,1.608,1.608,-0.149,1.607,1.494,0.857,0.915,0.847,0.847,0.857
"130",1,0.372,0.372,-1.364,0.365,0.307,0.195,0.222,0.192,0.194,0.195
"131",1,1.216,1.216,-0.563,1.214,1.103,0.647,0.679,0.64,0.632,0.647
"132",1,0.113,0.113,-1.614,0.102,0.056,0.056,0.079,0.053,0.055,0.056
"133",1,0.632,0.632,-1.11,0.625,0.562,0.335,0.367,0.329,0.334,0.335
"134",1,0.092,0.092,-1.63,0.075,0.03,0.045,0.07,0.039,0.041,0.045
"135",1,0.16,0.16,-1.602,0.16,0.118,0.081,0.086,0.084,0.09,0.081
"136",1,0.472,0.472,-1.271,0.465,0.399,0.249,0.274,0.245,0.244,0.249
"137",1,1.396,1.396,-0.386,1.401,1.278,0.744,0.78,0.738,0.728,0.744
"138",1,0.321,0.321,-1.405,0.314,0.266,0.168,0.198,0.165,0.171,0.168
"139",1,0.711,0.711,-1.042,0.709,0.624,0.377,0.406,0.373,0.368,0.377
"140",1,0.872,0.872,-0.828,0.871,0.815,0.463,0.528,0.459,0.473,0.463
"141",1,1.798,1.798,0,1.746,1.599,0.959,1,0.92,0.904,0.959
"142",1,1.148,1.148,-0.585,1.144,1.072,0.611,0.666,0.603,0.614,0.611
"143",1,1.022,1.022,-0.692,1.02,0.972,0.543,0.605,0.538,0.559,0.543
"144",1,0.419,0.419,-1.311,0.412,0.36,0.22,0.252,0.216,0.222,0.22
"145",1,0.701,0.701,-1.038,0.694,0.633,0.371,0.407,0.365,0.373,0.371
"146",1,0.511,0.511,-1.218,0.503,0.453,0.269,0.305,0.265,0.274,0.269
"147",1,0.021,0.021,-1.719,0.004,-0.021,0.007,0.019,0.002,0.013,0.007
"148",1,0.049,0.049,-1.716,0.042,0.007,0.022,0.021,0.022,0.028,0.022
"149",1,1.628,1.628,-0.148,1.626,1.508,0.868,0.915,0.857,0.854,0.868
"150",1,0.426,0.426,-1.308,0.42,0.363,0.224,0.253,0.221,0.224,0.224
"151",1,0.073,0.073,-1.709,0.056,0.031,0.035,0.025,0.029,0.042,0.035
"152",1,1.837,1.837,0,1.759,1.773,0.98,1,0.927,1,0.98
"153",1,0.936,0.936,-0.822,0.935,0.84,0.498,0.531,0.492,0.487,0.498
"154",1,0.305,0.305,-1.417,0.298,0.254,0.159,0.192,0.157,0.164,0.159
"155",1,1.295,1.295,-0.449,1.294,1.216,0.69,0.744,0.682,0.694,0.69
"156",1,0.946,0.946,-0.816,0.945,0.846,0.503,0.534,0.498,0.49,0.503
"157",1,0.585,0.585,-1.147,0.579,0.524,0.309,0.346,0.305,0.313,0.309
"158",1,0.138,0.138,-1.585,0.127,0.085,0.069,0.095,0.066,0.071,0.069
"159",1,1.715,1.715,-0.15,1.687,1.584,0.915,0.914,0.889,0.896,0.915
"160",1,1.612,1.612,-0.168,1.619,1.513,0.859,0.904,0.854,0.857,0.859
"161",1,1.213,1.213,-0.547,1.213,1.109,0.646,0.688,0.639,0.635,0.646
"162",1,1.012,1.012,-0.759,1.012,0.902,0.538,0.567,0.533,0.521,0.538
"163",1,0.061,0.061,-1.728,0.037,-0.005,0.029,0.014,0.019,0.022,0.029
"164",1,0.026,0.026,-1.719,0.005,-0.019,0.01,0.019,0.002,0.014,0.01
"165",1,0.072,0.072,-1.651,0.064,0.02,0.034,0.058,0.033,0.036,0.034
"166",1,0.018,0.018,-1.721,0.002,-0.023,0.006,0.018,0.001,0.012,0.006
"167",1,0.122,0.122,-1.601,0.115,0.07,0.061,0.087,0.06,0.063,0.061
"168",1,0.082,0.082,-1.701,0.065,0.04,0.04,0.029,0.034,0.046,0.04
"169",1,0.015,0.015,-1.752,0.01,-0.027,0.004,0,0.005,0.009,0.004
"170",1,0.04,0.04,-1.681,0.023,-0.02,0.017,0.041,0.011,0.013,0.017
"171",1,0.153,0.153,-1.572,0.146,0.099,0.078,0.103,0.077,0.079,0.078
"172",1,0.211,0.211,-1.509,0.204,0.162,0.109,0.139,0.107,0.114,0.109
"173",1,0.856,0.856,-0.892,0.855,0.77,0.454,0.491,0.45,0.448,0.454
"174",1,0.073,0.073,-1.658,0.056,0.003,0.035,0.054,0.029,0.026,0.035
"175",1,0.023,0.023,-1.716,0.007,-0.018,0.008,0.02,0.003,0.014,0.008
"176",1,0.04,0.04,-1.684,0.029,-0.019,0.017,0.039,0.014,0.014,0.017
"177",1,0.025,0.025,-1.719,0.002,-0.022,0.009,0.019,0.001,0.012,0.009
"178",1,0.055,0.055,-1.668,0.037,-0.008,0.025,0.048,0.019,0.02,0.025
"179",1,1.348,1.348,-0.336,1.345,1.325,0.718,0.808,0.709,0.754,0.718
"180",1,0.034,0.034,-1.71,0.011,-0.014,0.014,0.024,0.005,0.017,0.014
"181",1,0.036,0.036,-1.733,0.032,-0.001,0.015,0.011,0.016,0.024,0.015
"182",1,0.942,0.942,-0.756,0.943,0.905,0.5,0.568,0.497,0.522,0.5
"183",1,0.132,0.132,-1.591,0.12,0.074,0.066,0.092,0.063,0.065,0.066
"184",1,0.055,0.055,-1.73,0.043,0.022,0.025,0.013,0.022,0.037,0.025
"185",1,1.499,1.499,-0.269,1.488,1.401,0.799,0.846,0.784,0.795,0.799
"186",1,0.246,0.246,-1.48,0.239,0.191,0.127,0.155,0.125,0.13,0.127
"187",1,1.394,1.394,-0.35,1.405,1.324,0.743,0.8,0.74,0.753,0.743
"188",1,0.621,0.621,-1.132,0.618,0.533,0.328,0.354,0.325,0.318,0.328
"189",1,1.188,1.188,-0.563,1.186,1.097,0.632,0.679,0.625,0.628,0.632
"190",1,0.834,0.834,-0.909,0.834,0.753,0.443,0.481,0.439,0.439,0.443
"191",1,1.718,1.718,-0.1,1.689,1.633,0.916,0.943,0.89,0.923,0.916
"192",1,1.371,1.371,-0.218,1.371,1.439,0.73,0.876,0.723,0.817,0.73
"193",1,0.042,0.042,-1.705,0.021,-0.003,0.018,0.027,0.011,0.023,0.018
"194",1,0.07,0.07,-1.683,0.07,0.037,0.033,0.039,0.036,0.045,0.033
"195",1,0.385,0.385,-1.364,0.375,0.306,0.202,0.222,0.197,0.193,0.202
"196",1,1.513,1.513,-0.243,1.514,1.425,0.806,0.862,0.798,0.809,0.806
"197",1,0.137,0.137,-1.618,0.137,0.102,0.069,0.077,0.072,0.081,0.069
"198",1,0.039,0.039,-1.715,0.039,0.005,0.017,0.021,0.02,0.027,0.017
"199",1,0.427,0.427,-1.305,0.42,0.366,0.225,0.255,0.221,0.226,0.225
"200",1,0.501,0.501,-1.225,0.494,0.446,0.264,0.301,0.26,0.27,0.264
