sp_atlas.adapted1;RL_Category
Turdus cardis;LC
Turdus celaenops;VU
Turdus chrysolaus;LC
Turdus iliacus;NT
Turdus merula;LC
Turdus merula;LC
Turdus merula;LC
Turdus merula;LC
Turdus migratorius;LC
Turdus migratorius;LC
Turdus pallidus;LC
Turdus philomelos;LC
Turdus pilaris;LC
Turdus torquatus;LC
Turdus viscivorus;LC
Turnix suscitator;LC
Tyrannus tyrannus;LC
Tyto alba;LC
Tyto alba;LC
Tyto alba;LC
Tyto alba;LC
Tyto alba;LC
Upupa epops;LC
Upupa epops;LC
Uragus sibiricus;#N/A
Uria aalge;LC
Uria lomvia;LC
Urosphena squameiceps;LC
Vanellus cinereus;LC
Vanellus gregarius;CR
Vanellus leucurus;LC
Vanellus spinosus;LC
Vanellus vanellus;NT
Vermivora chrysoptera;NT
Vermivora peregrina;#N/A
Vermivora pinus;#N/A
Vermivora ruficapilla;#N/A
Vireo flavifrons;LC
Vireo gilvus;LC
Vireo griseus;LC
Vireo olivaceus;LC
Vireo olivaceus;LC
Vireo olivaceus;LC
Vireo philadelphicus;LC
Vireo solitarius;LC
Wilsonia canadensis;#N/A
Wilsonia citrina;#N/A
Wilsonia pusilla;#N/A
Xema sabini;LC
Xenus cinereus;LC
Zapornia parva;LC
Zapornia pusilla;LC
Zenaida macroura;LC
Zonotrichia albicollis;LC
Zoothera aurea;LC
Zoothera aurea;LC
Zoothera dauma;LC
Zoothera dauma;LC
Zoothera dauma;LC
Zoothera dauma;LC
Zoothera sibirica;#N/A
Zosterops japonicus;LC
Zosterops japonicus;LC
Zosterops japonicus;LC
Zosterops japonicus;LC
