"","x"
"528","Nycticorax nycticorax"
"529","Oenanthe deserti"
"530","Oenanthe finschii"
"531","Oenanthe hispanica"
"532","Oenanthe isabellina"
"533","Oenanthe leucura"
"534","Oenanthe oenanthe"
"535","Oenanthe pleschanka"
"536","Onychoprion fuscatus"
"537","Oporornis formosus"
"538","Oporornis philadelphia"
"539","Oriolus oriolus"
"540","Otis tarda"
"541","Otus elegans"
"542","Otus lempiji"
"543","Otus scops"
"544","Otus sunia"
"545","Oxyura jamaicensis"
"546","Oxyura leucocephala"
"547","Pagophila eburnea"
"548","Pandion haliaetus"
"549","Panurus biarmicus"
"550","Parula americana"
"551","Parus ater"
"552","Parus caeruleus"
"553","Parus cristatus"
"554","Parus major"
"555","Parus minor"
"556","Parus montanus"
"557","Parus palustris"
"558","Passer domesticus"
"559","Passer hispaniolensis"
"560","Passer italiae"
"561","Passer montanus"
"562","Passer rutilans"
"563","Passerculus sandwichensis"
"564","Passerina caerulea"
"565","Passerina cyanea"
"566","Pastor roseus"
"567","Pelagodroma marina"
"568","Pelecanus crispus"
"569","Pelecanus onocrotalus"
"570","Perdix perdix"
"571","Pericrocotus divaricatus"
"572","Periparus ater"
"573","Perisoreus canadensis"
"574","Perisoreus infaustus"
"575","Pernis apivorus"
"576","Pernis ptilorhynchus"
"577","Petrochelidon pyrrhonota"
"578","Petronia petronia"
"579","Phalacrocorax auritus"
"580","Phalacrocorax capillatus"
"581","Phalacrocorax carbo"
"582","Phalacrocorax pelagicus"
"583","Phalaropus fulicarius"
"584","Phalaropus lobatus"
"585","Phasianus colchicus"
"586","Pheucticus ludovicianus"
"587","Phoenicopterus roseus"
"588","Phoenicurus auroreus"
"589","Phoenicurus ochruros"
"590","Phoenicurus phoenicurus"
"591","Phylloscopus bonelli"
"592","Phylloscopus borealis"
"593","Phylloscopus borealoides"
"594","Phylloscopus collybita"
"595","Phylloscopus coronatus"
"596","Phylloscopus ibericus"
"597","Phylloscopus ijimae"
"598","Phylloscopus inornatus"
"599","Phylloscopus nitidus"
"600","Phylloscopus orientalis"
"601","Phylloscopus sibilatrix"
"602","Phylloscopus sindianus"
"603","Phylloscopus trochiloides"
"604","Phylloscopus trochilus"
"605","Phylloscopus xanthodryas"
"606","Pica pica"
"607","Picoides arcticus"
"608","Picoides dorsalis"
"609","Picoides pubescens"
"610","Picoides tridactylus"
"611","Picoides villosus"
"612","Picus awokera"
"613","Picus canus"
"614","Picus sharpei"
"615","Picus viridis"
"616","Pinicola enucleator"
"617","Pipilo erythrophthalmus"
"618","Piranga olivacea"
"619","Piranga rubra"
"620","Pitta nympha"
"621","Platalea leucorodia"
"622","Plectrophenax nivalis"
"623","Plegadis falcinellus"
"624","Pluvialis apricaria"
"625","Pluvialis squatarola"
"626","Podiceps auritus"
"627","Podiceps cristatus"
"628","Podiceps grisegena"
"629","Podiceps nigricollis"
"630","Podilymbus podiceps"
"631","Poecile atricapillus"
"632","Poecile cinctus"
"633","Poecile hudsonicus"
"634","Poecile lugubris"
"635","Poecile montanus"
"636","Poecile palustris"
"637","Poecile varius"
"638","Polioptila caerulea"
"639","Polysticta stelleri"
"640","Pooecetes gramineus"
"641","Porphyrio porphyrio"
"642","Porzana carolina"
"643","Porzana fusca"
"644","Porzana parva"
"645","Porzana porzana"
"646","Progne subis"
"647","Protonotaria citrea"
"648","Prunella atrogularis"
"649","Prunella collaris"
"650","Prunella modularis"
"651","Prunella montanella"
"652","Prunella rubida"
"653","Psittacula krameri"
"654","Pterocles alchata"
"655","Pterocles orientalis"
"656","Pterodroma deserta"
"657","Pterodroma madeira"
"658","Ptyonoprogne rupestris"
"659","Puffinus lherminieri"
"660","Puffinus mauretanicus"
"661","Puffinus puffinus"
"662","Puffinus yelkouan"
"663","Pycnonotus sinensis"
"664","Pyrrhocorax graculus"
"665","Pyrrhocorax pyrrhocorax"
"666","Pyrrhula murina"
"667","Pyrrhula pyrrhula"
"668","Quiscalus major"
"669","Quiscalus quiscula"
"670","Rallina eurizonoides"
"671","Rallus aquaticus"
"672","Rallus elegans"
"673","Rallus limicola"
"674","Rallus longirostris"
"675","Recurvirostra avosetta"
"676","Regulus calendula"
"677","Regulus ignicapilla"
"678","Regulus ignicapillus"
"679","Regulus madeirensis"
"680","Regulus regulus"
"681","Regulus satrapa"
"682","Remiz pendulinus"
"683","Riparia riparia"
"684","Rissa tridactyla"
"685","Rostratula benghalensis"
"686","Rynchops niger"
"687","Sapheopipo noguchii"
"688","Saxicola rubetra"
"689","Saxicola torquata"
"690","Saxicola torquatus"
"691","Sayornis phoebe"
"692","Scolopax minor"
"693","Scolopax rusticola"
"694","Seiurus aurocapilla"
"695","Seiurus motacilla"
"696","Seiurus noveboracensis"
"697","Serinus canaria"
"698","Serinus pusillus"
"699","Serinus serinus"
"700","Setophaga ruticilla"
"701","Sialia sialis"
"702","Sitta canadensis"
"703","Sitta carolinensis"
"704","Sitta europaea"
"705","Sitta krueperi"
"706","Sitta neumayer"
"707","Sitta whiteheadi"
"708","Somateria mollissima"
"709","Somateria spectabilis"
"710","Spatula clypeata"
"711","Spatula querquedula"
"712","Sphyrapicus varius"
"713","Spilopelia senegalensis"
"714","Spilornis cheela"
"715","Spinus pinus"
