"","sp_atlas_adapted","verbatim_name","sp_names_atlas_adapted_keep","sp_BirdTree","sp_BirdLife","sp_eBird","sp_group_eBird"
"308","Cyanistes teneriffae","Cyanistes teneriffae","Cyanistes teneriffae","Parus teneriffae",NA,"Cyanistes teneriffae","Cyanistes teneriffae"
"309","Cyanocitta cristata","Cyanocitta cristata","Cyanocitta cristata","Cyanocitta cristata","Cyanocitta cristata","Cyanocitta cristata","Cyanocitta cristata"
"310","Cyanopica cooki","Cyanopica cooki","Cyanopica cooki","Cyanopica cyanus",NA,"Cyanopica cooki","Cyanopica cooki"
"311","Cyanopica cyanus","Cyanopica cyanus","Cyanopica cyanus","Cyanopica cyanus","Cyanopica cooki","Cyanopica cyanus","Cyanopica cyanus"
"312","Cyanopica cyanus","Cyanopica cyanus","Cyanopica cyanus","Cyanopica cyanus","Cyanopica cyanus","Cyanopica cyanus","Cyanopica cyanus"
"313","Cyanopica cyanus","Cyanopica cyanus","Cyanopica cyanus","Cyanopica cyanus",NA,"Cyanopica cyanus","Cyanopica cyanus"
"314","Cyanoptila cyanomelana","Cyanoptila cyanomelana","Cyanoptila cyanomelana","Cyanoptila cyanomelana","Cyanoptila cyanomelana","Cyanoptila cyanomelana","Cyanoptila cyanomelana"
"315","Cyanoptila cyanomelana","Cyanoptila cyanomelana","Cyanoptila cyanomelana","Cyanoptila cyanomelana","Cyanoptila cumatilis","Cyanoptila cyanomelana","Cyanoptila cyanomelana"
"316","Cyanoptila cyanomelana","Cyanoptila cyanomelana","Cyanoptila cyanomelana","Cyanoptila cyanomelana",NA,"Cyanoptila cyanomelana","Cyanoptila cyanomelana"
"317","Cygnus columbianus","Cygnus columbianus","Cygnus columbianus","Cygnus columbianus","Cygnus columbianus","Cygnus columbianus","Cygnus columbianus"
"318","Cygnus cygnus","Cygnus cygnus","Cygnus cygnus","Cygnus cygnus","Cygnus cygnus","Cygnus cygnus","Cygnus cygnus"
"319","Cygnus olor","Cygnus olor","Cygnus olor","Cygnus olor","Cygnus olor","Cygnus olor","Cygnus olor"
"320","Delichon dasypus","Delichon dasypus","Delichon dasypus","Delichon dasypus","Delichon dasypus","Delichon dasypus","Delichon dasypus"
"321","Delichon urbicum","Delichon urbica","Delichon urbicum","Delichon urbicum","Delichon lagopodum","Delichon urbicum","Delichon urbicum urbicum/meridionale"
"322","Delichon urbicum","Delichon urbica","Delichon urbicum","Delichon urbicum","Delichon urbicum","Delichon urbicum","Delichon urbicum urbicum/meridionale"
"323","Delichon urbicum","Delichon urbicum","Delichon urbicum","Delichon urbicum","Delichon lagopodum","Delichon urbicum","Delichon urbicum urbicum/meridionale"
