"","sp_atlas_adapted","verbatim_name","sp_names_atlas_adapted_keep","sp_BirdTree","sp_BirdLife","sp_eBird","sp_group_eBird"
"442","Garrulus glandarius","Garrulus glandarius","Garrulus glandarius","Garrulus glandarius","Garrulus leucotis","Garrulus glandarius","Garrulus glandarius"
"443","Garrulus glandarius","Garrulus glandarius","Garrulus glandarius","Garrulus glandarius","Garrulus glandarius","Garrulus glandarius","Garrulus glandarius"
"444","Garrulus lidthi","Garrulus lidthi","Garrulus lidthi","Garrulus lidthi","Garrulus lidthi","Garrulus lidthi","Garrulus lidthi"
"445","Gavia arctica","Gavia arctica","Gavia arctica","Gavia arctica","Gavia arctica","Gavia arctica","Gavia arctica"
"446","Gavia immer","Gavia immer","Gavia immer","Gavia immer","Gavia immer","Gavia immer","Gavia immer"
"447","Gavia stellata","Gavia stellata","Gavia stellata","Gavia stellata","Gavia stellata","Gavia stellata","Gavia stellata"
"448","Gelochelidon nilotica","Gelochelidon nilotica","Gelochelidon nilotica","Sterna nilotica",NA,"Gelochelidon nilotica","Gelochelidon nilotica [nilotica Group]"
"449","Geothlypis trichas","Geothlypis trichas","Geothlypis trichas","Geothlypis trichas","Geothlypis trichas","Geothlypis trichas","Geothlypis trichas"
"450","Glareola maldivarum","Glareola maldivarum","Glareola maldivarum","Glareola maldivarum","Glareola maldivarum","Glareola maldivarum","Glareola maldivarum"
"451","Glareola nordmanni","Glareola nordmanni","Glareola nordmanni","Glareola nordmanni","Glareola nordmanni","Glareola nordmanni","Glareola nordmanni"
"452","Glareola pratincola","Glareola pratincola","Glareola pratincola","Glareola pratincola","Glareola pratincola","Glareola pratincola","Glareola pratincola"
"453","Glaucidium passerinum","Glaucidium passerinum","Glaucidium passerinum","Glaucidium passerinum","Glaucidium passerinum","Glaucidium passerinum","Glaucidium passerinum"
"454","Gorsachius goisagi","Gorsachius goisagi","Gorsachius goisagi","Gorsachius goisagi","Gorsachius goisagi","Gorsachius goisagi","Gorsachius goisagi"
"455","Grus grus","Grus grus","Grus grus","Grus grus","Grus grus","Grus grus","Grus grus"
"456","Grus japonensis","Grus japonensis","Grus japonensis","Grus japonensis","Grus japonensis","Grus japonensis","Grus japonensis"
"457","Gulosus aristotelis","Gulosus aristotelis","Gulosus aristotelis","Phalacrocorax aristotelis",NA,"Gulosus aristotelis","Gulosus aristotelis"
"458","Gypaetus barbatus","Gypaetus barbatus","Gypaetus barbatus","Gypaetus barbatus","Gypaetus barbatus","Gypaetus barbatus","Gypaetus barbatus"
"459","Gyps fulvus","Gyps fulvus","Gyps fulvus","Gyps fulvus","Gyps fulvus","Gyps fulvus","Gyps fulvus"
"460","Haematopus ostralegus","Haematopus ostralegus","Haematopus ostralegus","Haematopus ostralegus","Haematopus ostralegus","Haematopus ostralegus","Haematopus ostralegus"
"461","Haematopus palliatus","Haematopus palliatus","Haematopus palliatus","Haematopus palliatus","Haematopus palliatus","Haematopus palliatus","Haematopus palliatus"
"462","Halcyon coromanda","Halcyon coromanda","Halcyon coromanda","Halcyon coromanda","Halcyon coromanda","Halcyon coromanda","Halcyon coromanda"
"463","Haliaeetus albicilla","Haliaeetus albicilla","Haliaeetus albicilla","Haliaeetus albicilla","Haliaeetus albicilla","Haliaeetus albicilla","Haliaeetus albicilla"
"464","Haliaeetus leucocephalus","Haliaeetus leucocephalus","Haliaeetus leucocephalus","Haliaeetus leucocephalus","Haliaeetus leucocephalus","Haliaeetus leucocephalus","Haliaeetus leucocephalus"
"465","Helmitheros vermivorum","Helmitheros vermivorum","Helmitheros vermivorum","Helmitheros vermivorum","Helmitheros vermivorum","Helmitheros vermivorum","Helmitheros vermivorum"
"466","Hieraaetus pennatus","Hieraaetus pennatus","Hieraaetus pennatus","Hieraaetus pennatus","Hieraaetus pennatus","Hieraaetus pennatus","Hieraaetus pennatus"
"467","Hierococcyx hyperythrus","Hierococcyx hyperythrus","Hierococcyx hyperythrus","Cuculus fugax",NA,"Hierococcyx hyperythrus","Hierococcyx hyperythrus"
"468","Himantopus himantopus","Himantopus himantopus","Himantopus himantopus","Himantopus mexicanus","Himantopus himantopus","Himantopus mexicanus","Himantopus mexicanus"
"469","Himantopus himantopus","Himantopus himantopus","Himantopus himantopus","Himantopus leucocephalus","Himantopus himantopus","Himantopus leucocephalus","Himantopus leucocephalus"
"470","Himantopus himantopus","Himantopus himantopus","Himantopus himantopus","Himantopus himantopus","Himantopus himantopus","Himantopus himantopus","Himantopus himantopus"
"471","Hippolais icterina","Hippolais icterina","Hippolais icterina","Hippolais icterina","Hippolais icterina","Hippolais icterina","Hippolais icterina"
"472","Hippolais olivetorum","Hippolais olivetorum","Hippolais olivetorum","Hippolais olivetorum","Hippolais olivetorum","Hippolais olivetorum","Hippolais olivetorum"
"473","Hippolais polyglotta","Hippolais polyglotta","Hippolais polyglotta","Hippolais polyglotta","Hippolais polyglotta","Hippolais polyglotta","Hippolais polyglotta"
"474","Hirundapus caudacutus","Hirundapus caudacutus","Hirundapus caudacutus","Hirundapus caudacutus","Hirundapus caudacutus","Hirundapus caudacutus","Hirundapus caudacutus"
"475","Hirundo daurica","Hirundo daurica","Hirundo daurica",NA,"Cecropis hyperythra","Cecropis hyperythra","Cecropis hyperythra"
"476","Hirundo daurica","Hirundo daurica","Hirundo daurica",NA,"Cecropis daurica","Cecropis daurica","Cecropis daurica"
"477","Hirundo rustica","Hirundo rustica","Hirundo rustica","Hirundo rustica","Hirundo rustica","Hirundo rustica","Hirundo rustica"
"478","Hirundo tahitica","Hirundo tahitica","Hirundo tahitica","Hirundo tahitica","Hirundo tahitica","Hirundo tahitica","Hirundo tahitica tahitica"
"479","Hirundo tahitica","Hirundo tahitica","Hirundo tahitica","Hirundo tahitica","Hirundo javanica","Hirundo tahitica","Hirundo tahitica tahitica"
"480","Histrionicus histrionicus","Histrionicus histrionicus","Histrionicus histrionicus","Histrionicus histrionicus","Histrionicus histrionicus","Histrionicus histrionicus","Histrionicus histrionicus"
"481","Hydrobates castro","Hydrobates castro","Hydrobates castro","Oceanodroma castro",NA,"Hydrobates castro","Hydrobates castro"
"482","Hydrobates leucorhous","Hydrobates leucorhous","Hydrobates leucorhous","Oceanodroma leucorhoa",NA,"Hydrobates leucorhous","Hydrobates leucorhous"
"483","Hydrobates pelagicus","Hydrobates pelagicus","Hydrobates pelagicus","Hydrobates pelagicus","Hydrobates pelagicus","Hydrobates pelagicus","Hydrobates pelagicus"
"484","Hydrocoloeus minutus","Hydrocoloeus minutus","Hydrocoloeus minutus","Larus minutus",NA,"Hydrocoloeus minutus","Hydrocoloeus minutus"
"485","Hydroprogne caspia","Hydropogne caspia","Hydroprogne caspia","Sterna caspia",NA,"Hydroprogne caspia","Hydroprogne caspia"
"486","Hydroprogne caspia","Hydroprogne caspia","Hydroprogne caspia","Sterna caspia",NA,"Hydroprogne caspia","Hydroprogne caspia"
"487","Hylocichla mustelina","Hylocichla mustelina","Hylocichla mustelina","Hylocichla mustelina","Hylocichla mustelina","Hylocichla mustelina","Hylocichla mustelina"
"488","Hypsipetes amaurotis","Hypsipetes amaurotis","Hypsipetes amaurotis","Ixos amaurotis",NA,"Hypsipetes amaurotis","Hypsipetes amaurotis"
"489","Icteria virens","Icteria virens","Icteria virens","Icteria virens","Icteria virens","Icteria virens","Icteria virens"
"490","Icterus galbula","Icterus galbula","Icterus galbula","Icterus galbula","Icterus galbula","Icterus galbula","Icterus galbula"
"491","Icterus spurius","Icterus spurius","Icterus spurius","Icterus spurius","Icterus fuertesi","Icterus spurius","Icterus spurius spurius"
"492","Icterus spurius","Icterus spurius","Icterus spurius","Icterus spurius","Icterus spurius","Icterus spurius","Icterus spurius spurius"
"493","Iduna caligata","Iduna caligata","Iduna caligata","Hippolais caligata",NA,"Iduna caligata","Iduna caligata"
"494","Iduna opaca","Iduna opaca","Iduna opaca","Hippolais opaca",NA,"Iduna opaca","Iduna opaca"
"495","Iduna pallida","Iduna pallida","Iduna pallida","Hippolais pallida",NA,"Iduna pallida","Iduna pallida"
"496","Ixobrychus cinnamomeus","Ixobrychus cinnamomeus","Ixobrychus cinnamomeus","Ixobrychus cinnamomeus","Ixobrychus cinnamomeus","Ixobrychus cinnamomeus","Ixobrychus cinnamomeus"
"497","Ixobrychus exilis","Ixobrychus exilis","Ixobrychus exilis","Ixobrychus exilis","Ixobrychus exilis","Ixobrychus exilis","Ixobrychus exilis"
"498","Ixobrychus minutus","Ixobrychus minutus","Ixobrychus minutus","Ixobrychus minutus","Ixobrychus dubius","Ixobrychus minutus","Ixobrychus minutus"
"499","Ixobrychus minutus","Ixobrychus minutus","Ixobrychus minutus","Ixobrychus minutus","Ixobrychus minutus","Ixobrychus minutus","Ixobrychus minutus"
"500","Ixobrychus sinensis","Ixobrychus sinensis","Ixobrychus sinensis","Ixobrychus sinensis","Ixobrychus sinensis","Ixobrychus sinensis","Ixobrychus sinensis"
"501","Junco hyemalis","Junco hyemalis","Junco hyemalis","Junco hyemalis","Junco hyemalis","Junco hyemalis","Junco hyemalis"
"502","Jynx torquilla","Jynx torquilla","Jynx torquilla","Jynx torquilla","Jynx torquilla","Jynx torquilla","Jynx torquilla"
"503","Lagopus lagopus","Lagopus lagopus","Lagopus lagopus","Lagopus lagopus","Lagopus lagopus","Lagopus lagopus","Lagopus lagopus"
"504","Lagopus muta","Lagopus muta","Lagopus muta","Lagopus muta","Lagopus muta","Lagopus muta","Lagopus muta"
"505","Lanius bucephalus","Lanius bucephalus","Lanius bucephalus","Lanius bucephalus","Lanius bucephalus","Lanius bucephalus","Lanius bucephalus"
"506","Lanius collurio","Lanius collurio","Lanius collurio","Lanius collurio","Lanius collurio","Lanius collurio","Lanius collurio"
"507","Lanius cristatus","Lanius cristatus","Lanius cristatus","Lanius cristatus","Lanius cristatus","Lanius cristatus","Lanius cristatus"
"508","Lanius excubitor","Lanius excubitor","Lanius excubitor","Lanius excubitor","Lanius borealis","Lanius excubitor","Lanius excubitor"
"509","Lanius excubitor","Lanius excubitor","Lanius excubitor","Lanius excubitor","Lanius excubitor","Lanius excubitor","Lanius excubitor"
"510","Lanius ludovicianus","Lanius ludovicianus","Lanius ludovicianus","Lanius ludovicianus","Lanius ludovicianus","Lanius ludovicianus","Lanius ludovicianus"
"511","Lanius meridionalis","Lanius meridionalis","Lanius meridionalis","Lanius meridionalis","Lanius meridionalis","Lanius meridionalis","Lanius meridionalis"
"512","Lanius minor","Lanius minor","Lanius minor","Lanius minor","Lanius minor","Lanius minor","Lanius minor"
"513","Lanius nubicus","Lanius nubicus","Lanius nubicus","Lanius nubicus","Lanius nubicus","Lanius nubicus","Lanius nubicus"
"514","Lanius senator","Lanius senator","Lanius senator","Lanius senator","Lanius senator","Lanius senator","Lanius senator"
"515","Lanius tigrinus","Lanius tigrinus","Lanius tigrinus","Lanius tigrinus","Lanius tigrinus","Lanius tigrinus","Lanius tigrinus"
"516","Larus argentatus","Larus argentatus","Larus argentatus","Larus argentatus","Larus smithsonianus","Larus argentatus","Larus argentatus argentatus/argenteus"
"517","Larus argentatus","Larus argentatus","Larus argentatus","Larus argentatus","Larus argentatus","Larus argentatus","Larus argentatus argentatus/argenteus"
"518","Larus argentatus","Larus argentatus","Larus argentatus","Larus argentatus",NA,"Larus argentatus","Larus argentatus argentatus/argenteus"
"519","Larus armenicus","Larus armenicus","Larus armenicus","Larus armenicus","Larus armenicus","Larus armenicus","Larus armenicus"
"520","Larus audouinii","Larus audouinii","Larus audouinii","Larus audouinii","Larus audouinii","Ichthyaetus audouinii","Ichthyaetus audouinii"
"521","Larus cachinnans","Larus cachinnans","Larus cachinnans","Larus cachinnans","Larus cachinnans","Larus cachinnans","Larus cachinnans"
"522","Larus canus","Larus canus","Larus canus","Larus canus","Larus canus","Larus canus","Larus canus"
"523","Larus crassirostris","Larus crassirostris","Larus crassirostris","Larus crassirostris","Larus crassirostris","Larus crassirostris","Larus crassirostris"
"524","Larus delawarensis","Larus delawarensis","Larus delawarensis","Larus delawarensis","Larus delawarensis","Larus delawarensis","Larus delawarensis"
"525","Larus fuscus","Larus fuscus","Larus fuscus","Larus fuscus","Larus fuscus","Larus fuscus","Larus fuscus"
"526","Larus genei","Larus genei","Larus genei","Larus genei","Larus genei","Chroicocephalus genei","Chroicocephalus genei"
"527","Larus hyperboreus","Larus hyperboreus","Larus hyperboreus","Larus hyperboreus","Larus hyperboreus","Larus hyperboreus","Larus hyperboreus"
"528","Larus ichthyaetus","Larus ichthyaetus","Larus ichthyaetus","Larus ichthyaetus","Larus ichthyaetus","Ichthyaetus ichthyaetus","Ichthyaetus ichthyaetus"
"529","Larus marinus","Larus marinus","Larus marinus","Larus marinus","Larus marinus","Larus marinus","Larus marinus"
"530","Larus melanocephalus","Larus melanocephalus","Larus melanocephalus","Larus melanocephalus","Larus melanocephalus","Ichthyaetus melanocephalus","Ichthyaetus melanocephalus"
"531","Larus michahellis","Larus michahellis","Larus michahellis","Larus michahellis","Larus michahellis","Larus michahellis","Larus michahellis"
"532","Larus ridibundus","Larus ridibundus","Larus ridibundus","Larus ridibundus","Larus ridibundus","Chroicocephalus ridibundus","Chroicocephalus ridibundus"
"533","Larus schistisagus","Larus schistisagus","Larus schistisagus","Larus schistisagus","Larus schistisagus","Larus schistisagus","Larus schistisagus"
"534","Larvivora akahige","Luscinia akahige","Larvivora akahige","Erithacus akahige",NA,"Larvivora akahige","Larvivora akahige akahige/rishirensis"
"535","Larvivora komadori","Luscinia komadori","Larvivora komadori","Erithacus komadori",NA,"Larvivora komadori","Larvivora komadori komadori/subrufus"
"536","Laterallus jamaicensis","Laterallus jamaicensis","Laterallus jamaicensis","Laterallus jamaicensis","Laterallus jamaicensis","Laterallus jamaicensis","Laterallus jamaicensis"
"537","Leiopicus medius","Leiopicus medius","Leiopicus medius","Dendrocopos medius",NA,"Dendrocoptes medius","Dendrocoptes medius"
"538","Leiothrix lutea","Leiothrix lutea","Leiothrix lutea","Leiothrix lutea","Leiothrix lutea","Leiothrix lutea","Leiothrix lutea"
"539","Leucophaeus atricilla","Leucophaeus atricilla","Leucophaeus atricilla",NA,NA,NA,NA
"540","Limosa lapponica","Limosa lapponica","Limosa lapponica","Limosa lapponica","Limosa lapponica","Limosa lapponica","Limosa lapponica"
"541","Limosa limosa","Limosa limosa","Limosa limosa","Limosa limosa","Limosa limosa","Limosa limosa","Limosa limosa"
"542","Linaria cannabina","Linaria cannabina","Linaria cannabina","Carduelis cannabina",NA,"Linaria cannabina","Linaria cannabina"
"543","Linaria flavirostris","Linaria flavirostris","Linaria flavirostris","Carduelis flavirostris",NA,"Linaria flavirostris","Linaria flavirostris"
"544","Locustella fasciolata","Locustella fasciolata","Locustella fasciolata","Locustella fasciolata",NA,"Helopsaltes fasciolatus","Helopsaltes fasciolatus"
"545","Locustella fasciolata","Locustella fasciolata","Locustella fasciolata","Locustella fasciolata","Locustella fasciolata","Helopsaltes fasciolatus","Helopsaltes fasciolatus"
"546","Locustella fasciolata","Locustella fasciolata","Locustella fasciolata","Locustella fasciolata","Locustella amnicola","Helopsaltes fasciolatus","Helopsaltes fasciolatus"
"547","Locustella fluviatilis","Locustella fluviatilis","Locustella fluviatilis","Locustella fluviatilis","Locustella fluviatilis","Locustella fluviatilis","Locustella fluviatilis"
"548","Locustella lanceolata","Locustella lanceolata","Locustella lanceolata","Locustella lanceolata","Locustella lanceolata","Locustella lanceolata","Locustella lanceolata"
"549","Locustella luscinioides","Locustella luscinioides","Locustella luscinioides","Locustella luscinioides","Locustella luscinioides","Locustella luscinioides","Locustella luscinioides"
"550","Locustella naevia","Locustella naevia","Locustella naevia","Locustella naevia","Locustella naevia","Locustella naevia","Locustella naevia"
"551","Locustella ochotensis","Locustella ochotensis","Locustella ochotensis","Locustella ochotensis","Locustella ochotensis","Helopsaltes ochotensis","Helopsaltes ochotensis"
"552","Locustella pleskei","Locustella pleskei","Locustella pleskei","Locustella pleskei","Locustella pleskei","Helopsaltes pleskei","Helopsaltes pleskei"
"553","Locustella pryeri","Locustella pryeri","Locustella pryeri","Locustella pryeri","Locustella pryeri","Helopsaltes pryeri","Helopsaltes pryeri"
"554","Lonchura punctulata","Lonchura punctulata","Lonchura punctulata","Lonchura punctulata","Lonchura punctulata","Lonchura punctulata","Lonchura punctulata"
"555","Lophodytes cucullatus","Lophodytes cucullatus","Lophodytes cucullatus","Lophodytes cucullatus","Lophodytes cucullatus","Lophodytes cucullatus","Lophodytes cucullatus"
"556","Lophophanes cristatus","Lophophanes cristatus","Lophophanes cristatus","Parus cristatus",NA,"Lophophanes cristatus","Lophophanes cristatus"
"557","Loxia curvirostra","Loxia curvirostra","Loxia curvirostra","Loxia curvirostra","Loxia curvirostra","Loxia curvirostra","Loxia curvirostra"
"558","Loxia leucoptera","Loxia leucoptera","Loxia leucoptera","Loxia leucoptera","Loxia leucoptera","Loxia leucoptera","Loxia leucoptera"
"559","Loxia pytyopsittacus","Loxia pytyopsittacus","Loxia pytyopsittacus","Loxia pytyopsittacus","Loxia pytyopsittacus","Loxia pytyopsittacus","Loxia pytyopsittacus"
"560","Loxia scotica","Loxia scotica","Loxia scotica","Loxia scotica","Loxia scotica","Loxia scotica","Loxia scotica"
"561","Lullula arborea","Lullula arborea","Lullula arborea","Lullula arborea","Lullula arborea","Lullula arborea","Lullula arborea"
"562","Luscinia calliope","Luscinia calliope","Luscinia calliope",NA,"Calliope calliope","Calliope calliope","Calliope calliope"
"563","Luscinia cyane","Luscinia cyane","Luscinia cyane",NA,"Larvivora cyane","Larvivora cyane","Larvivora cyane"
"564","Luscinia luscinia","Luscinia luscinia","Luscinia luscinia","Luscinia luscinia","Luscinia luscinia","Luscinia luscinia","Luscinia luscinia"
"565","Luscinia megarhynchos","Luscinia megarhynchos","Luscinia megarhynchos","Luscinia megarhynchos","Luscinia megarhynchos","Luscinia megarhynchos","Luscinia megarhynchos"
"566","Luscinia svecica","Luscinia svecica","Luscinia svecica",NA,"Cyanecula svecica","Luscinia svecica","Luscinia svecica"
"567","Lymnocryptes minimus","Lymnocryptes minimus","Lymnocryptes minimus","Lymnocryptes minimus","Lymnocryptes minimus","Lymnocryptes minimus","Lymnocryptes minimus"
"568","Lyrurus mlokosiewiczi","Lyrurus mlokosiewiczi","Lyrurus mlokosiewiczi","Tetrao mlokosiewiczi",NA,"Lyrurus mlokosiewiczi","Lyrurus mlokosiewiczi"
"569","Lyrurus tetrix","Lyrurus tetrix","Lyrurus tetrix","Tetrao tetrix",NA,"Lyrurus tetrix","Lyrurus tetrix"
"570","Mareca penelope","Mareca penelope","Mareca penelope","Anas penelope",NA,"Mareca penelope","Mareca penelope"
"571","Mareca strepera","Mareca strepera","Mareca strepera","Anas strepera",NA,"Mareca strepera","Mareca strepera"
"572","Marmaronetta angustirostris","Marmaronetta angustirostris","Marmaronetta angustirostris","Marmaronetta angustirostris","Marmaronetta angustirostris","Marmaronetta angustirostris","Marmaronetta angustirostris"
"573","Megaceryle alcyon","Megaceryle alcyon","Megaceryle alcyon","Megaceryle alcyon","Megaceryle alcyon","Megaceryle alcyon","Megaceryle alcyon"
"574","Megaceryle lugubris","Megaceryle lugubris","Megaceryle lugubris","Megaceryle lugubris","Megaceryle lugubris","Megaceryle lugubris","Megaceryle lugubris"
"575","Megascops asio","Megascops asio","Megascops asio","Megascops asio","Megascops asio","Megascops asio","Megascops asio"
"576","Melanerpes carolinus","Melanerpes carolinus","Melanerpes carolinus","Melanerpes carolinus","Melanerpes carolinus","Melanerpes carolinus","Melanerpes carolinus"
"577","Melanerpes erythrocephalus","Melanerpes erythrocephalus","Melanerpes erythrocephalus","Melanerpes erythrocephalus","Melanerpes erythrocephalus","Melanerpes erythrocephalus","Melanerpes erythrocephalus"
"578","Melanitta fusca","Melanitta fusca","Melanitta fusca","Melanitta fusca","Melanitta deglandi","Melanitta fusca","Melanitta fusca"
"579","Melanitta fusca","Melanitta fusca","Melanitta fusca","Melanitta fusca","Melanitta fusca","Melanitta fusca","Melanitta fusca"
"580","Melanitta fusca","Melanitta fusca","Melanitta fusca","Melanitta fusca","Melanitta stejnegeri","Melanitta fusca","Melanitta fusca"
"581","Melanitta nigra","Melanitta nigra","Melanitta nigra","Melanitta nigra","Melanitta americana","Melanitta nigra","Melanitta nigra"
"582","Melanitta nigra","Melanitta nigra","Melanitta nigra","Melanitta nigra","Melanitta nigra","Melanitta nigra","Melanitta nigra"
"583","Melanocorypha calandra","Melanocorypha calandra","Melanocorypha calandra","Melanocorypha calandra","Melanocorypha calandra","Melanocorypha calandra","Melanocorypha calandra"
"584","Meleagris gallopavo","Meleagris gallopavo","Meleagris gallopavo","Meleagris gallopavo","Meleagris gallopavo","Meleagris gallopavo","Meleagris gallopavo"
"585","Melospiza georgiana","Melospiza georgiana","Melospiza georgiana","Melospiza georgiana","Melospiza georgiana","Melospiza georgiana","Melospiza georgiana"
"586","Melospiza lincolnii","Melospiza lincolnii","Melospiza lincolnii","Melospiza lincolnii","Melospiza lincolnii","Melospiza lincolnii","Melospiza lincolnii"
"587","Melospiza melodia","Melospiza melodia","Melospiza melodia","Melospiza melodia","Melospiza melodia","Melospiza melodia","Melospiza melodia"
"588","Mergellus albellus","Mergellus albellus","Mergellus albellus","Mergellus albellus","Mergellus albellus","Mergellus albellus","Mergellus albellus"
"589","Mergus merganser","Mergus merganser","Mergus merganser","Mergus merganser","Mergus merganser","Mergus merganser","Mergus merganser"
"590","Mergus serrator","Mergus serrator","Mergus serrator","Mergus serrator","Mergus serrator","Mergus serrator","Mergus serrator"
"591","Merops apiaster","Merops apiaster","Merops apiaster","Merops apiaster","Merops apiaster","Merops apiaster","Merops apiaster"
"592","Merops persicus","Merops persicus","Merops persicus","Merops persicus","Merops persicus","Merops persicus","Merops persicus"
"593","Microcarbo pygmaeus","Microcarbo pygmaeus","Microcarbo pygmaeus","Phalacrocorax pygmeus",NA,"Microcarbo pygmaeus","Microcarbo pygmaeus"
"594","Miliaria calandra","Miliaria calandra","Miliaria calandra",NA,"Emberiza calandra","Emberiza calandra","Emberiza calandra"
"595","Milvus migrans","Milvus migrans","Milvus migrans","Milvus migrans","Milvus migrans","Milvus migrans","Milvus migrans"
"596","Milvus migrans","Milvus migrans","Milvus migrans","Milvus migrans","Milvus aegyptius","Milvus migrans","Milvus migrans"
"597","Milvus migrans","Milvus migrans","Milvus migrans","Milvus migrans",NA,"Milvus migrans","Milvus migrans"
"598","Milvus milvus","Milvus milvus","Milvus milvus","Milvus milvus","Milvus milvus","Milvus milvus","Milvus milvus"
"599","Mimus polyglottos","Mimus polyglottos","Mimus polyglottos","Mimus polyglottos","Mimus polyglottos","Mimus polyglottos","Mimus polyglottos"
"600","Mniotilta varia","Mniotilta varia","Mniotilta varia","Mniotilta varia","Mniotilta varia","Mniotilta varia","Mniotilta varia"
"601","Molothrus ater","Molothrus ater","Molothrus ater","Molothrus ater","Molothrus ater","Molothrus ater","Molothrus ater"
"602","Monticola saxatilis","Monticola saxatilis","Monticola saxatilis","Monticola saxatilis","Monticola saxatilis","Monticola saxatilis","Monticola saxatilis"
"603","Monticola solitarius","Monticola solitarius","Monticola solitarius","Monticola solitarius","Monticola solitarius","Monticola solitarius","Monticola solitarius"
"604","Montifringilla nivalis","Montifringilla nivalis","Montifringilla nivalis","Montifringilla nivalis","Montifringilla henrici","Montifringilla nivalis","Montifringilla nivalis"
"605","Montifringilla nivalis","Montifringilla nivalis","Montifringilla nivalis","Montifringilla nivalis","Montifringilla nivalis","Montifringilla nivalis","Montifringilla nivalis"
"606","Morus bassanus","Morus bassanus","Morus bassanus","Morus bassanus","Morus bassanus","Morus bassanus","Morus bassanus"
"607","Motacilla alba","Motacilla alba","Motacilla alba","Motacilla alba","Motacilla alba","Motacilla alba","Motacilla alba"
"608","Motacilla cinerea","Motacilla cinerea","Motacilla cinerea","Motacilla cinerea","Motacilla cinerea","Motacilla cinerea","Motacilla cinerea"
"609","Motacilla citreola","Motacilla citreola","Motacilla citreola","Motacilla citreola","Motacilla citreola","Motacilla citreola","Motacilla citreola"
"610","Motacilla flava","Motacilla flava","Motacilla flava","Motacilla flava","Motacilla flava","Motacilla flava","Motacilla flava"
"611","Motacilla flava","Motacilla flava","Motacilla flava","Motacilla flava","Motacilla tschutschensis","Motacilla flava","Motacilla flava"
"612","Motacilla grandis","Motacilla grandis","Motacilla grandis","Motacilla grandis","Motacilla grandis","Motacilla grandis","Motacilla grandis"
"613","Muscicapa dauurica","Muscicapa dauurica","Muscicapa dauurica","Muscicapa dauurica","Muscicapa dauurica","Muscicapa williamsoni","Muscicapa williamsoni"
"614","Muscicapa dauurica","Muscicapa dauurica","Muscicapa dauurica","Muscicapa dauurica","Muscicapa dauurica","Muscicapa dauurica","Muscicapa sp."
"615","Muscicapa dauurica","Muscicapa dauurica","Muscicapa dauurica","Muscicapa dauurica","Muscicapa dauurica","Muscicapa williamsoni","Muscicapa sp."
"616","Muscicapa dauurica","Muscicapa dauurica","Muscicapa dauurica","Muscicapa dauurica","Muscicapa dauurica",NA,"Muscicapa sp."
"617","Muscicapa dauurica","Muscicapa dauurica","Muscicapa dauurica","Muscicapa dauurica","Muscicapa dauurica","Muscicapa dauurica","Muscicapa dauurica"
"618","Muscicapa sibirica","Muscicapa sibirica","Muscicapa sibirica","Muscicapa sibirica","Muscicapa sibirica","Muscicapa sibirica","Muscicapa sibirica"
"619","Muscicapa striata","Muscicapa striata","Muscicapa striata","Muscicapa striata","Muscicapa striata","Muscicapa striata","Muscicapa striata"
"620","Myiarchus crinitus","Myiarchus crinitus","Myiarchus crinitus","Myiarchus crinitus","Myiarchus crinitus","Myiarchus crinitus","Myiarchus crinitus"
"621","Myiopsitta monachus","Myiopsitta monachus","Myiopsitta monachus","Myiopsitta monachus","Myiopsitta luchsi","Myiopsitta monachus","Myiopsitta monachus [monachus Group]"
"622","Myiopsitta monachus","Myiopsitta monachus","Myiopsitta monachus","Myiopsitta monachus","Myiopsitta monachus","Myiopsitta monachus","Myiopsitta monachus [monachus Group]"
"623","Neophron percnopterus","Neophron percnopterus","Neophron percnopterus","Neophron percnopterus","Neophron percnopterus","Neophron percnopterus","Neophron percnopterus"
"624","Netta rufina","Netta rufina","Netta rufina","Netta rufina","Netta rufina","Netta rufina","Netta rufina"
"625","Ninox scutulata","Ninox scutulata","Ninox scutulata","Ninox scutulata","Ninox obscura","Ninox scutulata","Ninox scutulata"
"626","Ninox scutulata","Ninox scutulata","Ninox scutulata","Ninox scutulata","Ninox randi","Ninox scutulata","Ninox scutulata"
"627","Ninox scutulata","Ninox scutulata","Ninox scutulata","Ninox scutulata","Ninox japonica","Ninox scutulata","Ninox scutulata"
"628","Ninox scutulata","Ninox scutulata","Ninox scutulata","Ninox scutulata","Ninox scutulata","Ninox scutulata","Ninox scutulata"
"629","Nisaetus nipalensis","Nisaetus nipalensis","Nisaetus nipalensis","Nisaetus nipalensis","Nisaetus nipalensis","Nisaetus kelaarti","Nisaetus kelaarti"
"630","Nisaetus nipalensis","Nisaetus nipalensis","Nisaetus nipalensis","Nisaetus nipalensis","Nisaetus nipalensis","Nisaetus nipalensis","Nisaetus nipalensis"
"631","Nucifraga caryocatactes","Nucifraga caryocatactes","Nucifraga caryocatactes","Nucifraga caryocatactes","Nucifraga multipunctata","Nucifraga caryocatactes","Nucifraga caryocatactes [caryocatactes Group]"
"632","Nucifraga caryocatactes","Nucifraga caryocatactes","Nucifraga caryocatactes","Nucifraga caryocatactes","Nucifraga caryocatactes","Nucifraga caryocatactes","Nucifraga caryocatactes [caryocatactes Group]"
"633","Nucifraga caryocatactes","Nucifraga caryocatactes","Nucifraga caryocatactes","Nucifraga caryocatactes",NA,"Nucifraga caryocatactes","Nucifraga caryocatactes [caryocatactes Group]"
