"","dataset","tp","cell_grouping","scale","verbatim_name","Total_area","Total_area_samp","Total_Ncells_atlas","Total_Ncells_samp","occupancy_area","occupancy_Ncells","AOO","relative_occupancy_area","relative_occupancy_Ncells","mean_area","total_SR_atlas_AOOcalc","grain"
"65","Birds_Atlas_Czechia",2,"1",0.015625,"Columba palumbus",90569.1442272689,83907.5085275841,678,628,83640.336698462,626,83640.336698462,0.99681587698395,0.996815286624204,133.610761499141,200,"10"
"66","Birds_Atlas_Czechia",1,"1",0.015625,"Corvus corax",90569.1442272689,83907.5085275841,678,628,37784.1159936253,284,37784.1159936253,0.450306732456535,0.452229299363057,133.042661949385,200,"10"
"67","Birds_Atlas_Czechia",2,"1",0.015625,"Corvus corax",90569.1442272689,83907.5085275841,678,628,75628.9619980792,566,75628.9619980792,0.901337238171201,0.901273885350318,133.620074201553,200,"10"
"68","Birds_Atlas_Czechia",1,"1",0.015625,"Corvus corone",90569.1442272689,83907.5085275841,678,628,78978.3502605841,591,78978.3502605841,0.941254860816424,0.941082802547771,133.635110424,200,"10"
"69","Birds_Atlas_Czechia",2,"1",0.015625,"Corvus corone",90569.1442272689,83907.5085275841,678,628,76962.9937994892,576,76962.9937994892,0.917236075174227,0.917197452229299,133.616308679669,200,"10"
"70","Birds_Atlas_Czechia",1,"1",0.015625,"Corvus monedula",90569.1442272689,83907.5085275841,678,628,53459.9083726757,400,53459.9083726757,0.637129016351392,0.636942675159236,133.649770931689,200,"10"
"71","Birds_Atlas_Czechia",2,"1",0.015625,"Corvus monedula",90569.1442272689,83907.5085275841,678,628,38076.0822156883,285,38076.0822156883,0.453786352185287,0.453821656050955,133.600288476099,200,"10"
"72","Birds_Atlas_Czechia",2,"1",0.015625,"Coturnix coturnix",90569.1442272689,83907.5085275841,678,628,78443.281162437,587,78443.281162437,0.934877969075309,0.934713375796178,133.634209816758,200,"10"
"73","Birds_Atlas_Czechia",2,"1",0.015625,"Crex crex",90569.1442272689,83907.5085275841,678,628,51661.6880436278,387,51661.6880436278,0.615698034063832,0.616242038216561,133.492733962862,200,"10"
"74","Birds_Atlas_Czechia",1,"1",0.015625,"Cuculus canorus",90569.1442272689,83907.5085275841,678,628,82705.4933909887,619,82705.4933909887,0.985674522367682,0.985668789808917,133.611459436169,200,"10"
"75","Birds_Atlas_Czechia",2,"1",0.015625,"Cuculus canorus",90569.1442272689,83907.5085275841,678,628,83373.6791759452,624,83373.6791759452,0.993637883414649,0.993630573248408,133.611665346066,200,"10"
"76","Birds_Atlas_Czechia",1,"1",0.015625,"Cygnus olor",90569.1442272689,83907.5085275841,678,628,60107.1875586707,450,60107.1875586707,0.716350522300525,0.71656050955414,133.571527908157,200,"10"
"77","Birds_Atlas_Czechia",2,"1",0.015625,"Cygnus olor",90569.1442272689,83907.5085275841,678,628,60026.1097750416,449,60026.1097750416,0.715384246635191,0.714968152866242,133.688440478935,200,"10"
"78","Birds_Atlas_Czechia",1,"1",0.015625,"Delichon urbica",90569.1442272689,83907.5085275841,678,628,83774.4580168468,627,83774.4580168468,0.998414319372938,0.998407643312102,133.611575784445,200,"10"
"79","Birds_Atlas_Czechia",2,"1",0.015625,"Delichon urbica",90569.1442272689,83907.5085275841,678,628,83769.8042246978,627,83769.8042246978,0.998358856015359,0.998407643312102,133.604153468418,200,"10"
"80","Birds_Atlas_Czechia",1,"1",0.015625,"Dendrocopos major",90569.1442272689,83907.5085275841,678,628,83108.7228208416,622,83108.7228208416,0.990480164162187,0.990445859872611,133.615310001353,200,"10"
"81","Birds_Atlas_Czechia",2,"1",0.015625,"Dendrocopos major",90569.1442272689,83907.5085275841,678,628,83775.279356609,627,83775.279356609,0.998424108005404,0.998407643312102,133.612885736218,200,"10"
"82","Birds_Atlas_Czechia",2,"1",0.015625,"Dendrocopos minor",90569.1442272689,83907.5085275841,678,628,66417.3532648897,497,66417.3532648897,0.791554348715472,0.79140127388535,133.636525683883,200,"10"
