"","x"
"610","Phalaropus fulicarius"
"611","Podiceps auritus"
"612","Anser brachyrhynchus"
"613","Anthus petrosus"
"614","Hydrobates leucorhous"
"615","Hydrobates pelagicus"
"616","Branta leucopsis"
"617","Spatula clypeata"
"618","Branta bernicla"
"619","Bucephala islandica"
"620","Melanitta nigra"
"621","Alle alle"
"622","Stercorarius longicaudus"
"623","Hydrocoloeus minutus"
"624","Acridotheres cristatellus"
"625","Alopochen aegyptiaca"
"626","Apus pallidus"
"627","Aquila fasciata"
"628","Burhinus oedicnemus"
"629","Calandrella brachydactyla"
"630","Caprimulgus ruficollis"
"631","Cecropis daurica"
"632","Cettia cetti"
"633","Circaetus gallicus"
"634","Cyanopica cooki"
"635","Dryobates minor"
"636","Elanus caeruleus"
"637","Emberiza calandra"
"638","Emberiza cia"
"639","Emberiza cirlus"
"640","Falco naumanni"
"641","Hieraaetus pennatus"
"642","Hippolais polyglotta"
"643","Lanius meridionalis"
"644","Lanius senator"
"645","Linaria cannabina"
"646","Melanocorypha calandra"
"647","Oenanthe hispanica"
"648","Petronia petronia"
"649","Phylloscopus bonelli"
"650","Phylloscopus ibericus"
"651","Picus sharpei"
"652","Porphyrio porphyrio"
"653","Psittacula krameri"
"654","Ptyonoprogne rupestris"
"655","Regulus ignicapilla"
"656","Sternula albifrons"
"657","Sturnus unicolor"
"658","Sylvia conspicillata"
"659","Sylvia hortensis"
"660","Sylvia melanocephala"
"661","Sylvia undata"
"662","Tachymarptis melba"
"663","Zapornia pusilla"
"664","Anthus berthelotii"
"665","Apus unicolor"
"666","Columba trocaz"
"667","Passer hispaniolensis"
"668","Pterodroma madeira"
"669","Regulus madeirensis"
"670","Ardeola ralloides"
"671","Clamator glandarius"
"672","Pyrrhocorax pyrrhocorax"
"673","Coracias garrulus"
"674","Glareola pratincola"
"675","Oenanthe leucura"
"676","Tetrax tetrax"
"677","Galerida theklae"
"678","Sylvia cantillans"
"679","Larus audouinii"
"680","Amandava amandava"
"681","Alaudala rufescens"
"682","Apus caffer"
"683","Aquila adalberti"
"684","Cercotrichas galactotes"
"685","Neophron percnopterus"
"686","Otis tarda"
"687","Pterocles alchata"
"688","Pterocles orientalis"
"689","Iduna opaca"
"690","Chlidonias hybrida"
"691","Spatula querquedula"
"692","Gyps fulvus"
"693","Monticola saxatilis"
"694","Aegypius monachus"
"695","Fulica cristata"
"696","Oxyura leucocephala"
"697","Phoenicopterus roseus"
"698","Acrocephalus melanopogon"
"699","Larus genei"
"700","Marmaronetta angustirostris"
"701","Zapornia parva"
"702","Cyanecula svecica"
"703","Estrilda melpoda"
"704","Chersophilus duponti"
"705","Carduelis citrinella"
"706","Leiopicus medius"
"707","Pyrrhocorax graculus"
"708","Montifringilla nivalis"
"709","Tichodroma muraria"
"710","Linaria flavirostris"
"711","Thalasseus sandvicensis"
"712","Calidris pugnax"
"713","Bubo scandiacus"
"714","Chrysolophus pictus"
"715","Alectoris barbara"
"716","Eudromias morinellus"
"717","Circus macrourus"
"718","Clanga clanga"
"719","Emberiza aureola"
"720","Emberiza pusilla"
"721","Falco vespertinus"
"722","Gallinago media"
"723","Iduna caligata"
"724","Lymnocryptes minimus"
"725","Melanitta fusca"
"726","Mergellus albellus"
"727","Phylloscopus borealis"
"728","Strix nebulosa"
"729","Surnia ulula"
"730","Xenus cinereus"
"731","Calcarius lapponicus"
"732","Xema sabini"
