"","AtlasSp","ScientificName"
"752","Carpodacus purpureus","Haemorhous purpureus"
"753","Dendroica caerulescens","Setophaga caerulescens"
"754","Dendroica coronata","Setophaga coronata"
"755","Dendroica fusca","Setophaga fusca"
"756","Dendroica magnolia","Setophaga magnolia"
"757","Dendroica pensylvanica","Setophaga pensylvanica"
"758","Dendroica petechia","Setophaga petechia"
"759","Dendroica virens","Setophaga virens"
"760","Dryocopus pileatus","Hylatomus pileatus"
"761","Picoides pubescens","Dryobates pubescens"
"762","Seiurus motacilla","Parkesia noveboracensis"
"763","Seiurus motacilla","Parkesia motacilla"
"764","Vermivora pinus","Vermivora cyanoptera"
"765","Wilsonia citrina","Setophaga citrina"
"766","Picoides villosus","Leuconotopicus villosus"
"767","Ammodramus henslowii","Passerculus henslowii"
"768","Wilsonia canadensis","Cardellina canadensis"
"769","Anas discors","Spatula discors"
"770","Vermivora ruficapilla","Leiothlypis ruficapilla"
"771","Parula americana","Setophaga americana"
"772","Dendroica pinus","Setophaga pinus"
"773","Dendroica cerulea","Setophaga cerulea"
"774","Anas americana","Mareca americana"
"775","Dendroica discolor","Setophaga discolor"
"776","Phalacrocorax auritus","Nannopterum auritus"
"777","Caprimulgus vociferus","Antrostomus vociferus"
"778","Dendroica dominica","Setophaga dominica"
"779","Dendroica castanea","Setophaga castanea"
"780","Dendroica striata","Setophaga striata"
"781","Vermivora peregrina","Leiothlypis peregrina"
"782","Dendroica palmarum","Setophaga palmarum"
"783","Dendroica tigrina","Setophaga tigrina"
"784","Wilsonia pusilla","Cardellina pusilla"
"785","Ammodramus caudacutus","Ammospiza caudacuta"
"786","Caprimulgus carolinensis","Antrostomus carolinensis"
"787","Leucophaeus atricilla","Larus atricilla"
"788","Locustella fasciolata","Helopsaltes fasciolatus"
"789","Cettia diphone","Horornis diphone"
"790","Dendrocopos kizuki","Picoides kizuki"
"791","Porzana fusca","Zapornia fusca"
"792","Sapheopipo noguchii","Dendrocopos noguchii"
"793","Luscinia cyane","Larvivora cyane"
"794","Anas falcata","Mareca falcata"
"795","Locustella pleskei","Helopsaltes pleskei"
"796","Zoothera sibirica","Geokichla sibirica"
"797","Locustella ochotensis","Helopsaltes ochotensis"
"798","Phalacrocorax pelagicus","Urile pelagicus"
"799","Luscinia calliope","Calliope calliope"
"800","Uragus sibiricus","Carpodacus sibiricus"
"801","Psittacula krameri","Alexandrinus krameri"
"802","Carduelis cannabina","Linaria cannabina"
"803","Carduelis chloris","Chloris chloris"
"804","Delichon urbica","Delichon urbicum"
"805","Miliaria calandra","Emberiza calandra"
"806","Parus caeruleus","Cyanistes caeruleus"
"807","Sylvia communis","Curruca communis"
"808","Sylvia curruca","Curruca curruca"
"809","Regulus ignicapillus","Regulus ignicapilla"
"810","Sylvia nisoria","Curruca nisoria"
"811","Bonasa bonasia","Tetrastes bonasia"
"812","Oporornis philadelphia","Geothlypis philadelphia"
"813","Seiurus noveboracensis","Parkesia noveboracensis"
"814","Coccothraustes vespertinus","Hesperiphona vespertina"
"815","Hydropogne caspia","Hydroprogne caspia"
"816","Oporornis formosus","Geothlypis formosa"
"817","Regulus calendula","Corthylio calendula"
"818","Picoides dorsalis","Picoides dorsalis"
"819","Falcipennis canadensis","Canachites canadensis"
"820","Ammodramus maritimus","Ammospiza maritima"
"821","Egretta intermedia","Ardea intermedia"
"822","Parus minor","Parus minor"
"823","Sterna albifrons","Sternula albifrons"
"824","Poecile varius","Sittiparus varius"
"825","Hirundo daurica","Cecropis daurica"
"826","Luscinia komadori","Larvivora komadori"
"827","Gallirallus okinawae","Hypotaenidia okinawae"
"828","Luscinia akahige","Larvivora akahige"
"829","Passer rutilans","Passer cinnamomeus"
"830","Locustella pryeri","Helopsaltes pryeri"
"831","Sylvia conspicillata","Curruca conspicillata"
"832","Sylvia hortensis","Curruca hortensis"
"833","Sylvia melanocephala","Curruca melanocephala"
"834","Sylvia undata","Curruca undata"
"835","Sylvia cantillans","Curruca cantillans"
"836","Cyanecula svecica","Luscinia svecica"
"837","Sylvia balearica","Curruca balearica"
"838","Sylvia subalpina","Curruca subalpina"
"839","Sylvia sarda","Curruca sarda"
"840","Sylvia crassirostris","Curruca crassirostris"
"841","Sylvia ruppeli","Curruca ruppeli"
"842","Sylvia mystacea","Curruca mystacea"
