"","x"
"577","Atlapetes flaviceps"
"578","Atlapetes pallidiceps"
"579","Atlapetes taczanowskii"
"580","Peucaea sumichrasti"
"581","Xenospiza baileyi"
"582","Celeus galeatus"
"583","Dendrocopos leucotos"
"584","Leuconotopicus borealis"
"585","Halobaena caerulea"
"586","Pelecanoides garnotii"
"587","Amazona diadema"
"588","Amazona dufresniana"
"589","Amazona lilacina"
"590","Leptosittaca branickii"
"591","Nannopsittaca dachilleae"
"592","Ognorhynchus icterotis"
"593","Psittacara euops"
"594","Pyrrhura calliptera"
"595","Pyrrhura orcesi"
"596","Tanygnathus sumatranus"
"597","Trichoglossus forsteni"
"598","Pycnonotus snouckaerti"
"599","Himantornis haematopus"
"600","Laterallus spilonota"
"601","Porphyrio hochstetteri"
"602","Rallina eurizonoides"
"603","Zapornia paykullii"
"604","Sitta formosa"
"605","Sitta magna"
"606","Acridotheres cinereus"
"607","Acridotheres javanicus"
"608","Aplonis circumscripta"
"609","Aplonis metallica"
"610","Gracula ptilogenys"
"611","Suthora nipalensis"
"612","Anas carolinensis"
"613","Anas crecca"
"614","Chaetura andrei"
"615","Chaetura vauxi"
"616","Ardea herodias"
"617","Ardea occidentalis"
"618","Newtonia amphichroa"
"619","Cercomacra ferdinandi"
"620","Clytoctantes alixii"
"621","Formicivora erythronotos"
"622","Hypocnemis striata"
"623","Xenornis setifrons"
"624","Poospiza goeringi"
"625","Saltator cinctus"
"626","Tangara cabanisi"
"627","Crypturellus atrocapillus"
"628","Crypturellus duidae"
"629","Crypturellus transfasciatus"
"630","Aglaeactis aliciae"
"631","Amazilia luciae"
"632","Augastes lumachella"
"633","Chaetocercus berlepschi"
"634","Coeligena consita"
"635","Coeligena orina"
"636","Eriocnemis nigrivestis"
"637","Eulidia yarrellii"
"638","Selasphorus ardens"
"639","Apalharpactes reinwardtii"
"640","Cochoa azurea"
"641","Geokichla interpres"
"642","Myiarchus semirufus"
"643","Myiodynastes hemichrysus"
"644","Ochthoeca piurae"
"645","Phylloscartes difficilis"
"646","Piprites pileata"
"647","Tyrannus cubensis"
"648","Upupa epops"
"649","Cleptornis marchei"
"650","Zosterops meeki"
"651","Accipiter collaris"
"652","Milvus migrans"
"653","Alexandrinus eques"
"654","Oroanassa magnifica"
"655","Hylocharis chrysura"
"656","Chlorestes cyanus"
"657","Chlorestes julie"
"658","Kurochkinegramma hypogrammica"
"659","Nicopsitta calthrapae"
"660","Palaeornis eupatria"
"661","Nicopsitta columboides"
"662","Himalayapsitta cyanocephala"
"663","Alexandrinus exsul"
"664","Himalayapsitta finschii"
"665","Palaeornis wardi"
"666","Himalayapsitta himalayana"
"667","Belocercus longicaudus"
"668","Himalayapsitta roseata"
"669","Laterallus flaviventer"
"670","Trichoglossus iris"
"671","Laterallus podarces"
"672","Laterallus rogersi"
"673","Athene blewitti"
"674","Alexandrinus krameri"
"675","Lophorina minor"
"676","Lophorina superba"
"677","Lophorina latipennis"
"678","Rynchops albicollis"
"679","Coracina macei"
"680","Coracina javensis"
"681","Eudyptes pachyrhynchus"
"682","Apalis lynesi"
"683","Laterallus spilopterus"
"684","Acanthis flammea"
"685","Accipiter badius"
"686","Accipiter striatus"
"687","Acrocephalus aequinoctialis"
"688","Acrocephalus longirostris"
"689","Acrocephalus palustris"
"690","Acrocephalus scirpaceus"
"691","Aechmophorus occidentalis"
"692","Alectoris chukar"
"693","Saucerottia castaneiventris"
"694","Amazona aestiva"
"695","Ammomanes cinctura"
"696","Anas acuta"
"697","Anas platyrhynchos"
"698","Anodorhynchus glaucus"
"699","Anodorhynchus leari"
"700","Anthocephala berlepschi"
"701","Anthocephala floriceps"
"702","Anthus cervinus"
"703","Anthus richardi"
"704","Anthus rubescens"
"705","Anthus similis"
"706","Apus pacificus"
"707","Apus pallidus"
"708","Aquila fasciata"
"709","Aquila heliaca"
"710","Aramides albiventris"
"711","Aramides cajaneus"
"712","Ardea alba"
"713","Ardea cinerea"
"714","Ardea purpurea"
"715","Ardenna carneipes"
"716","Ardenna grisea"
"717","Arenaria interpres"
"718","Arremon dorbignii"
"719","Arremon flavirostris"
"720","Athene noctua"
"721","Aulacorhynchus huallagae"
"722","Aythya nyroca"
"723","Brachyramphus marmoratus"
"724","Bubo ascalaphus"
"725","Bubulcus ibis"
"726","Bucanetes githagineus"
"727","Calidris alpina"
"728","Calidris falcinellus"
"729","Calidris tenuirostris"
"730","Callaeas cinereus"
"731","Calliope pectardens"
"732","Caprimulgus aegyptius"
"733","Catharus dryas"
"734","Catharus maculatus"
"735","Celeus undatus"
"736","Cercotrichas galactotes"
"737","Charadrius alexandrinus"
"738","Charadrius dubius"
"739","Charadrius hiaticula"
"740","Charadrius leschenaultii"
"741","Charmosyna diadema"
"742","Chlidonias niger"
"743","Cichlocolaptes mazarbarnetti"
"744","Cinnyris asiaticus"
"745","Clytorhynchus hamlini"
"746","Colaptes atricollis"
"747","Columba argentina"
"748","Columba livia"
"749","Columbina cyanopis"
"750","Coracias garrulus"
"751","Cotinga maculata"
"752","Cranioleuca henricae"
"753","Cuculus canorus"
"754","Cursorius cursor"
"755","Luscinia svecica"
"756","Cyanopsitta spixii"
"757","Cypsiurus gracilis"
"758","Cypsiurus parvus"
"759","Dessonornis caffer"
"760","Diglossa gloriosissima"
"761","Diglossa venezuelensis"
"762","Dromas ardeola"
"763","Drymophila genei"
"764","Eclectus cornelia"
"765","Eclectus polychloros"
"766","Eclectus riedeli"
"767","Eclectus roratus"
"768","Egretta picata"
"769","Elaenia albiceps"
"770","Elanus caeruleus"
