occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey,acceptedUsageKey
,"Dendrocopos syriacus","Dendrocopos syriacus (Hemprich & Ehrenberg, 1833)","2478031","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Piciformes","Picidae","Dendrocopos","Dendrocopos syriacus","Dendrocopos syriacus","(Hemprich & Ehrenberg, 1833) ","2478031",
,"Dendroica caerulescens","Dendroica caerulescens (J.F.Gmelin, 1789)","2489915","EXACT","98","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Parulidae","Setophaga","Setophaga caerulescens","Dendroica caerulescens","(J.F.Gmelin, 1789) ","2489915","7341828"
,"Dendroica castanea","Dendroica castanea (A.Wilson, 1810)","2489903","EXACT","98","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Parulidae","Setophaga","Setophaga castanea","Dendroica castanea","(A.Wilson, 1810) ","2489903","6093202"
,"Dendroica cerulea","Dendroica cerulea (A.Wilson, 1810)","2489982","EXACT","98","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Parulidae","Setophaga","Setophaga cerulea","Dendroica cerulea","(A.Wilson, 1810) ","2489982","6093350"
,"Dendroica coronata","Dendroica coronata (Linnaeus, 1766)","2489896","EXACT","98","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Parulidae","Setophaga","Setophaga coronata","Dendroica coronata","(Linnaeus, 1766) ","2489896","7341805"
,"Dendroica discolor","Dendroica discolor (Vieillot, 1809)","2489979","EXACT","98","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Parulidae","Setophaga","Setophaga discolor","Dendroica discolor","(Vieillot, 1809) ","2489979","7341789"
,"Dendroica dominica","Dendroica dominica (Linnaeus, 1766)","2489889","EXACT","98","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Parulidae","Setophaga","Setophaga dominica","Dendroica dominica","(Linnaeus, 1766) ","2489889","7341800"
,"Dendroica fusca","Dendroica fusca (Statius Müller, 1776)","2489913","EXACT","98","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Parulidae","Setophaga","Setophaga fusca","Dendroica fusca","(Statius Müller, 1776) ","2489913","6093199"
,"Dendroica magnolia","Dendroica magnolia (A.Wilson, 1811)","2489914","EXACT","98","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Parulidae","Setophaga","Setophaga magnolia","Dendroica magnolia","(A.Wilson, 1811) ","2489914","6093209"
,"Dendroica palmarum","Dendroica palmarum (J.F.Gmelin, 1789)","2489910","EXACT","98","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Parulidae","Setophaga","Setophaga palmarum","Dendroica palmarum","(J.F.Gmelin, 1789) ","2489910","7341822"
,"Dendroica pensylvanica","Dendroica pensylvanica (Linnaeus, 1766)","2489923","EXACT","98","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Parulidae","Setophaga","Setophaga pensylvanica","Dendroica pensylvanica","(Linnaeus, 1766) ","2489923","6092942"
,"Dendroica petechia","Dendroica petechia (Linnaeus, 1766)","2489932","EXACT","98","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Parulidae","Setophaga","Setophaga petechia","Dendroica petechia","(Linnaeus, 1766) ","2489932","7341834"
,"Dendroica pinus","Dendroica pinus (Linnaeus, 1766)","2489924","EXACT","97","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Parulidae","Setophaga","Setophaga pinus","Dendroica pinus","(Linnaeus, 1766) ","2489924","7341816"
,"Dendroica striata","Dendroica striata (J.R.Forster, 1772)","2489888","EXACT","98","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Parulidae","Setophaga","Setophaga striata","Dendroica striata","(J.R.Forster, 1772) ","2489888","6092935"
,"Dendroica tigrina","Dendroica tigrina (J.F.Gmelin, 1789)","2489895","EXACT","98","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Parulidae","Setophaga","Setophaga tigrina","Dendroica tigrina","(J.F.Gmelin, 1789) ","2489895","6093357"
,"Dendroica virens","Dendroica virens (J.F.Gmelin, 1789)","2489976","EXACT","98","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Parulidae","Setophaga","Setophaga virens","Dendroica virens","(J.F.Gmelin, 1789) ","2489976","6092631"
,"Dolichonyx oryzivorus","Dolichonyx oryzivorus (Linnaeus, 1758)","2484417","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Icteridae","Dolichonyx","Dolichonyx oryzivorus","Dolichonyx oryzivorus","(Linnaeus, 1758) ","2484417",
,"Dryobates minor","Dryobates minor (Linnaeus, 1758)","9015784","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Piciformes","Picidae","Dryobates","Dryobates minor","Dryobates minor","(Linnaeus, 1758) ","9015784",
,"Dryocopus martius","Dryocopus martius (Linnaeus, 1758)","2477872","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Piciformes","Picidae","Dryocopus","Dryocopus martius","Dryocopus martius","(Linnaeus, 1758) ","2477872",
,"Dryocopus pileatus","Dryocopus pileatus (Linnaeus, 1758)","5228824","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Piciformes","Picidae","Dryocopus","Dryocopus pileatus","Dryocopus pileatus","(Linnaeus, 1758) ","5228824",
,"Dumetella carolinensis","Dumetella carolinensis (Linnaeus, 1766)","2494936","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Mimidae","Dumetella","Dumetella carolinensis","Dumetella carolinensis","(Linnaeus, 1766) ","2494936",
,"Egretta caerulea","Egretta caerulea (Linnaeus, 1758)","2480894","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Egretta","Egretta caerulea","Egretta caerulea","(Linnaeus, 1758) ","2480894",
,"Egretta garzetta","Egretta garzetta (Linnaeus, 1766)","2480876","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Egretta","Egretta garzetta","Egretta garzetta","(Linnaeus, 1766) ","2480876",
