original_verbatim_name,name_in_data,wordCount,cellID,submitted_name,Birds of the World,eBird/Clements,American Ornithological Society,GBIF,BirdLife
Caprimulgus ruficollis,Caprimulgus ruficollis,2,NA,Caprimulgus ruficollis,Caprimulgus ruficollis,NA,Caprimulgus ruficollis,Caprimulgus ruficollis,Caprimulgus ruficollis
Carduelis carduelis,Carduelis carduelis,2,NA,Carduelis carduelis,Carduelis carduelis,Carduelis carduelis,Carduelis carduelis,Carduelis carduelis,Carduelis carduelis
Carduelis citrinella,Carduelis citrinella,2,NA,Carduelis citrinella,Carduelis citrinella,NA,Carduelis citrinella,Carduelis citrinella,Carduelis citrinella
Carduelis corsicana,Carduelis corsicana,2,NA,Carduelis corsicana,Carduelis corsicana,NA,Carduelis corsicana,Carduelis corsicana,Carduelis corsicana
Carpodacus erythrinus,Carpodacus erythrinus,2,NA,Carpodacus erythrinus,Carpodacus erythrinus,Carpodacus erythrinus,Carpodacus erythrinus,Carpodacus erythrinus,Carpodacus erythrinus
Carpodacus rubicilla,Carpodacus rubicilla,2,NA,Carpodacus rubicilla,Carpodacus rubicilla,NA,Carpodacus rubicilla,Carpodacus rubicilla,Carpodacus rubicilla
Carpodacus sibiricus,Carpodacus sibiricus,2,NA,Carpodacus sibiricus,Carpodacus sibiricus,NA,Carpodacus sibiricus,NA,NA
Carpospiza brachydactyla,Carpospiza brachydactyla,2,NA,Carpospiza brachydactyla,Carpospiza brachydactyla,NA,Carpospiza brachydactyla,Carpospiza brachydactyla,Carpospiza brachydactyla
Catharacta skua,Catharacta skua,2,NA,Catharacta skua,NA,NA,Catharacta skua,NA,Catharacta skua
Cecropis daurica,Cecropis daurica,2,NA,Cecropis daurica,Cecropis daurica,NA,Cecropis daurica,Cecropis daurica,NA
Cepphus grylle,Cepphus grylle,2,NA,Cepphus grylle,Cepphus grylle,Cepphus grylle,Cepphus grylle,Cepphus grylle,Cepphus grylle
Cercotrichas galactotes,Cercotrichas galactotes,2,NA,Cercotrichas galactotes,Cercotrichas galactotes,NA,Cercotrichas galactotes,NA,Cercotrichas galactotes
Certhia brachydactyla,Certhia brachydactyla,2,NA,Certhia brachydactyla,Certhia brachydactyla,NA,Certhia brachydactyla,Certhia brachydactyla,Certhia brachydactyla
Certhia familiaris,Certhia familiaris,2,NA,Certhia familiaris,Certhia familiaris,NA,Certhia familiaris,Certhia familiaris,Certhia familiaris
Ceryle rudis,Ceryle rudis,2,NA,Ceryle rudis,Ceryle rudis,NA,Ceryle rudis,Ceryle rudis,Ceryle rudis
Cettia cetti,Cettia cetti,2,NA,Cettia cetti,Cettia cetti,NA,Cettia cetti,Cettia cetti,Cettia cetti
Charadrius alexandrinus,Charadrius alexandrinus,2,NA,Charadrius alexandrinus,Charadrius alexandrinus,NA,Charadrius alexandrinus,Charadrius alexandrinus,Charadrius alexandrinus
Charadrius asiaticus,Charadrius asiaticus,2,NA,Charadrius asiaticus,Charadrius asiaticus,NA,Charadrius asiaticus,Charadrius asiaticus,Charadrius asiaticus
Charadrius dubius,Charadrius dubius,2,NA,Charadrius dubius,Charadrius dubius,Charadrius dubius,Charadrius dubius,Charadrius dubius,Charadrius dubius
Charadrius hiaticula,Charadrius hiaticula,2,NA,Charadrius hiaticula,Charadrius hiaticula,Charadrius hiaticula,Charadrius hiaticula,Charadrius hiaticula,Charadrius hiaticula
Charadrius leschenaultii,Charadrius leschenaultii,2,NA,Charadrius leschenaultii,Charadrius leschenaultii,Charadrius leschenaultii,Charadrius leschenaultii,Charadrius leschenaultii,Charadrius leschenaultii
Chersophilus duponti,Chersophilus duponti,2,NA,Chersophilus duponti,Chersophilus duponti,NA,Chersophilus duponti,Chersophilus duponti,Chersophilus duponti
Chlamydotis undulata,Chlamydotis undulata,2,NA,Chlamydotis undulata,Chlamydotis undulata,NA,Chlamydotis undulata,Chlamydotis undulata,Chlamydotis undulata
Chlidonias hybrida,Chlidonias hybrida,2,NA,Chlidonias hybrida,Chlidonias hybrida,Chlidonias hybrida,Chlidonias hybrida,Chlidonias hybrida,Chlidonias hybrida
Chlidonias leucopterus,Chlidonias leucopterus,2,NA,Chlidonias leucopterus,Chlidonias leucopterus,Chlidonias leucopterus,Chlidonias leucopterus,Chlidonias leucopterus,Chlidonias leucopterus
Chlidonias niger,Chlidonias niger,2,NA,Chlidonias niger,Chlidonias niger,Chlidonias niger,Chlidonias niger,Chlidonias niger,Chlidonias niger
Chloephaga picta,Chloephaga picta,2,NA,Chloephaga picta,Chloephaga picta,NA,Chloephaga picta,Chloephaga picta,Chloephaga picta
Chloris chloris,Chloris chloris,2,NA,Chloris chloris,Chloris chloris,NA,Chloris chloris,Chloris chloris,Chloris chloris
Chrysolophus amherstiae,Chrysolophus amherstiae,2,NA,Chrysolophus amherstiae,Chrysolophus amherstiae,NA,Chrysolophus amherstiae,Chrysolophus amherstiae,Chrysolophus amherstiae
Chrysolophus pictus,Chrysolophus pictus,2,NA,Chrysolophus pictus,Chrysolophus pictus,NA,Chrysolophus pictus,Chrysolophus pictus,Chrysolophus pictus
Ciconia ciconia,Ciconia ciconia,2,NA,Ciconia ciconia,Ciconia ciconia,NA,Ciconia ciconia,Ciconia ciconia,Ciconia ciconia
Ciconia nigra,Ciconia nigra,2,NA,Ciconia nigra,Ciconia nigra,NA,Ciconia nigra,Ciconia nigra,Ciconia nigra
Cinclus cinclus,Cinclus cinclus,2,NA,Cinclus cinclus,Cinclus cinclus,NA,Cinclus cinclus,Cinclus cinclus,Cinclus cinclus
Circaetus gallicus,Circaetus gallicus,2,NA,Circaetus gallicus,Circaetus gallicus,NA,Circaetus gallicus,Circaetus gallicus,Circaetus gallicus
Circus aeruginosus,Circus aeruginosus,2,NA,Circus aeruginosus,Circus aeruginosus,Circus aeruginosus,Circus aeruginosus,Circus aeruginosus,Circus aeruginosus
Circus cyaneus,Circus cyaneus,2,NA,Circus cyaneus,Circus cyaneus,NA,Circus cyaneus,Circus cyaneus,Circus cyaneus
Circus macrourus,Circus macrourus,2,NA,Circus macrourus,Circus macrourus,NA,Circus macrourus,Circus macrourus,Circus macrourus
Circus pygargus,Circus pygargus,2,NA,Circus pygargus,Circus pygargus,NA,Circus pygargus,Circus pygargus,Circus pygargus
Cisticola juncidis,Cisticola juncidis,2,NA,Cisticola juncidis,Cisticola juncidis,NA,Cisticola juncidis,Cisticola juncidis,Cisticola juncidis
Clamator glandarius,Clamator glandarius,2,NA,Clamator glandarius,Clamator glandarius,NA,Clamator glandarius,Clamator glandarius,Clamator glandarius
Clanga clanga,Clanga clanga,2,NA,Clanga clanga,Clanga clanga,NA,Clanga clanga,NA,Clanga clanga
Clanga pomarina,Clanga pomarina,2,NA,Clanga pomarina,Clanga pomarina,NA,Clanga pomarina,NA,Clanga pomarina
