original_verbatim_name,name_in_data,wordCount,cellID,submitted_name,Birds of the World,eBird/Clements,American Ornithological Society,GBIF,BirdLife
Monticola solitarius,Monticola solitarius,2,NA,Monticola solitarius,Monticola solitarius,Monticola solitarius,NA,Monticola solitarius,Monticola solitarius
Motacilla alba,Motacilla alba,2,NA,Motacilla alba,Motacilla alba,Motacilla alba,Motacilla alba,Motacilla alba,Motacilla alba
Motacilla cinerea,Motacilla cinerea,2,NA,Motacilla cinerea,Motacilla cinerea,Motacilla cinerea,Motacilla cinerea,Motacilla cinerea,Motacilla cinerea
Motacilla flava,Motacilla flava,2,NA,Motacilla flava,Motacilla flava,Motacilla flava,NA,Motacilla flava,Motacilla flava
Motacilla grandis,Motacilla grandis,2,NA,Motacilla grandis,Motacilla grandis,Motacilla grandis,NA,Motacilla grandis,Motacilla grandis
Muscicapa dauurica,Muscicapa dauurica,2,NA,Muscicapa dauurica,Muscicapa dauurica,Muscicapa dauurica,Muscicapa dauurica,Muscicapa dauurica,Muscicapa dauurica
Muscicapa sibirica,Muscicapa sibirica,2,NA,Muscicapa sibirica,Muscicapa sibirica,Muscicapa sibirica,Muscicapa sibirica,Muscicapa sibirica,Muscicapa sibirica
Ninox scutulata,Ninox scutulata,2,NA,Ninox scutulata,Ninox scutulata,Ninox scutulata,NA,Ninox scutulata,Ninox scutulata
Nipponia nippon,Nipponia nippon,2,NA,Nipponia nippon,Nipponia nippon,Nipponia nippon,NA,Nipponia nippon,Nipponia nippon
Nisaetus nipalensis,Nisaetus nipalensis,2,NA,Nisaetus nipalensis,Nisaetus nipalensis,Nisaetus nipalensis,NA,Nisaetus nipalensis,Nisaetus nipalensis
Nucifraga caryocatactes,Nucifraga caryocatactes,2,NA,Nucifraga caryocatactes,Nucifraga caryocatactes,Nucifraga caryocatactes,NA,Nucifraga caryocatactes,Nucifraga caryocatactes
Nycticorax nycticorax,Nycticorax nycticorax,2,NA,Nycticorax nycticorax,Nycticorax nycticorax,Nycticorax nycticorax,Nycticorax nycticorax,Nycticorax nycticorax,Nycticorax nycticorax
Oceanodroma leucorhoa,Oceanodroma leucorhoa,2,NA,Oceanodroma leucorhoa,Oceanodroma leucorhoa,NA,NA,Oceanodroma leucorhoa,Oceanodroma leucorhoa
Otus elegans,Otus elegans,2,NA,Otus elegans,Otus elegans,Otus elegans,NA,Otus elegans,Otus elegans
Otus lempiji,Otus lempiji,2,NA,Otus lempiji,Otus lempiji,Otus lempiji,NA,Otus lempiji,Otus lempiji
Otus sunia,Otus sunia,2,NA,Otus sunia,Otus sunia,Otus sunia,Otus sunia,Otus sunia,Otus sunia
Pandion haliaetus,Pandion haliaetus,2,NA,Pandion haliaetus,Pandion haliaetus,Pandion haliaetus,Pandion haliaetus,Pandion haliaetus,Pandion haliaetus
Parus minor,Parus minor,2,NA,Parus minor,Parus minor,Parus minor,NA,Parus minor,Parus minor
Passer montanus,Passer montanus,2,NA,Passer montanus,Passer montanus,Passer montanus,Passer montanus,Passer montanus,Passer montanus
Passer rutilans,Passer rutilans,2,NA,Passer rutilans,Passer rutilans,NA,NA,Passer rutilans,Passer rutilans
Pavo cristatus,Pavo cristatus,2,NA,Pavo cristatus,Pavo cristatus,Pavo cristatus,Pavo cristatus,Pavo cristatus,Pavo cristatus
Pericrocotus divaricatus,Pericrocotus divaricatus,2,NA,Pericrocotus divaricatus,Pericrocotus divaricatus,Pericrocotus divaricatus,NA,Pericrocotus divaricatus,Pericrocotus divaricatus
Periparus ater,Periparus ater,2,NA,Periparus ater,Periparus ater,Periparus ater,NA,Periparus ater,NA
Pernis ptilorhynchus,Pernis ptilorhynchus,2,NA,Pernis ptilorhynchus,Pernis ptilorhynchus,Pernis ptilorhynchus,NA,Pernis ptilorhynchus,Pernis ptilorhynchus
Phalacrocorax capillatus,Phalacrocorax capillatus,2,NA,Phalacrocorax capillatus,Phalacrocorax capillatus,Phalacrocorax capillatus,NA,Phalacrocorax capillatus,Phalacrocorax capillatus
Phalacrocorax carbo,Phalacrocorax carbo,2,NA,Phalacrocorax carbo,Phalacrocorax carbo,Phalacrocorax carbo,Phalacrocorax carbo,Phalacrocorax carbo,Phalacrocorax carbo
Phalacrocorax pelagicus,Phalacrocorax pelagicus,2,NA,Phalacrocorax pelagicus,Phalacrocorax pelagicus,NA,Phalacrocorax pelagicus,Phalacrocorax pelagicus,Phalacrocorax pelagicus
Phalacrocorax urile,Phalacrocorax urile,2,NA,Phalacrocorax urile,Phalacrocorax urile,NA,Phalacrocorax urile,Phalacrocorax urile,Phalacrocorax urile
Phasianus colchicus,Phasianus colchicus,2,NA,Phasianus colchicus,Phasianus colchicus,Phasianus colchicus,Phasianus colchicus,Phasianus colchicus,Phasianus colchicus
Phoenicurus auroreus,Phoenicurus auroreus,2,NA,Phoenicurus auroreus,Phoenicurus auroreus,Phoenicurus auroreus,NA,Phoenicurus auroreus,Phoenicurus auroreus
Phylloscopus borealoides,Phylloscopus borealoides,2,NA,Phylloscopus borealoides,Phylloscopus borealoides,Phylloscopus borealoides,NA,Phylloscopus borealoides,Phylloscopus borealoides
