"","sp_atlas","Accepted_SPNAME","sp_sci_name"
"311","Empidonax flaviventris","Empidonax flaviventris","Empidonax flaviventris"
"312","Empidonax minimus","Empidonax minimus","Empidonax minimus"
"313","Empidonax traillii","Empidonax traillii","Empidonax traillii"
"314","Empidonax virescens","Empidonax virescens","Empidonax virescens"
"315","Eophona personata","Eophona personata","Eophona personata"
"316","Eremophila alpestris","Eremophila alpestris","Eremophila alpestris"
"317","Erithacus rubecula","Erithacus rubecula","Erithacus rubecula"
"318","Estrilda astrild","Estrilda astrild","Estrilda astrild"
"319","Eudromias morinellus","Charadrius morinellus","Eudromias morinellus"
"320","Euphagus carolinus","Euphagus carolinus","Euphagus carolinus"
"321","Eurystomus orientalis","Eurystomus orientalis","Eurystomus orientalis"
"322","Falcipennis canadensis","Falcipennis canadensis","Canachites canadensis"
"323","Falcipennis canadensis","Falcipennis canadensis","Canachites franklinii"
"324","Falco biarmicus","Falco biarmicus","Falco biarmicus"
"325","Falco cherrug","Falco cherrug","Falco cherrug"
"326","Falco columbarius","Falco columbarius","Falco columbarius"
"327","Falco eleonorae","Falco eleonorae","Falco eleonorae"
"328","Falco naumanni","Falco naumanni","Falco naumanni"
"329","Falco peregrinus","Falco peregrinus","Falco peregrinus"
"330","Falco rusticolus","Falco rusticolus","Falco rusticolus"
"331","Falco sparverius","Falco sparverius","Falco sparverius"
"332","Falco subbuteo","Falco subbuteo","Falco subbuteo"
"333","Falco tinnunculus","Falco tinnunculus","Falco tinnunculus"
"334","Falco vespertinus","Falco vespertinus","Falco vespertinus"
"335","Ficedula albicollis","Ficedula albicollis","Ficedula albicollis"
"336","Ficedula hypoleuca","Ficedula hypoleuca","Ficedula hypoleuca"
"337","Ficedula narcissina","Ficedula narcissina","Ficedula narcissina"
"338","Ficedula parva","Ficedula parva","Ficedula parva"
"339","Ficedula semitorquata","Ficedula semitorquata","Ficedula semitorquata"
"340","Fratercula arctica","Fratercula arctica","Fratercula arctica"
