occurrenceId;sp_BirdTree;scientificName;key;matchType;confidence;status;rank;kingdom;phylum;class;order;family;genus;species;canonicalName;authorship;usageKey;acceptedUsageKey
;Lonchura grandis;Lonchura grandis (Sharpe, 1882);2493595;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Estrildidae;Lonchura;Lonchura grandis;Lonchura grandis;(Sharpe, 1882) ;2493595;
;Lonchura caniceps;Lonchura caniceps (Salvadori, 1876);2493603;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Estrildidae;Lonchura;Lonchura caniceps;Lonchura caniceps;(Salvadori, 1876) ;2493603;
;Lonchura atricapilla;Lonchura atricapilla (Vieillot, 1807);2493623;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Estrildidae;Lonchura;Lonchura atricapilla;Lonchura atricapilla;(Vieillot, 1807) ;2493623;
;Lonchura nigerrima;Lonchura nigerrima (Rothschild & Hartert, 1899);2493627;EXACT;98;SYNONYM;SPECIES;Animalia;Chordata;Aves;Passeriformes;Estrildidae;Lonchura;Lonchura hunsteini;Lonchura nigerrima;(Rothschild & Hartert, 1899) ;2493627;8953026
;Lonchura stygia;Lonchura stygia Stresemann, 1934;2493606;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Estrildidae;Lonchura;Lonchura stygia;Lonchura stygia;Stresemann, 1934;2493606;
;Lonchura leucogastra;Lonchura leucogastra (Blyth, 1846);2493597;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Estrildidae;Lonchura;Lonchura leucogastra;Lonchura leucogastra;(Blyth, 1846) ;2493597;
;Lonchura montana;Lonchura montana Junge, 1939;2493625;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Estrildidae;Lonchura;Lonchura montana;Lonchura montana;Junge, 1939;2493625;
;Lonchura vana;Lonchura vana (Hartert, 1930);2493596;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Estrildidae;Lonchura;Lonchura vana;Lonchura vana;(Hartert, 1930) ;2493596;
;Lonchura griseicapilla;Lonchura griseicapilla Delacour, 1943;2493621;EXACT;98;SYNONYM;SPECIES;Animalia;Chordata;Aves;Passeriformes;Estrildidae;Odontospiza;Odontospiza caniceps;Lonchura griseicapilla;Delacour, 1943;2493621;5845608
;Lonchura spectabilis;Lonchura spectabilis (P.L.Sclater, 1879);2493631;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Estrildidae;Lonchura;Lonchura spectabilis;Lonchura spectabilis;(P.L.Sclater, 1879) ;2493631;
;Lonchura molucca;Lonchura molucca (Linnaeus, 1766);2493600;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Estrildidae;Lonchura;Lonchura molucca;Lonchura molucca;(Linnaeus, 1766) ;2493600;
;Lonchura leucosticta;Lonchura leucosticta (Albertis & Salvadori, 1879);2493609;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Estrildidae;Lonchura;Lonchura leucosticta;Lonchura leucosticta;(Albertis & Salvadori, 1879) ;2493609;
;Lonchura ferruginosa;Lonchura ferruginosa (Sparrman, 1789);2493605;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Estrildidae;Lonchura;Lonchura ferruginosa;Lonchura ferruginosa;(Sparrman, 1789) ;2493605;
;Lonchura nana;Lonchura nana;5789081;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Estrildidae;Lonchura;Lonchura nana;Lonchura nana;;5789081;
;Lonchura leucogastroides;Lonchura leucogastroides (Moore, 1858);2493622;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Estrildidae;Lonchura;Lonchura leucogastroides;Lonchura leucogastroides;(Moore, 1858) ;2493622;
;Lonchura kelaarti;Lonchura kelaarti (Jerdon, 1863);2493608;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Estrildidae;Lonchura;Lonchura kelaarti;Lonchura kelaarti;(Jerdon, 1863) ;2493608;
;Lonchura striata;Lonchura striata (Linnaeus, 1766);2493618;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Estrildidae;Lonchura;Lonchura striata;Lonchura striata;(Linnaeus, 1766) ;2493618;
;Lonchura punctulata;Lonchura punctulata (Linnaeus, 1758);2493598;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Estrildidae;Lonchura;Lonchura punctulata;Lonchura punctulata;(Linnaeus, 1758) ;2493598;
;Lonchura nevermanni;Lonchura nevermanni Stresemann, 1934;2493602;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Estrildidae;Lonchura;Lonchura nevermanni;Lonchura nevermanni;Stresemann, 1934;2493602;
;Lonchura fuscans;Lonchura fuscans (Cassin, 1852);2493619;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Estrildidae;Lonchura;Lonchura fuscans;Lonchura fuscans;(Cassin, 1852) ;2493619;
;Lonchura malacca;Lonchura malacca (Linnaeus, 1766);2493626;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Estrildidae;Lonchura;Lonchura malacca;Lonchura malacca;(Linnaeus, 1766) ;2493626;
;Lonchura maja;Lonchura maja (Linnaeus, 1766);2493599;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Estrildidae;Lonchura;Lonchura maja;Lonchura maja;(Linnaeus, 1766) ;2493599;
;Lonchura pallida;Lonchura pallida (Wallace, 1864);2493604;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Estrildidae;Lonchura;Lonchura pallida;Lonchura pallida;(Wallace, 1864) ;2493604;
;Lonchura flaviprymna;Lonchura flaviprymna (Gould, 1845);2493630;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Estrildidae;Lonchura;Lonchura flaviprymna;Lonchura flaviprymna;(Gould, 1845) ;2493630;
;Lonchura monticola;Lonchura monticola (De Vis, 1897);2493612;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Estrildidae;Lonchura;Lonchura monticola;Lonchura monticola;(De Vis, 1897) ;2493612;
;Lonchura quinticolor;Lonchura quinticolor (Vieillot, 1807);2493616;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Estrildidae;Lonchura;Lonchura quinticolor;Lonchura quinticolor;(Vieillot, 1807) ;2493616;
;Lonchura castaneothorax;Lonchura castaneothorax (Gould, 1837);2493615;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Estrildidae;Lonchura;Lonchura castaneothorax;Lonchura castaneothorax;(Gould, 1837) ;2493615;
;Lonchura malabarica;Lonchura malabarica (Linnaeus, 1758);2493601;EXACT;98;SYNONYM;SPECIES;Animalia;Chordata;Aves;Passeriformes;Estrildidae;Euodice;Euodice malabarica;Lonchura malabarica;(Linnaeus, 1758) ;2493601;5789082
;Lonchura cantans;Lonchura cantans (Gmelin, 1789);2493628;EXACT;98;SYNONYM;SPECIES;Animalia;Chordata;Aves;Passeriformes;Estrildidae;Euodice;Euodice cantans;Lonchura cantans;(Gmelin, 1789) ;2493628;7340335
;Lonchura hunsteini;Lonchura hunsteini (Finsch, 1886);2493611;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Estrildidae;Lonchura;Lonchura hunsteini;Lonchura hunsteini;(Finsch, 1886) ;2493611;
;Oreostruthus fuliginosus;Oreostruthus fuliginosus (De Vis, 1897);2493742;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Estrildidae;Oreostruthus;Oreostruthus fuliginosus;Oreostruthus fuliginosus;(De Vis, 1897) ;2493742;
;Padda oryzivora;Padda oryzivora (Linnaeus, 1758);2493591;EXACT;98;SYNONYM;SPECIES;Animalia;Chordata;Aves;Passeriformes;Estrildidae;Lonchura;Lonchura oryzivora;Padda oryzivora;(Linnaeus, 1758) ;2493591;4845776
;Padda fuscata;Padda fuscata (Vieillot, 1807);2493592;EXACT;98;SYNONYM;SPECIES;Animalia;Chordata;Aves;Passeriformes;Estrildidae;Lonchura;Lonchura fuscata;Padda fuscata;(Vieillot, 1807) ;2493592;6095082
;Erythrura prasina;Erythrura prasina (Sparrman, 1788);5231416;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Estrildidae;Erythrura;Erythrura prasina;Erythrura prasina;(Sparrman, 1788) ;5231416;
;Erythrura pealii;Erythrura pealii Hartlaub, 1852;5231411;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Estrildidae;Erythrura;Erythrura pealii;Erythrura pealii;Hartlaub, 1852;5231411;
;Erythrura hyperythra;Erythrura hyperythra (Reichenbach, 1862);5231422;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Estrildidae;Erythrura;Erythrura hyperythra;Erythrura hyperythra;(Reichenbach, 1862) ;5231422;
;Erythrura papuana;Erythrura papuana Hartert, 1900;5231419;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Estrildidae;Erythrura;Erythrura papuana;Erythrura papuana;Hartert, 1900;5231419;
;Erythrura trichroa;Erythrura trichroa (Kittlitz, 1833);5231414;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Estrildidae;Erythrura;Erythrura trichroa;Erythrura trichroa;(Kittlitz, 1833) ;5231414;
;Erythrura tricolor;Erythrura tricolor (Vieillot, 1817);5231420;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Estrildidae;Erythrura;Erythrura tricolor;Erythrura tricolor;(Vieillot, 1817) ;5231420;
;Erythrura coloria;Erythrura coloria Ripley & Rabor, 1961;5231421;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Estrildidae;Erythrura;Erythrura coloria;Erythrura coloria;Ripley & Rabor, 1961;5231421;
;Erythrura cyaneovirens;Erythrura cyaneovirens (Peale, 1848);5231418;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Estrildidae;Erythrura;Erythrura cyaneovirens;Erythrura cyaneovirens;(Peale, 1848) ;5231418;
;Erythrura psittacea;Erythrura psittacea (Gmelin, 1789);5231412;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Estrildidae;Erythrura;Erythrura psittacea;Erythrura psittacea;(Gmelin, 1789) ;5231412;
;Erythrura regia;Erythrura regia (P.L.Sclater, 1881);5231417;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Estrildidae;Erythrura;Erythrura regia;Erythrura regia;(P.L.Sclater, 1881) ;5231417;
;Erythrura gouldiae;Erythrura gouldiae (Gould, 1844);5789080;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Estrildidae;Erythrura;Erythrura gouldiae;Erythrura gouldiae;(Gould, 1844) ;5789080;
;Erythrura viridifacies;Erythrura viridifacies Hachisuka & Delacour, 1937;5231413;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Estrildidae;Erythrura;Erythrura viridifacies;Erythrura viridifacies;Hachisuka & Delacour, 1937;5231413;
;Erythrura kleinschmidti;Erythrura kleinschmidti (Finsch, 1878);5231415;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Estrildidae;Erythrura;Erythrura kleinschmidti;Erythrura kleinschmidti;(Finsch, 1878) ;5231415;
;Ortygospiza locustella;Ortygospiza locustella (Neave, 1909);2493710;EXACT;98;SYNONYM;SPECIES;Animalia;Chordata;Aves;Passeriformes;Estrildidae;Paludipasser;Paludipasser locustella;Ortygospiza locustella;(Neave, 1909) ;2493710;7340452
;Ortygospiza atricollis;Ortygospiza atricollis (Vieillot, 1817);2493711;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Estrildidae;Ortygospiza;Ortygospiza atricollis;Ortygospiza atricollis;(Vieillot, 1817) ;2493711;
;Ortygospiza gabonensis;Ortygospiza gabonensis Lynes, 1914;2493712;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Estrildidae;Ortygospiza;Ortygospiza gabonensis;Ortygospiza gabonensis;Lynes, 1914;2493712;
;Ortygospiza fuscocrissa;Ortygospiza fuscocrissa Heuglin, 1863;7340456;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Estrildidae;Ortygospiza;Ortygospiza fuscocrissa;Ortygospiza fuscocrissa;Heuglin, 1863;7340456;
;Heteromunia pectoralis;Heteromunia pectoralis (Gould, 1841);2493649;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Estrildidae;Heteromunia;Heteromunia pectoralis;Heteromunia pectoralis;(Gould, 1841) ;2493649;
;Amandava formosa;Amandava formosa (Latham, 1790);2493696;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Estrildidae;Amandava;Amandava formosa;Amandava formosa;(Latham, 1790) ;2493696;
;Amandava subflava;Amandava subflava (Vieillot, 1819);2493697;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Estrildidae;Amandava;Amandava subflava;Amandava subflava;(Vieillot, 1819) ;2493697;
;Amandava amandava;Amandava amandava (Linnaeus, 1758);2493698;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Estrildidae;Amandava;Amandava amandava;Amandava amandava;(Linnaeus, 1758) ;2493698;
;Vidua togoensis;Vidua togoensis (Grote, 1923);2484617;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Viduidae;Vidua;Vidua togoensis;Vidua togoensis;(Grote, 1923) ;2484617;
;Vidua regia;Vidua regia (Linnaeus, 1766);2484627;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Viduidae;Vidua;Vidua regia;Vidua regia;(Linnaeus, 1766) ;2484627;
;Vidua funerea;Vidua funerea (Tarragon, 1847);2484614;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Viduidae;Vidua;Vidua funerea;Vidua funerea;(Tarragon, 1847) ;2484614;
;Vidua wilsoni;Vidua wilsoni (Hartert, 1901);2484622;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Viduidae;Vidua;Vidua wilsoni;Vidua wilsoni;(Hartert, 1901) ;2484622;
;Vidua camerunensis;Vidua camerunensis (Grote, 1922);5789088;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Viduidae;Vidua;Vidua camerunensis;Vidua camerunensis;(Grote, 1922) ;5789088;
;Vidua codringtoni;Vidua codringtoni (Neave, 1907);2484618;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Viduidae;Vidua;Vidua codringtoni;Vidua codringtoni;(Neave, 1907) ;2484618;
;Vidua raricola;Vidua raricola Payne, 1982;2484621;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Viduidae;Vidua;Vidua raricola;Vidua raricola;Payne, 1982;2484621;
;Vidua purpurascens;Vidua purpurascens (Reichenow, 1883);2484616;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Viduidae;Vidua;Vidua purpurascens;Vidua purpurascens;(Reichenow, 1883) ;2484616;
;Vidua chalybeata;Vidua chalybeata (Statius Muller, 1776);2484613;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Viduidae;Vidua;Vidua chalybeata;Vidua chalybeata;(Statius Muller, 1776) ;2484613;
;Vidua fischeri;Vidua fischeri (Reichenow, 1882);2484623;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Viduidae;Vidua;Vidua fischeri;Vidua fischeri;(Reichenow, 1882) ;2484623;
;Vidua larvaticola;Vidua larvaticola Payne, 1982;2484615;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Viduidae;Vidua;Vidua larvaticola;Vidua larvaticola;Payne, 1982;2484615;
;Vidua hypocherina;Vidua hypocherina J.Verreaux & E.Verreaux, 1856;2484619;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Viduidae;Vidua;Vidua hypocherina;Vidua hypocherina;J.Verreaux & E.Verreaux, 1856;2484619;
;Vidua nigeriae;Vidua nigeriae (Alexander, 1908);5789089;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Viduidae;Vidua;Vidua nigeriae;Vidua nigeriae;(Alexander, 1908) ;5789089;
;Vidua macroura;Vidua macroura (Pallas, 1764);2484628;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Viduidae;Vidua;Vidua macroura;Vidua macroura;(Pallas, 1764) ;2484628;
;Vidua maryae;Vidua maryae Payne, 1982;5789090;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Viduidae;Vidua;Vidua maryae;Vidua maryae;Payne, 1982;5789090;
;Vidua obtusa;Vidua obtusa (Chapin, 1922);2484625;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Viduidae;Vidua;Vidua obtusa;Vidua obtusa;(Chapin, 1922) ;2484625;
;Vidua paradisaea;Vidua paradisaea (Linnaeus, 1758);2484626;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Viduidae;Vidua;Vidua paradisaea;Vidua paradisaea;(Linnaeus, 1758) ;2484626;
;Vidua interjecta;Vidua interjecta (Grote, 1922);2484624;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Viduidae;Vidua;Vidua interjecta;Vidua interjecta;(Grote, 1922) ;2484624;
;Vidua orientalis;Vidua orientalis Heuglin, 1870;2484620;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Viduidae;Vidua;Vidua orientalis;Vidua orientalis;Heuglin, 1870;2484620;
;Anomalospiza imberbis;Anomalospiza imberbis (Cabanis, 1868);2484611;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Viduidae;Anomalospiza;Anomalospiza imberbis;Anomalospiza imberbis;(Cabanis, 1868) ;2484611;
;Anthus rufulus;Anthus rufulus Vieillot, 1818;2490277;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Motacillidae;Anthus;Anthus rufulus;Anthus rufulus;Vieillot, 1818;2490277;
;Anthus crenatus;Anthus crenatus Finsch & Hartlaub, 1870;2490291;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Motacillidae;Anthus;Anthus crenatus;Anthus crenatus;Finsch & Hartlaub, 1870;2490291;
;Anthus brachyurus;Anthus brachyurus Sundevall, 1850;2490287;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Motacillidae;Anthus;Anthus brachyurus;Anthus brachyurus;Sundevall, 1850;2490287;
;Anthus godlewskii;Anthus godlewskii (Taczanowski, 1876);2490264;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Motacillidae;Anthus;Anthus godlewskii;Anthus godlewskii;(Taczanowski, 1876) ;2490264;
;Anthus nilghiriensis;Anthus nilghiriensis Sharpe, 1885;2490250;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Motacillidae;Anthus;Anthus nilghiriensis;Anthus nilghiriensis;Sharpe, 1885;2490250;
;Anthus hoeschi;Anthus hoeschi Stresemann, 1938;2490282;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Motacillidae;Anthus;Anthus hoeschi;Anthus hoeschi;Stresemann, 1938;2490282;
;Anthus vaalensis;Anthus vaalensis Shelley, 1900;2490265;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Motacillidae;Anthus;Anthus vaalensis;Anthus vaalensis;Shelley, 1900;2490265;
;Anthus similis;Anthus similis (Jerdon, 1840);2490292;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Motacillidae;Anthus;Anthus similis;Anthus similis;(Jerdon, 1840) ;2490292;
;Anthus berthelotii;Anthus berthelotii Bolle, 1862;2490270;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Motacillidae;Anthus;Anthus berthelotii;Anthus berthelotii;Bolle, 1862;2490270;
;Anthus campestris;Anthus campestris (Linnaeus, 1758);2490274;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Motacillidae;Anthus;Anthus campestris;Anthus campestris;(Linnaeus, 1758) ;2490274;
;Anthus caffer;Anthus caffer Sundevall, 1850;2490272;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Motacillidae;Anthus;Anthus caffer;Anthus caffer;Sundevall, 1850;2490272;
;Anthus bogotensis;Anthus bogotensis P.L.Sclater, 1855;2490249;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Motacillidae;Anthus;Anthus bogotensis;Anthus bogotensis;P.L.Sclater, 1855;2490249;
;Anthus richardi;Anthus richardi Vieillot, 1818;9465111;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Motacillidae;Anthus;Anthus richardi;Anthus richardi;Vieillot, 1818;9465111;
;Anthus melindae;Anthus melindae Shelley, 1900;2490286;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Motacillidae;Anthus;Anthus melindae;Anthus melindae;Shelley, 1900;2490286;
;Anthus novaeseelandiae;Anthus novaeseelandiae (Gmelin, 1789);2490273;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Motacillidae;Anthus;Anthus novaeseelandiae;Anthus novaeseelandiae;(Gmelin, 1789) ;2490273;
;Anthus nattereri;Anthus nattereri P.L.Sclater, 1878;2490271;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Motacillidae;Anthus;Anthus nattereri;Anthus nattereri;P.L.Sclater, 1878;2490271;
;Anthus sylvanus;Anthus sylvanus (Hodgson, 1845);2490243;EXACT;97;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Motacillidae;Anthus;Anthus sylvanus;Anthus sylvanus;(Hodgson, 1845) ;2490243;
;Anthus longicaudatus;Anthus longicaudatus Liversidge, 1996;2490269;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Motacillidae;Anthus;Anthus longicaudatus;Anthus longicaudatus;Liversidge, 1996;2490269;
;Anthus pallidiventris;Anthus pallidiventris Sharpe, 1885;2490288;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Motacillidae;Anthus;Anthus pallidiventris;Anthus pallidiventris;Sharpe, 1885;2490288;
;Anthus hellmayri;Anthus hellmayri Hartert, 1909;2490280;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Motacillidae;Anthus;Anthus hellmayri;Anthus hellmayri;Hartert, 1909;2490280;
;Anthus correndera;Anthus correndera Vieillot, 1818;9286490;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Motacillidae;Anthus;Anthus correndera;Anthus correndera;Vieillot, 1818;9286490;
;Anthus spragueii;Anthus spragueii (Audubon, 1844);2490268;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Motacillidae;Anthus;Anthus spragueii;Anthus spragueii;(Audubon, 1844) ;2490268;
;Anthus lutescens;Anthus lutescens Pucheran, 1855;2490248;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Motacillidae;Anthus;Anthus lutescens;Anthus lutescens;Pucheran, 1855;2490248;
;Anthus roseatus;Anthus roseatus Blyth, 1847;2490290;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Motacillidae;Anthus;Anthus roseatus;Anthus roseatus;Blyth, 1847;2490290;
;Anthus pratensis;Anthus pratensis (Linnaeus, 1758);2490266;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Motacillidae;Anthus;Anthus pratensis;Anthus pratensis;(Linnaeus, 1758) ;2490266;
;Anthus spinoletta;Anthus spinoletta (Linnaeus, 1758);2490255;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Motacillidae;Anthus;Anthus spinoletta;Anthus spinoletta;(Linnaeus, 1758) ;2490255;
;Anthus petrosus;Anthus petrosus (Montagu, 1798);2490275;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Motacillidae;Anthus;Anthus petrosus;Anthus petrosus;(Montagu, 1798) ;2490275;
;Anthus rubescens;Anthus rubescens (Tunstall, 1771);2490263;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Motacillidae;Anthus;Anthus rubescens;Anthus rubescens;(Tunstall, 1771) ;2490263;
;Anthus leucophrys;Anthus leucophrys Vieillot, 1818;2490245;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Motacillidae;Anthus;Anthus leucophrys;Anthus leucophrys;Vieillot, 1818;2490245;
;Anthus gutturalis;Anthus gutturalis De Vis, 1894;2490242;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Motacillidae;Anthus;Anthus gutturalis;Anthus gutturalis;De Vis, 1894;2490242;
;Anthus cervinus;Anthus cervinus (Pallas, 1811);2490283;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Motacillidae;Anthus;Anthus cervinus;Anthus cervinus;(Pallas, 1811) ;2490283;
;Anthus trivialis;Anthus trivialis (Linnaeus, 1758);2490246;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Motacillidae;Anthus;Anthus trivialis;Anthus trivialis;(Linnaeus, 1758) ;2490246;
;Anthus chacoensis;Anthus chacoensis Zimmer, 1952;2490253;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Motacillidae;Anthus;Anthus chacoensis;Anthus chacoensis;Zimmer, 1952;2490253;
;Anthus hodgsoni;Anthus hodgsoni Richmond, 1907;2490244;EXACT;98;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Motacillidae;Anthus;Anthus hodgsoni;Anthus hodgsoni;Richmond, 1907;2490244;
;Anthus sokokensis;Anthus sokokensis Someren, 1921;2490279;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Motacillidae;Anthus;Anthus sokokensis;Anthus sokokensis;Someren, 1921;2490279;
;Anthus furcatus;Anthus furcatus Orbigny & Lafresnaye, 1837;2490278;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Motacillidae;Anthus;Anthus furcatus;Anthus furcatus;Orbigny & Lafresnaye, 1837;2490278;
