scientificName
Hypsipetes lucasi
Hypsipetes longirostris
Hypsipetes mysticalis
Rubigula dispar
Rubigula gularis
Rubigula montis
Ixidia squamata
Montecincla jerdoni
Montecincla meridionalis
Rubigula melanictera
Montecincla fairbanki
Zosterops emiliae
Ixidia cyaniventris
Ixidia erythropthalmos
Sholicola albiventris
Sholicola major
Nok hualon
Hemixos leucogrammicus
Alcurus striatus
Rubigula flaviventris
Montecincla cachinnans
Hypsipetes platenae
Atronanus fuliginosus
Paraclaravis geoffroyi
Hypotaenidia owstoni
Urile perspicillatus
Chaetura martinica
Chaetura meridionalis
Chalcites osculans
Chalcites ruficollis
Chalcophaps indica
Chalcophaps longirostris
Chalcopsitta atra
Chalcopsitta cardinalis
Chalcopsitta duivenbodei
Chalcopsitta scintillata
Chalcostigma herrani
Chalcostigma olivaceum
Charadrius alticola
Chalcostigma ruficeps
Charadrius bifrontatus
Charadrius collaris
Chrysocolaptes haematribon
Chalcostigma stanleyi
Charadrius dealbatus
Chamaepetes goudotii
Chamaepetes unicolor
Chrysocolaptes lucidus
Charadrius javanicus
Charadrius nivosus
Charadrius obscurus
Charadrius pallidus
Charadrius pecuarius
Charadrius peronii
Charadrius placidus
Charadrius ruficapillus
Chrysocolaptes stricklandi
Chrysocolaptes strictus
Chrysocolaptes validus
Charadrius sanctaehelenae
Charadrius semipalmatus
Chrysocolaptes xanthocephalus
Chrysoena luteovirens
Chrysoena victor
Fulica americana
Cynanthus forficatus
Charadrius veredus
Charadrius vociferus
Charadrius wilsonia
Charadrius thoracicus
Charadrius tricollaris
Charmosyna amabilis
Chlorostilbon gibsoni
Chlorostilbon lucidus
Charmosyna meeki
Charmosyna multistriata
Fulica ardesiaca
Fulica armillata
Charmosyna palmarum
Charmosyna papou
Charmosyna placentis
Charmosyna pulchella
Charmosyna rubrigularis
Chlidonias hybrida
Charmosyna rubronotata
Charmosyna stellae
Charmosyna toxopei
Charmosyna wilhelminae
Chelictinia riocourii
Chelidoptera tenebrosa
Chenonetta finschi
Chenonetta jubata
Chlidonias leucopterus
Chloephaga hybrida
Chloephaga melanoptera
Chloephaga picta
Chloephaga poliocephala
Chloephaga rubidiceps
Chloroceryle aenea
Chloroceryle inda
Riccordia maugaeus
