occurrenceId;verbatimScientificName;scientificName;key;matchType;confidence;status;rank;kingdom;phylum;class;order;family;genus;species;canonicalName;authorship;usageKey;acceptedUsageKey
;Aquila nipalensis;Aquila nipalensis Hodgson, 1833;2480513;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Aquila;Aquila nipalensis;Aquila nipalensis;Hodgson, 1833;2480513;
;Aquila rapax;Aquila rapax (Temminck, 1828);2480514;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Aquila;Aquila rapax;Aquila rapax;(Temminck, 1828) ;2480514;
;Aquila spilogaster;Aquila spilogaster (Bonaparte, 1850);6066199;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Aquila;Aquila spilogaster;Aquila spilogaster;(Bonaparte, 1850) ;6066199;
;Aquila verreauxii;Aquila verreauxii Lesson, 1831;5229184;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Aquila;Aquila verreauxii;Aquila verreauxii;Lesson, 1831;5229184;
;Aviceda cuculoides;Aviceda cuculoides Swainson, 1837;2480705;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Aviceda;Aviceda cuculoides;Aviceda cuculoides;Swainson, 1837;2480705;
;Aviceda jerdoni;Aviceda jerdoni (Blyth, 1842);2480708;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Aviceda;Aviceda jerdoni;Aviceda jerdoni;(Blyth, 1842) ;2480708;
;Aviceda leuphotes;Aviceda leuphotes (Dumont, 1820);2480706;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Aviceda;Aviceda leuphotes;Aviceda leuphotes;(Dumont, 1820) ;2480706;
;Aviceda madagascariensis;Aviceda madagascariensis (A.Smith, 1834);2480704;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Aviceda;Aviceda madagascariensis;Aviceda madagascariensis;(A.Smith, 1834) ;2480704;
;Aviceda subcristata;Aviceda subcristata (Gould, 1838);2480707;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Aviceda;Aviceda subcristata;Aviceda subcristata;(Gould, 1838) ;2480707;
;Busarellus nigricollis;Busarellus nigricollis (Latham, 1790);2480692;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Busarellus;Busarellus nigricollis;Busarellus nigricollis;(Latham, 1790) ;2480692;
;Butastur indicus;Butastur indicus (Gmelin, 1788);2480477;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Butastur;Butastur indicus;Butastur indicus;(Gmelin, 1788) ;2480477;
;Butastur liventer;Butastur liventer (Temminck, 1827);2480479;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Butastur;Butastur liventer;Butastur liventer;(Temminck, 1827) ;2480479;
;Butastur rufipennis;Butastur rufipennis (Sundevall, 1850);2480480;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Butastur;Butastur rufipennis;Butastur rufipennis;(Sundevall, 1850) ;2480480;
;Butastur teesa;Butastur teesa (Franklin, 1831);2480478;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Butastur;Butastur teesa;Butastur teesa;(Franklin, 1831) ;2480478;
;Buteo albigula;Buteo albigula Philippi, 1899;2480535;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Buteo;Buteo albigula;Buteo albigula;Philippi, 1899;2480535;
;Buteo albonotatus;Buteo albonotatus Kaup, 1847;2480541;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Buteo;Buteo albonotatus;Buteo albonotatus;Kaup, 1847;2480541;
;Buteo augur;Buteo augur (Ruppell, 1836);2480540;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Buteo;Buteo augur;Buteo augur;(Ruppell, 1836) ;2480540;
;Buteo auguralis;Buteo auguralis Salvadori, 1865;2480568;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Buteo;Buteo auguralis;Buteo auguralis;Salvadori, 1865;2480568;
;Buteo brachypterus;Buteo brachypterus Hartlaub, 1860;2480560;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Buteo;Buteo brachypterus;Buteo brachypterus;Hartlaub, 1860;2480560;
;Buteo brachyurus;Buteo brachyurus Vieillot, 1816;2480553;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Buteo;Buteo brachyurus;Buteo brachyurus;Vieillot, 1816;2480553;
;Buteo buteo;Buteo buteo (Linnaeus, 1758);2480537;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Buteo;Buteo buteo;Buteo buteo;(Linnaeus, 1758) ;2480537;
;Buteo galapagoensis;Buteo galapagoensis (Gould, 1837);2480569;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Buteo;Buteo galapagoensis;Buteo galapagoensis;(Gould, 1837) ;2480569;
;Buteo hemilasius;Buteo hemilasius Temminck & Schlegel, 1844;2480567;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Buteo;Buteo hemilasius;Buteo hemilasius;Temminck & Schlegel, 1844;2480567;
;Buteo jamaicensis;Buteo jamaicensis (Gmelin, 1788);2480542;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Buteo;Buteo jamaicensis;Buteo jamaicensis;(Gmelin, 1788) ;2480542;
;Buteo japonicus;Buteo japonicus Temminck & Schlegel, 1844;5844385;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Buteo;Buteo japonicus;Buteo japonicus;Temminck & Schlegel, 1844;5844385;
;Buteo lagopus;Buteo lagopus (Pontoppidan, 1763);2480524;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Buteo;Buteo lagopus;Buteo lagopus;(Pontoppidan, 1763) ;2480524;
;Buteo lineatus;Buteo lineatus (Gmelin, 1788);2480529;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Buteo;Buteo lineatus;Buteo lineatus;(Gmelin, 1788) ;2480529;
;Buteo nitidus;Buteo nitidus (Latham, 1790);2480556;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Buteo;Buteo nitidus;Buteo nitidus;(Latham, 1790) ;2480556;
;Buteo oreophilus;Buteo oreophilus Hartert & Neumann, 1914;2480536;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Buteo;Buteo oreophilus;Buteo oreophilus;Hartert & Neumann, 1914;2480536;
;Buteo plagiatus;Buteo plagiatus (Schlegel, 1862);7853540;EXACT;98;SYNONYM;SPECIES;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Buteo;Buteo nitidus;Buteo plagiatus;(Schlegel, 1862) ;7853540;6066240
;Buteo platypterus;Buteo platypterus (Vieillot, 1823);2480538;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Buteo;Buteo platypterus;Buteo platypterus;(Vieillot, 1823) ;2480538;
;Buteo refectus;Buteo refectus Portenko, 1935;7606380;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Buteo;Buteo refectus;Buteo refectus;Portenko, 1935;7606380;
;Buteo regalis;Buteo regalis (G.R.Gray, 1844);2480566;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Buteo;Buteo regalis;Buteo regalis;(G.R.Gray, 1844) ;2480566;
;Buteo ridgwayi;Buteo ridgwayi (Cory, 1883);2480523;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Buteo;Buteo ridgwayi;Buteo ridgwayi;(Cory, 1883) ;2480523;
;Buteo rufinus;Buteo rufinus (Cretzschmar, 1829);2480564;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Buteo;Buteo rufinus;Buteo rufinus;(Cretzschmar, 1829) ;2480564;
;Buteo rufofuscus;Buteo rufofuscus (J.R.Forster, 1798);2480554;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Buteo;Buteo rufofuscus;Buteo rufofuscus;(J.R.Forster, 1798) ;2480554;
;Buteo socotraensis;Buteo socotraensis Porter & Kirwan, 2010;6066254;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Buteo;Buteo socotraensis;Buteo socotraensis;Porter & Kirwan, 2010;6066254;
;Buteo solitarius;Buteo solitarius Peale, 1848;2480528;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Buteo;Buteo solitarius;Buteo solitarius;Peale, 1848;2480528;
