original_verbatim_name,name_in_data,wordCount,cellID,submitted_name,Birds of the World,eBird/Clements,American Ornithological Society,GBIF,BirdLife
Hydropogne caspia,Hydropogne caspia,2,NA,Hydropogne caspia,Hydroprogne caspia,Hydroprogne caspia,Hydroprogne caspia,Hydroprogne caspia,Hydroprogne caspia
Hylocichla mustelina,Hylocichla mustelina,2,NA,Hylocichla mustelina,Hylocichla mustelina,Hylocichla mustelina,Hylocichla mustelina,Hylocichla mustelina,Hylocichla mustelina
Icteria virens,Icteria virens,2,NA,Icteria virens,Icteria virens,Icteria virens,Icteria virens,Icteria virens,Icteria virens
Icterus galbula,Icterus galbula,2,NA,Icterus galbula,Icterus galbula,Icterus galbula,Icterus galbula,Icterus galbula,Icterus galbula
Icterus spurius,Icterus spurius,2,NA,Icterus spurius,Icterus spurius,Icterus spurius,Icterus spurius,Icterus spurius,Icterus spurius
Ixobrychus exilis,Ixobrychus exilis,2,NA,Ixobrychus exilis,Ixobrychus exilis,Ixobrychus exilis,Ixobrychus exilis,Ixobrychus exilis,Ixobrychus exilis
Junco hyemalis,Junco hyemalis,2,NA,Junco hyemalis,Junco hyemalis,Junco hyemalis,Junco hyemalis,Junco hyemalis,Junco hyemalis
Lanius ludovicianus,Lanius ludovicianus,2,NA,Lanius ludovicianus,Lanius ludovicianus,Lanius ludovicianus,Lanius ludovicianus,Lanius ludovicianus,Lanius ludovicianus
Larus argentatus,Larus argentatus,2,NA,Larus argentatus,Larus argentatus,Larus argentatus,Larus argentatus,Larus argentatus,Larus argentatus
Larus delawarensis,Larus delawarensis,2,NA,Larus delawarensis,Larus delawarensis,Larus delawarensis,Larus delawarensis,Larus delawarensis,Larus delawarensis
Larus marinus,Larus marinus,2,NA,Larus marinus,Larus marinus,Larus marinus,Larus marinus,Larus marinus,Larus marinus
Laterallus jamaicensis,Laterallus jamaicensis,2,NA,Laterallus jamaicensis,Laterallus jamaicensis,Laterallus jamaicensis,Laterallus jamaicensis,Laterallus jamaicensis,Laterallus jamaicensis
Leucophaeus atricilla,Leucophaeus atricilla,2,NA,Leucophaeus atricilla,Leucophaeus atricilla,Leucophaeus atricilla,Leucophaeus atricilla,Leucophaeus atricilla,Leucophaeus atricilla
Lophodytes cucullatus,Lophodytes cucullatus,2,NA,Lophodytes cucullatus,Lophodytes cucullatus,Lophodytes cucullatus,Lophodytes cucullatus,Lophodytes cucullatus,Lophodytes cucullatus
Loxia curvirostra,Loxia curvirostra,2,NA,Loxia curvirostra,Loxia curvirostra,Loxia curvirostra,Loxia curvirostra,Loxia curvirostra,Loxia curvirostra
Loxia leucoptera,Loxia leucoptera,2,NA,Loxia leucoptera,Loxia leucoptera,Loxia leucoptera,Loxia leucoptera,Loxia leucoptera,Loxia leucoptera
Megaceryle alcyon,Megaceryle alcyon,2,NA,Megaceryle alcyon,Megaceryle alcyon,Megaceryle alcyon,Megaceryle alcyon,Megaceryle alcyon,Megaceryle alcyon
Megascops asio,Megascops asio,2,NA,Megascops asio,Megascops asio,Megascops asio,Megascops asio,Megascops asio,Megascops asio
Melanerpes carolinus,Melanerpes carolinus,2,NA,Melanerpes carolinus,Melanerpes carolinus,Melanerpes carolinus,Melanerpes carolinus,Melanerpes carolinus,Melanerpes carolinus
Melanerpes erythrocephalus,Melanerpes erythrocephalus,2,NA,Melanerpes erythrocephalus,Melanerpes erythrocephalus,Melanerpes erythrocephalus,Melanerpes erythrocephalus,Melanerpes erythrocephalus,Melanerpes erythrocephalus
Meleagris gallopavo,Meleagris gallopavo,2,NA,Meleagris gallopavo,Meleagris gallopavo,Meleagris gallopavo,Meleagris gallopavo,Meleagris gallopavo,Meleagris gallopavo
Melospiza georgiana,Melospiza georgiana,2,NA,Melospiza georgiana,Melospiza georgiana,Melospiza georgiana,Melospiza georgiana,Melospiza georgiana,Melospiza georgiana
Melospiza lincolnii,Melospiza lincolnii,2,NA,Melospiza lincolnii,Melospiza lincolnii,Melospiza lincolnii,Melospiza lincolnii,Melospiza lincolnii,Melospiza lincolnii
Melospiza melodia,Melospiza melodia,2,NA,Melospiza melodia,Melospiza melodia,Melospiza melodia,Melospiza melodia,Melospiza melodia,Melospiza melodia
Mergus merganser,Mergus merganser,2,NA,Mergus merganser,Mergus merganser,Mergus merganser,Mergus merganser,Mergus merganser,Mergus merganser
Mergus serrator,Mergus serrator,2,NA,Mergus serrator,Mergus serrator,Mergus serrator,Mergus serrator,Mergus serrator,Mergus serrator
Mimus polyglottos,Mimus polyglottos,2,NA,Mimus polyglottos,Mimus polyglottos,Mimus polyglottos,Mimus polyglottos,Mimus polyglottos,Mimus polyglottos
Mniotilta varia,Mniotilta varia,2,NA,Mniotilta varia,Mniotilta varia,Mniotilta varia,Mniotilta varia,Mniotilta varia,Mniotilta varia
Molothrus ater,Molothrus ater,2,NA,Molothrus ater,Molothrus ater,Molothrus ater,Molothrus ater,Molothrus ater,Molothrus ater
Myiarchus crinitus,Myiarchus crinitus,2,NA,Myiarchus crinitus,Myiarchus crinitus,Myiarchus crinitus,Myiarchus crinitus,Myiarchus crinitus,Myiarchus crinitus
Myiopsitta monachus,Myiopsitta monachus,2,NA,Myiopsitta monachus,Myiopsitta monachus,Myiopsitta monachus,Myiopsitta monachus,Myiopsitta monachus,Myiopsitta monachus
Nandayus nenday,Nandayus nenday,2,NA,Nandayus nenday,Nandayus nenday,NA,NA,Nandayus nenday,Nandayus nenday
Nyctanassa violacea,Nyctanassa violacea,2,NA,Nyctanassa violacea,Nyctanassa violacea,Nyctanassa violacea,Nyctanassa violacea,Nyctanassa violacea,Nyctanassa violacea
Nycticorax nycticorax,Nycticorax nycticorax,2,NA,Nycticorax nycticorax,Nycticorax nycticorax,Nycticorax nycticorax,Nycticorax nycticorax,Nycticorax nycticorax,Nycticorax nycticorax
Oporornis formosus,Oporornis formosus,2,NA,Oporornis formosus,Oporornis formosus,NA,NA,Oporornis formosus,Oporornis formosus
Oporornis philadelphia,Oporornis philadelphia,2,NA,Oporornis philadelphia,Oporornis philadelphia,NA,NA,Oporornis philadelphia,Oporornis philadelphia
