verbatim_name;sp_names_atlas_adapted_keep;sp_BirdTree;sp_BirdLife;sp_eBird;sp_group_eBird;sp_BOTW;BirdTree_tip.labels
Calidris alpina;Calidris alpina;Calidris alpina;Calidris alpina;Calidris alpina;Calidris alpina;Calidris alpina;Calidris canutus
Calidris canutus;Calidris canutus;Calidris canutus;Calidris canutus;Calidris canutus;Calidris canutus;Calidris canutus;Limicola falcinellus
Calidris falcinellus;Calidris falcinellus;Limicola falcinellus;NA;Calidris falcinellus;Calidris falcinellus;Calidris falcinellus;Calidris maritima
Calidris maritima;Calidris maritima;Calidris maritima;Calidris maritima;Calidris maritima;Calidris maritima;Calidris maritima;Calidris melanotos
Calidris melanotos;Calidris melanotos;Calidris melanotos;Calidris melanotos;Calidris melanotos;Calidris melanotos;Calidris melanotos;Calidris minuta
Calidris minuta;Calidris minuta;Calidris minuta;Calidris minuta;Calidris minuta;Calidris minuta;Calidris minuta;Philomachus pugnax
Calidris pugnax;Calidris pugnax;Philomachus pugnax;NA;Calidris pugnax;Calidris pugnax;Calidris pugnax;Calidris temminckii
Calidris temminckii;Calidris temminckii;Calidris temminckii;Calidris temminckii;Calidris temminckii;Calidris temminckii;Calidris temminckii;Luscinia calliope
Calliope calliope;Calliope calliope;Luscinia calliope;NA;Calliope calliope;Calliope calliope;Calliope calliope;Callipepla californica
Callipepla californica;Callipepla californica;Callipepla californica;Callipepla californica;Callipepla californica;Callipepla californica;Callipepla californica;Calonectris diomedea
Calonectris borealis;Calonectris borealis;Calonectris diomedea;NA;Calonectris diomedea;Calonectris diomedea borealis;Calonectris borealis;Calonectris diomedea
Calonectris diomedea;Calonectris diomedea;Calonectris diomedea;Calonectris borealis;Calonectris diomedea;Calonectris diomedea diomedea;Calonectris diomedea;Calonectris diomedea
Calonectris diomedea;Calonectris diomedea;Calonectris diomedea;Calonectris diomedea;Calonectris diomedea;Calonectris diomedea diomedea;Calonectris diomedea;Calonectris diomedea
Calonectris diomedea;Calonectris diomedea;Calonectris diomedea;NA;Calonectris diomedea;Calonectris diomedea diomedea;Calonectris diomedea;Calonectris leucomelas
Calonectris leucomelas;Calonectris leucomelas;Calonectris leucomelas;Calonectris leucomelas;Calonectris leucomelas;Calonectris leucomelas;Calonectris leucomelas;#N/A
Caprimulgus carolinensis;Caprimulgus carolinensis;NA;Antrostomus carolinensis;Antrostomus carolinensis;Antrostomus carolinensis;#N/A;Caprimulgus europaeus
Caprimulgus europaeus;Caprimulgus europaeus;Caprimulgus europaeus;Caprimulgus europaeus;Caprimulgus europaeus;Caprimulgus europaeus;Caprimulgus europaeus;Caprimulgus indicus
