sp_atlas;sp_atlas adapted1;Family_BL;Order_BL;Hand-Wing.Index_BL;Mass_BL;Habitat_BL;Habitat.Density_BL;Migration_BL;Trophic.Level_BL;Trophic.Niche_BL;Primary.Lifestyle_BL;Range.Size_BL;sp_atlas adapted2;Family_BT;Order_BT;Hand-Wing.Index_BT;Mass_BT;Habitat_BT;Habitat.Density_BT;Migration_BT;Trophic.Level_BT;Trophic.Niche_BT;Primary.Lifestyle_BT;Range.Size_BT
Pterocles orientalis;Pterocles orientalis;Pteroclidae;Pterocliformes;63.7;404.87;Grassland;3;2;Herbivore;Granivore;Terrestrial;5783511.92;Pterocles orientalis;Pteroclididae;Pteroclidiformes;63.7;404.87;Grassland;3;2;Herbivore;Granivore;Terrestrial;5783511.92
Pterocles orientalis;Pterocles orientalis;Pteroclidae;Pterocliformes;63.7;404.87;Grassland;3;2;Herbivore;Granivore;Terrestrial;5783511.92;Pterocles orientalis;Pteroclididae;Pteroclidiformes;63.7;404.87;Grassland;3;2;Herbivore;Granivore;Terrestrial;5783511.92
Iduna opaca;Iduna opaca;Acrocephalidae;Passeriformes;22.6;9;Shrubland;2;3;Carnivore;Invertivore;Insessorial;515405.67;Iduna opaca;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
Iduna opaca;Iduna opaca;Acrocephalidae;Passeriformes;22.6;9;Shrubland;2;3;Carnivore;Invertivore;Insessorial;515405.67;Iduna opaca;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
Chlidonias hybrida;Chlidonias hybrida;Laridae;Charadriiformes;63.6;83.67;Wetland;3;3;Carnivore;Aquatic predator;Aerial;10089513.85;Chlidonias hybrida;Laridae;Charadriiformes;63.6;83.67;Wetland;3;3;Carnivore;Aquatic predator;Aerial;10089513.85
Chlidonias hybrida;Chlidonias hybrida;Laridae;Charadriiformes;63.6;83.67;Wetland;3;3;Carnivore;Aquatic predator;Aerial;10089513.85;Chlidonias hybrida;Laridae;Charadriiformes;63.6;83.67;Wetland;3;3;Carnivore;Aquatic predator;Aerial;10089513.85
Chlidonias hybrida;Chlidonias hybrida;Laridae;Charadriiformes;63.6;83.67;Wetland;3;3;Carnivore;Aquatic predator;Aerial;10089513.85;Chlidonias hybrida;Laridae;Charadriiformes;63.6;83.67;Wetland;3;3;Carnivore;Aquatic predator;Aerial;10089513.85
Spatula querquedula;Spatula querquedula;Anatidae;Anseriformes;56.1;325.6;Wetland;3;3;Omnivore;Herbivore aquatic;Aquatic;16861397.11;Spatula querquedula;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
Spatula querquedula;Spatula querquedula;Anatidae;Anseriformes;56.1;325.6;Wetland;3;3;Omnivore;Herbivore aquatic;Aquatic;16861397.11;Spatula querquedula;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
Gyps fulvus;Gyps fulvus;Accipitridae;Accipitriformes;39.2;7435.99;Grassland;3;1;Scavenger;Scavenger;Terrestrial;3487541.03;Gyps fulvus;Accipitridae;Accipitriformes;39.2;7435.99;Grassland;3;1;Scavenger;Scavenger;Terrestrial;3487541.03
Gyps fulvus;Gyps fulvus;Accipitridae;Accipitriformes;39.2;7435.99;Grassland;3;1;Scavenger;Scavenger;Terrestrial;3487541.03;Gyps fulvus;Accipitridae;Accipitriformes;39.2;7435.99;Grassland;3;1;Scavenger;Scavenger;Terrestrial;3487541.03
Gyps fulvus;Gyps fulvus;Accipitridae;Accipitriformes;39.2;7435.99;Grassland;3;1;Scavenger;Scavenger;Terrestrial;3487541.03;Gyps fulvus;Accipitridae;Accipitriformes;39.2;7435.99;Grassland;3;1;Scavenger;Scavenger;Terrestrial;3487541.03
Monticola saxatilis;Monticola saxatilis;Muscicapidae;Passeriformes;36.2;50.3;Rock;2;3;Carnivore;Invertivore;Insessorial;8709224.99;Monticola saxatilis;Muscicapidae;Passeriformes;36.2;50.3;Rock;2;3;Carnivore;Invertivore;Insessorial;8709224.99
Monticola saxatilis;Monticola saxatilis;Muscicapidae;Passeriformes;36.2;50.3;Rock;2;3;Carnivore;Invertivore;Insessorial;8709224.99;Monticola saxatilis;Muscicapidae;Passeriformes;36.2;50.3;Rock;2;3;Carnivore;Invertivore;Insessorial;8709224.99
Monticola saxatilis;Monticola saxatilis;Muscicapidae;Passeriformes;36.2;50.3;Rock;2;3;Carnivore;Invertivore;Insessorial;8709224.99;Monticola saxatilis;Muscicapidae;Passeriformes;36.2;50.3;Rock;2;3;Carnivore;Invertivore;Insessorial;8709224.99
Aegypius monachus;Aegypius monachus;Accipitridae;Accipitriformes;41.1;9320.55;Forest;2;1;Scavenger;Scavenger;Terrestrial;7718571.19;Aegypius monachus;Accipitridae;Accipitriformes;41.1;9320.55;Forest;2;1;Scavenger;Scavenger;Terrestrial;7718571.19
Aegypius monachus;Aegypius monachus;Accipitridae;Accipitriformes;41.1;9320.55;Forest;2;1;Scavenger;Scavenger;Terrestrial;7718571.19;Aegypius monachus;Accipitridae;Accipitriformes;41.1;9320.55;Forest;2;1;Scavenger;Scavenger;Terrestrial;7718571.19
