"","sp_atlas","Accepted_SPNAME","HWI","Mass","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Range.Size","BL_name","BT_name","FP","Shapefile_name","sd_PC1","sd_PC2"
"256","Cistothorus platensis","Cistothorus platensis","13.4","9.04","Grassland","3","2","Carnivore","Invertivore","Insessorial","6645038.83","Cistothorus platensis","Cistothorus platensis",6.61212081527174,"Cistothorus platensis",1.49265725134554,1.3670622369331
"257","Clamator glandarius","Clamator glandarius","41.9","143","Shrubland","2","3","Carnivore","Invertivore","Insessorial","13672737.21","Clamator glandarius","Clamator glandarius",21.6844624618481,"Clamator glandarius",1.01459264051732,1.32108706907754
"258","Clanga clanga",NA,"37.9","2154.29","Wetland","3","3","Carnivore","Vertivore","Generalist","8980278.98",NA,NA,NA,NA,NA,NA
"259","Clanga pomarina",NA,"40.6","1359.41","Forest","1","3","Carnivore","Vertivore","Generalist","2013351.79",NA,NA,NA,NA,NA,NA
"260","Clangula hyemalis","Clangula hyemalis","50.9","871","Wetland","3","3","Carnivore","Aquatic predator","Aquatic","9492361.68","Clangula hyemalis","Clangula hyemalis",11.9802120029882,"Clangula hyemalis",1.2246454334472,0.807246241397264
"261","Coccothraustes coccothraustes","Coccothraustes coccothraustes","32.9","56.63","Forest","1","2","Herbivore","Omnivore","Insessorial","12197802.66","Coccothraustes coccothraustes","Coccothraustes coccothraustes",14.1045860669634,"Coccothraustes coccothraustes",0.975160379345006,1.09804682792338
"262","Coccothraustes vespertinus","Hesperiphona vespertina","34.2","57.3","Forest","1","2","Herbivore","Omnivore","Insessorial","3942604.88","Hesperiphona vespertina","Coccothraustes vespertinus",11.5829081099634,"Hesperiphona vespertina",1.08955275430678,1.16311776358008
"263","Coccyzus americanus","Coccyzus americanus","43","64","Forest","1","3","Carnivore","Invertivore","Insessorial","5270361.03","Coccyzus americanus","Coccyzus americanus",9.28646897989734,"Coccyzus americanus",1.30813683359884,1.18526647631068
"264","Coccyzus erythropthalmus","Coccyzus erythropthalmus","40.8","50.9","Forest","1","3","Carnivore","Invertivore","Insessorial","4944717.14","Coccyzus erythropthalmus","Coccyzus erythropthalmus",16.317243643064,"Coccyzus erythropthalmus",0.821857848303042,1.00827448311341
"265","Colaptes auratus","Colaptes auratus","24.8","131.46","Shrubland","2","2","Carnivore","Invertivore","Generalist","15712040.85","Colaptes cafer","Colaptes auratus",5.58886956903013,"Colaptes auratus",1.29053848634077,0.87427476526955
"266","Colaptes auratus","Colaptes auratus","24.8","131.46","Shrubland","2","2","Carnivore","Invertivore","Generalist","15712040.85","Colaptes auratus","Colaptes auratus",5.58886956903013,"Colaptes auratus",1.29053848634077,0.87427476526955
"267","Colinus virginianus","Colinus virginianus","27.6","171.89","Human Modified","2","1","Herbivore","Omnivore","Terrestrial","4364464.18","Colinus virginianus","Colinus virginianus",8.2935602105474,"Colinus virginianus",1.20141372122145,1.07800548317865
"268","Columba janthina","Columba janthina","34.2","397","Forest","2","1","Herbivore","Granivore","Insessorial","6158.61","Columba janthina","Columba janthina",3.77389527469872,"Columba janthina",0.923357511985708,0.784149453602357
"269","Columba livia","Columba livia","45.1","354.2","Human Modified","3","1","Herbivore","Granivore","Terrestrial","17464191.46","Columba livia","Columba livia",3.33922820599872,"Columba livia",1.30709201936735,1.59184377809135
"270","Columba oenas","Columba oenas","42.5","290.79","Woodland","3","1","Herbivore","Omnivore","Terrestrial","9272521.23","Columba oenas","Columba oenas",4.54035442410706,"Columba oenas",0.844281699661568,0.882209316431136
"271","Columba palumbus","Columba palumbus","41.2","490","Woodland","2","1","Herbivore","Omnivore","Terrestrial","11947217.36","Columba palumbus","Columba palumbus",5.925902890764,"Columba palumbus",0.843182287975654,1.15037407949927
"272","Columba trocaz","Columba trocaz","35.6","439.98","Forest","2","1","Herbivore","Frugivore","Generalist","549.16","Columba trocaz","Columba trocaz",11.0952185354922,"Columba trocaz",0.272625620334231,0.103528027693057
"273","Contopus cooperi","Contopus cooperi","37.9","32.1","Forest","1","3","Carnivore","Invertivore","Insessorial","9652028.65","Contopus cooperi","Contopus cooperi",2.76768715670164,"Contopus cooperi",1.21984852389753,1.03317779514554
"274","Contopus virens","Contopus virens","31","13.9","Forest","1","3","Carnivore","Invertivore","Insessorial","4080253.15","Contopus virens","Contopus virens",5.25736452800164,"Contopus virens",0.917631885588566,0.854160435860034
"275","Coracias garrulus","Coracias garrulus","37.5","146","Woodland","2","3","Carnivore","Invertivore","Insessorial","9539437.58","Coracias garrulus","Coracias garrulus",8.96075333043092,"Coracias garrulus",0.75365105016569,1.15179672857854
"276","Corvus brachyrhynchos","Corvus brachyrhynchos","35.3","448.76","Human Modified","2","2","Omnivore","Omnivore","Terrestrial","11573830.54","Corvus brachyrhynchos","Corvus brachyrhynchos",2.82679967455725,"Corvus brachyrhynchos",1.13813265314082,0.984071618330454
"277","Corvus corax","Corvus corax","39.8","927.97","Forest","3","2","Omnivore","Omnivore","Terrestrial","52288449.5","Corvus corax","Corvus corax",3.11887718893582,"Corvus corax",1.32474646269171,1.27907966545197
"278","Corvus corone","Corvus corone","36.9","570","Human Modified","3","1","Carnivore","Omnivore","Terrestrial","33343165.09","Corvus corone","Corvus corone",4.19763522925725,"Corvus corone",1.26484925331316,1.26197550747289
"279","Corvus frugilegus","Corvus frugilegus","41","452.1","Grassland","3","1","Omnivore","Omnivore","Terrestrial","19019081.22","Corvus frugilegus","Corvus frugilegus",3.20656275488582,"Corvus frugilegus",1.09941799637062,1.17498525706948
"280","Corvus macrorhynchos","Corvus macrorhynchos","34.8","513.14","Woodland","2","1","Omnivore","Omnivore","Generalist","10555052.47","Corvus macrorhynchos","Corvus macrorhynchos",3.36849880992392,"Corvus macrorhynchos",2.38474039632215,1.41007709652072
"281","Corvus monedula","Coloeus monedula","39.1","246","Human Modified","3","2","Omnivore","Omnivore","Terrestrial","13975046.48","Corvus monedula","Corvus monedula",4.95437262237705,"Corvus monedula",0.989749361630994,1.12329940343853
"282","Corvus ossifragus","Corvus ossifragus","36.3","284.6","Coastal","3","1","Omnivore","Omnivore","Terrestrial","970986.53","Corvus ossifragus","Corvus ossifragus",3.77968146281916,"Corvus ossifragus",0.777375469185375,0.648793908099207
"283","Coturnix coturnix","Coturnix coturnix","41","96.28","Human Modified","3","3","Herbivore","Granivore","Terrestrial","21283218.76","Coturnix coturnix","Coturnix coturnix",5.37449349363877,"Coturnix coturnix",1.35011365254545,1.22292772992496
"284","Crex crex","Crex crex","34.1","154.91","Grassland","2","3","Carnivore","Omnivore","Terrestrial","12516028.75","Crex crex","Crex crex",11.9409316999217,"Crex crex",1.06213164014621,0.897871752348602
"285","Cuculus canorus","Cuculus canorus","43.9","111.36","Forest","2","3","Carnivore","Invertivore","Insessorial","37338142.79","Cuculus canorus","Cuculus canorus",3.94885343929074,"Cuculus canorus",1.45996790567985,1.24017754997454
"286","Cuculus micropterus","Cuculus micropterus","45.1","88.75","Forest","1","1","Carnivore","Invertivore","Insessorial","10050685.23","Cuculus micropterus","Cuculus micropterus",5.40490044815408,"Cuculus micropterus",2.36319724535102,1.30784697300809
"287","Cuculus optatus","Cuculus optatus","49.8","76.7","Forest","1","2","Carnivore","Invertivore","Insessorial",NA,"Cuculus optatus","Cuculus optatus",13.7835067397131,NA,NA,NA
"288","Cuculus poliocephalus","Cuculus poliocephalus","48.3","46.56","Forest","1","3","Carnivore","Invertivore","Insessorial","5291320.75","Cuculus poliocephalus","Cuculus poliocephalus",6.88255254632074,"Cuculus poliocephalus",1.51978251570331,1.18769400106191
"289","Cuculus saturatus","Cuculus saturatus","47.8","87","Forest","1","3","Carnivore","Invertivore","Insessorial","16826585.93","Cuculus saturatus","Cuculus saturatus",4.17394395684074,"Cuculus saturatus",1.53126472701026,0.868672776751618
"290","Cyanecula svecica",NA,"21.3","17.23","Grassland","2","3","Carnivore","Invertivore","Generalist","19896158.85",NA,NA,NA,NA,NA,NA
"291","Cyanistes caeruleus","Cyanistes caeruleus","21","11.1","Forest","1","1","Omnivore","Invertivore","Insessorial","8753389.8","Cyanistes caeruleus",NA,NA,"Cyanistes caeruleus",0.785111910558973,0.921564109064885
"292","Cyanistes cyanus","Cyanistes cyanus","19.3","14.62","Forest","2","2","Omnivore","Invertivore","Insessorial","8153289.29","Cyanistes cyanus",NA,NA,NA,NA,NA
"293","Cyanistes teneriffae","Cyanistes teneriffae","14.2","10","Forest","2","1","Omnivore","Omnivore","Insessorial","624090.33","Cyanistes teneriffae",NA,NA,NA,NA,NA
"294","Cyanocitta cristata","Cyanocitta cristata","17.4","88","Woodland","2","1","Omnivore","Omnivore","Terrestrial","6665383.16","Cyanocitta cristata","Cyanocitta cristata",10.0583712761614,"Cyanocitta cristata",1.05040661512365,1.00798500545205
"295","Cyanopica cooki","Cyanopica cooki","16.9","70.4","Woodland","2","1","Omnivore","Omnivore","Generalist","179269.64","Cyanopica cooki",NA,NA,"Cyanopica cooki",0.465210726983076,0.656592996548969
"296","Cyanopica cyanus","Cyanopica cyanus","14.3","95.91","Woodland","2","1","Omnivore","Omnivore","Generalist","4927539.01","Cyanopica cyanus","Cyanopica cyanus",15.4979524821956,"Cyanopica cyanus",1.24927149600538,1.17337932741505
"297","Cyanoptila cyanomelana","Cyanoptila cyanomelana","30.6","22.5","Forest","1","3","Carnivore","Invertivore","Terrestrial","1925229.48","Cyanoptila cyanomelana","Cyanoptila cyanomelana",10.4719164981899,"Cyanoptila cyanomelana",1.4118703068968,1.54194824103392
"298","Cygnus columbianus","Cygnus columbianus","45.3","6377.96","Wetland","3","3","Herbivore","Herbivore aquatic","Aquatic","5272186.12","Cygnus columbianus","Cygnus columbianus",8.98180099097047,"Cygnus columbianus",0.916546718063222,0.827389888515448
"299","Cygnus cygnus","Cygnus cygnus","44.8","9349.99","Wetland","3","3","Herbivore","Herbivore aquatic","Aquatic","17099815.6","Cygnus cygnus","Cygnus cygnus",8.63842547677047,"Cygnus cygnus",1.00240192665029,1.15703234257018
"300","Cygnus olor","Cygnus olor","42.1","10682.04","Wetland","3","3","Herbivore","Herbivore aquatic","Aquatic","4915289.2","Cygnus olor","Cygnus olor",13.1937328089705,"Cygnus olor",1.05744467561739,1.16619030166732
"301","Delichon dasypus","Delichon dasypus","54.8","18","Rock","2","3","Carnivore","Invertivore","Aerial","3760523.9","Delichon lagopodum","Delichon dasypus",7.31443086818595,"Delichon dasypus",1.52792487404239,1.28214271550566
"302","Delichon dasypus","Delichon dasypus","54.8","18","Rock","2","3","Carnivore","Invertivore","Aerial","3760523.9","Delichon lagopodum","Delichon dasypus",7.31443086818595,"Delichon lagopodum",0.626746964104114,1.00491938478401
"303","Delichon dasypus","Delichon dasypus","54.8","18","Rock","2","3","Carnivore","Invertivore","Aerial","3760523.9","Delichon dasypus","Delichon dasypus",7.31443086818595,"Delichon dasypus",1.52792487404239,1.28214271550566
"304","Delichon dasypus","Delichon dasypus","54.8","18","Rock","2","3","Carnivore","Invertivore","Aerial","3760523.9","Delichon dasypus","Delichon dasypus",7.31443086818595,"Delichon lagopodum",0.626746964104114,1.00491938478401
"305","Delichon urbica","Delichon urbicum","54.3","14.5","Human Modified","3","3","Carnivore","Invertivore","Aerial","26299672.09","Delichon urbicum","Delichon urbicum",9.09106745368595,"Delichon urbicum",0.976328497868063,1.0732184940126
"306","Delichon urbicum","Delichon urbicum","54.3","14.5","Human Modified","3","3","Carnivore","Invertivore","Aerial","26299672.09","Delichon urbicum","Delichon urbicum",9.09106745368595,"Delichon urbicum",0.976328497868063,1.0732184940126
"307","Dendrocopos kizuki","Yungipicus kizuki","28.9","19.19","Forest","2","1","Carnivore","Invertivore","Insessorial","1603020.85",NA,"Dendrocopos kizuki",2.90219419707513,NA,NA,NA
"308","Dendrocopos leucotos","Dendrocopos leucotos","29.9","116.8","Forest","1","1","Carnivore","Invertivore","Insessorial","11181512.15","Dendrocopos leucotos","Dendrocopos leucotos",4.46614412963026,"Dendrocopos leucotos",1.15682554927925,1.15137004741897
"309","Dendrocopos major","Dendrocopos major","29.3","74.94","Woodland","1","1","Omnivore","Omnivore","Insessorial","24413724.29","Dendrocopos major","Dendrocopos major",4.34030852263026,"Dendrocopos major",1.32388312881419,1.13698444095274
"310","Dendrocopos medius","Dendrocoptes medius","28.1","59","Woodland","1","1","Carnivore","Invertivore","Insessorial","3966649.98",NA,"Dendrocopos medius",9.09061547032496,NA,NA,NA
"311","Dendrocopos minor","Dryobates minor","27.4","19.8","Forest","1","1","Carnivore","Invertivore","Insessorial","18548908.46","Dendrocopos owstoni","Dendrocopos minor",5.91908888027841,"Dryobates minor",1.11370416538254,1.11989712436092
"312","Dendrocopos minor","Dryobates minor","27.4","19.8","Forest","1","1","Carnivore","Invertivore","Insessorial","18548908.46","Dryobates minor","Dendrocopos minor",5.91908888027841,"Dryobates minor",1.11370416538254,1.11989712436092
"313","Sapheopipo noguchii","Dendrocopos noguchii","21.4","200","Forest","1","1","Omnivore","Invertivore","Insessorial","585.25","Dendrocopos noguchii","Dendrocopos noguchii",4.46614412963026,"Dendrocopos noguchii",0.154790327948609,0.0763044285606001
"314","Sapheopipo noguchii","Dendrocopos noguchii","21.4","200","Forest","1","1","Omnivore","Invertivore","Insessorial","585.25","Dendrocopos noguchii","Dendrocopos noguchii",4.46614412963026,"Dendrocopos owstoni",0.479875361918372,0.0248489840025735
"315","Dendrocopos syriacus","Dendrocopos syriacus","26.6","76.7","Woodland","2","1","Omnivore","Invertivore","Insessorial","2931365.51","Dendrocopos syriacus","Dendrocopos syriacus",4.34030852263026,"Dendrocopos syriacus",0.523915074928294,1.13445867042459
"316","Dendroica caerulescens","Setophaga caerulescens","24.1","10.14","Forest","1","3","Carnivore","Invertivore","Insessorial","1168234.94","Setophaga caerulescens","Dendroica caerulescens",3.50487661176434,"Setophaga caerulescens",0.682173551176203,0.644217959660528
"317","Dendroica castanea","Setophaga castanea","30.6","11.8","Forest","1","3","Omnivore","Invertivore","Insessorial","2650066.12","Setophaga castanea","Dendroica castanea",3.35840389308374,"Setophaga castanea",0.792333213698402,0.808622449343455
"318","Dendroica cerulea","Setophaga cerulea","33.2","9.04","Forest","1","3","Carnivore","Invertivore","Insessorial","1849163.51","Setophaga cerulea","Dendroica cerulea",5.18721213443707,"Setophaga cerulea",0.602128759973411,0.580173370306275
"319","Dendroica coronata","Setophaga coronata","25.4","11.94","Forest","1","3","Carnivore","Invertivore","Insessorial","9938581.44","Setophaga coronata","Dendroica coronata",4.18087838767059,"Setophaga coronata",1.04643196407768,0.859838023867787
"320","Dendroica discolor","Setophaga discolor","20","7.64","Shrubland","2","3","Carnivore","Invertivore","Insessorial","1565603.51","Setophaga discolor","Dendroica discolor",2.90643859407059,"Setophaga discolor",0.801976350747135,0.593681773375675
"321","Dendroica dominica","Setophaga dominica","26.8","9.69","Forest","2","3","Carnivore","Invertivore","Insessorial","1927929.35","Setophaga dominica","Dendroica dominica",2.40542374474393,"Setophaga dominica",0.719223945341204,0.600115132392018
"322","Dendroica fusca","Setophaga fusca","32.4","9.74","Forest","1","3","Carnivore","Invertivore","Insessorial","2026720.02","Setophaga fusca","Dendroica fusca",4.38365998078374,"Setophaga fusca",0.82267938268055,0.786043042201367
"323","Dendroica magnolia","Setophaga magnolia","21.1","8.14","Forest","1","3","Carnivore","Invertivore","Insessorial","3661483.1","Setophaga magnolia","Dendroica magnolia",6.34388258202715,"Setophaga magnolia",0.841108954545777,0.829928475502156
"324","Dendroica palmarum","Setophaga palmarum","20.1","10.3","Forest","1","3","Carnivore","Invertivore","Insessorial","3394685.27","Setophaga palmarum","Dendroica palmarum",5.00718740650393,"Setophaga palmarum",0.816466160313523,0.871814996953314
"325","Dendroica pensylvanica","Setophaga pensylvanica","26.6","9.29","Forest","2","3","Carnivore","Invertivore","Insessorial","2422614.2","Setophaga pensylvanica","Dendroica pensylvanica",3.48252727858374,"Setophaga pensylvanica",0.804250770967018,0.798171594674346
"326","Dendroica petechia","Setophaga petechia","23.2","10.22","Shrubland","1","3","Carnivore","Invertivore","Insessorial",NA,"Setophaga petechia","Dendroica petechia",3.48252727858374,"Setophaga petechia",1.93315643827725,1.12656309916257
"327","Dendroica pinus","Setophaga pinus","28.6","11.79","Forest","2","3","Carnivore","Invertivore","Insessorial","2073441.98","Setophaga pinus","Dendroica pinus",3.31444221217059,"Setophaga pinus",1.17538862307355,0.631104544409799
"328","Dendroica pinus","Setophaga pinus","28.6","11.79","Forest","2","3","Carnivore","Invertivore","Insessorial","2073441.98","Setophaga pinus","Vermivora pinus",4.69797240870375,"Setophaga pinus",1.17538862307355,0.631104544409799
"329","Dendroica striata","Setophaga striata","31.3","11.84","Forest","1","3","Carnivore","Invertivore","Insessorial","6353206.91","Setophaga striata","Dendroica aestiva",3.50487661176434,"Setophaga striata",0.945940032908212,0.787666231244985
"330","Dendroica striata","Setophaga striata","31.3","11.84","Forest","1","3","Carnivore","Invertivore","Insessorial","6353206.91","Setophaga striata","Dendroica striata",3.35840389308374,"Setophaga striata",0.945940032908212,0.787666231244985
"331","Dendroica tigrina","Setophaga tigrina","26.7","10.04","Forest","1","3","Omnivore","Invertivore","Insessorial","2530023.76","Setophaga tigrina","Dendroica tigrina",5.40805773762025,"Setophaga tigrina",0.720222283632598,0.756551148038038
"332","Dendroica virens","Setophaga virens","26.5","8.69","Forest","1","3","Omnivore","Invertivore","Insessorial","3340613.66","Setophaga virens","Dendroica virens",1.52202845741643,"Setophaga virens",0.942514668782572,0.892218927616319
"333","Dolichonyx oryzivorus","Dolichonyx oryzivorus","35.4","31.46","Grassland","1","3","Omnivore","Granivore","Generalist","3883605.76","Dolichonyx oryzivorus","Dolichonyx oryzivorus",11.1112708908904,"Dolichonyx oryzivorus",0.606563580659542,1.00282164384632
"334","Dryobates minor","Dryobates minor","27.4","19.8","Forest","1","1","Carnivore","Invertivore","Insessorial","18548908.46","Dendrocopos owstoni","Dendrocopos minor",5.91908888027841,"Dryobates minor",1.11370416538254,1.11989712436092
"335","Dryobates minor","Dryobates minor","27.4","19.8","Forest","1","1","Carnivore","Invertivore","Insessorial","18548908.46","Dryobates minor","Dendrocopos minor",5.91908888027841,"Dryobates minor",1.11370416538254,1.11989712436092
"336","Dryocopus martius","Dryocopus martius","26.4","321","Forest","1","1","Carnivore","Invertivore","Insessorial","19634445.89","Dryocopus martius","Dryocopus martius",5.09005524487608,"Dryocopus martius",1.17949368030932,1.099865924179
"337","Dryocopus pileatus","Dryocopus pileatus","25.3","286.59","Forest","1","1","Carnivore","Invertivore","Insessorial","5925872.32",NA,"Dryocopus pileatus",4.72929586920941,NA,NA,NA
"338","Dumetella carolinensis","Dumetella carolinensis","18.6","35.3","Shrubland","1","3","Omnivore","Invertivore","Insessorial","6824562.12","Dumetella carolinensis","Dumetella carolinensis",7.72420841610141,"Dumetella carolinensis",0.885322018680681,0.954006647153158
"339","Egretta caerulea","Egretta caerulea","38","338.61","Wetland","3","1","Carnivore","Aquatic predator","Terrestrial","5634382.17","Egretta caerulea","Egretta caerulea",14.8879029058514,"Egretta caerulea",1.43067935614345,1.10715135866377
"340","Egretta garzetta","Egretta garzetta","33.1","312","Wetland","3","2","Carnivore","Aquatic predator","Terrestrial","34141787.35","Egretta garzetta","Egretta garzetta",6.79982251116386,"Egretta garzetta",1.74412925012126,1.59722280632163
"341","Egretta sacra","Egretta sacra","32.9","502","Coastal","3","2","Carnivore","Aquatic predator","Terrestrial","4099474.31","Egretta sacra","Egretta sacra",7.19353480916386,"Egretta sacra",1.70894192195304,1.34721905918992
"342","Egretta thula","Egretta thula","31.9","371","Wetland","3","2","Carnivore","Aquatic predator","Terrestrial","19270773.23","Egretta thula","Egretta thula",6.79982251116386,"Egretta thula",1.70960711036295,1.11995567704295
"343","Egretta tricolor","Egretta tricolor","35.5","372.3","Coastal","3","2","Carnivore","Aquatic predator","Terrestrial","1369046.69","Egretta tricolor","Egretta tricolor",13.4097148034139,"Egretta tricolor",1.29463426434603,1.18084108721475
"344","Elanus caeruleus","Elanus caeruleus","45.2","259.76","Grassland","3","2","Carnivore","Vertivore","Aerial","26685941.8","Elanus caeruleus","Elanus caeruleus",18.4545950284568,"Elanus caeruleus",1.58055161861702,1.6642417629621
"345","Elanus caeruleus","Elanus caeruleus","45.2","259.76","Grassland","3","2","Carnivore","Vertivore","Aerial","26685941.8","Elanus caeruleus","Parus caeruleus",9.55499775981847,"Elanus caeruleus",1.58055161861702,1.6642417629621
"346","Emberiza aureola","Emberiza aureola","25.8","19.6","Shrubland","2","3","Omnivore","Omnivore","Generalist","14850268.01","Emberiza aureola","Emberiza aureola",4.18576223597684,"Emberiza aureola",0.930774937773408,1.05191200072763
"347","Emberiza bruniceps","Emberiza bruniceps","27.1","24.8","Grassland","3","3","Omnivore","Omnivore","Terrestrial","4074558.12","Emberiza bruniceps","Emberiza bruniceps",7.03322900389803,"Emberiza bruniceps",0.546441972008203,0.812032640538174
"348","Emberiza caesia","Emberiza caesia","28.1","19.9","Shrubland","3","3","Omnivore","Granivore","Terrestrial","344081.04","Emberiza caesia","Emberiza caesia",3.90291326030993,"Emberiza caesia",0.560902886568211,0.840169453480636
"349","Emberiza calandra","Emberiza calandra","26.5","48.5","Grassland","3","2","Herbivore","Omnivore","Terrestrial","7483952.2","Emberiza calandra","Miliaria calandra",8.77725004738137,"Emberiza calandra",0.747977430215825,1.16142790101006
"350","Emberiza cia","Emberiza cia","19.6","23.43","Rock","3","2","Omnivore","Omnivore","Terrestrial","4412208.21","Emberiza cia","Emberiza cia",3.7347951794647,"Emberiza cia",0.919414879818939,1.11428801780735
"351","Emberiza cineracea","Emberiza cineracea","24","24.3","Shrubland","3","3","Omnivore","Omnivore","Terrestrial","105439.34","Emberiza cineracea","Emberiza cineracea",3.70648099084288,"Emberiza cineracea",0.476705837656457,0.709683865087847
"352","Emberiza cioides","Emberiza cioides","22.1","21.02","Grassland","3","2","Herbivore","Granivore","Terrestrial","10532097.13","Emberiza cioides","Emberiza cioides",3.5503931132147,"Emberiza cioides",1.28449800483748,1.24148618550899
"353","Emberiza cirlus","Emberiza cirlus","20.2","25.6","Shrubland","2","2","Omnivore","Granivore","Terrestrial","2173407.94","Emberiza cirlus","Emberiza cirlus",5.41834198030993,"Emberiza cirlus",0.462544912853568,0.848210723589548
"354","Emberiza citrinella","Emberiza citrinella","25.7","29.7","Shrubland","3","2","Herbivore","Granivore","Terrestrial","12899942.03","Emberiza citrinella","Emberiza citrinella",3.19984446384327,"Emberiza citrinella",1.08563063210619,0.8762728876141
"355","Emberiza fucata","Emberiza fucata","19.5","19.8","Shrubland","2","3","Herbivore","Granivore","Terrestrial","3876445.61","Emberiza fucata","Emberiza fucata",3.87052750935184,"Emberiza fucata",1.63531445312813,1.22734927836287
"356","Emberiza hortulana","Emberiza hortulana","28.8","19.9","Shrubland","2","3","Omnivore","Omnivore","Generalist","9881195.68","Emberiza hortulana","Emberiza hortulana",3.90291326030993,"Emberiza hortulana",0.837626367512968,0.869255773070606
"357","Emberiza melanocephala","Emberiza melanocephala","29.6","28.31","Shrubland","2","3","Omnivore","Omnivore","Generalist","2122285.8","Emberiza melanocephala","Emberiza melanocephala",7.03322900389803,"Emberiza melanocephala",0.594906731188334,1.27980950663343
"358","Emberiza pallasi","Emberiza pallasi","22.3","13.96","Shrubland","3","3","Omnivore","Omnivore","Terrestrial","6843352.03","Emberiza pallasi","Emberiza pallasi",5.26295233670775,"Emberiza pallasi",0.643125115391804,0.964330123609569
"359","Emberiza pusilla","Emberiza pusilla","24.5","14.57","Forest","2","3","Herbivore","Granivore","Generalist","10268381.21","Emberiza pusilla","Emberiza pusilla",3.87052750935184,"Emberiza pusilla",0.865923632929434,0.962790815173366
"360","Emberiza rustica","Emberiza rustica","25.2","20.54","Forest","2","3","Herbivore","Granivore","Generalist","11090010.05","Emberiza rustica","Emberiza rustica",6.12414673991018,"Emberiza rustica",0.94654664464475,0.877208311477841
"361","Emberiza schoeniclus","Emberiza schoeniclus","21.1","18.4","Wetland","2","2","Herbivore","Omnivore","Terrestrial","23743379.81","Emberiza schoeniclus","Emberiza schoeniclus",4.22708783670775,"Emberiza schoeniclus",1.15496008431567,1.15664520932936
"362","Emberiza spodocephala","Emberiza spodocephala","19.4","18.45","Shrubland","2","3","Carnivore","Invertivore","Terrestrial","5014357.44","Emberiza spodocephala","Emberiza spodocephala",4.18576223597684,"Emberiza spodocephala",1.08728711739652,0.82252682763947
"363","Emberiza sulphurata","Emberiza sulphurata","26.9","14.89","Forest","1","3","Omnivore","Omnivore","Terrestrial","111789.59","Emberiza sulphurata","Emberiza sulphurata",4.23095374128184,"Emberiza sulphurata",0.488313623531394,0.567711477282141
"364","Emberiza variabilis","Emberiza variabilis","23.8","23.8","Shrubland","1","3","Herbivore","Omnivore","Terrestrial","222168.05","Emberiza variabilis","Emberiza variabilis",3.26599431913518,"Emberiza variabilis",0.782192388774357,0.758389394670884
"365","Emberiza yessoensis","Emberiza yessoensis","17.5","13.49","Wetland","2","3","Herbivore","Granivore","Terrestrial","52341.69","Emberiza yessoensis","Emberiza yessoensis",6.20668307864109,"Emberiza yessoensis",1.61420134743854,1.46748567300114
"366","Empidonax alnorum","Empidonax alnorum","19.2","12.7","Shrubland","1","3","Carnivore","Invertivore","Insessorial","7110677.02","Empidonax alnorum","Empidonax alnorum",6.04135689260879,"Empidonax alnorum",1.1431595380005,0.898253042959972
"367","Empidonax flaviventris","Empidonax flaviventris","24.1","11.8","Forest","1","3","Carnivore","Invertivore","Insessorial","5332665.34","Empidonax flaviventris","Empidonax flaviventris",6.83029400248545,"Empidonax flaviventris",0.798331042884326,0.887137623181101
"368","Empidonax minimus","Empidonax minimus","22.8","10","Forest","1","3","Carnivore","Invertivore","Insessorial","5753545.24","Empidonax minimus","Empidonax minimus",6.52196565100403,"Empidonax minimus",0.817282882679953,0.860880739729209
"369","Empidonax traillii","Empidonax traillii","23.5","13.39","Shrubland","2","3","Carnivore","Invertivore","Insessorial","7301691.61","Empidonax traillii","Empidonax traillii",6.04135689260879,"Empidonax traillii",0.930332985368566,1.05079528458021
"370","Empidonax virescens","Empidonax virescens","27.5","12.6","Forest","2","3","Carnivore","Invertivore","Insessorial","3006134.68","Empidonax virescens","Empidonax virescens",10.2105456316283,"Empidonax virescens",0.807301916643878,0.75234715916067
"371","Eophona personata","Eophona personata","36.4","80","Forest","2","1","Herbivore","Omnivore","Insessorial","1516318.98","Eophona personata","Eophona personata",10.5334267314648,"Eophona personata",1.46988667940589,1.35259144367225
"372","Eremophila alpestris","Eremophila alpestris","38.6","33.33","Grassland","3","3","Omnivore","Omnivore","Terrestrial","35118904.89","Eremophila alpestris","Eremophila alpestris",8.01173480439464,"Eremophila alpestris",1.22500927496262,1.22858056454231
"373","Erithacus rubecula","Erithacus rubecula","19.9","17.7","Forest","1","3","Carnivore","Omnivore","Generalist","10001378.73","Erithacus rubecula","Erithacus rubecula",16.6311154867143,"Erithacus rubecula",0.890999242037908,0.782339453122727
"374","Estrilda astrild","Estrilda astrild","16.8","8.29","Grassland","3","1","Herbivore","Granivore","Generalist","5902588.4","Estrilda astrild","Estrilda astrild",4.24241076724903,"Estrilda astrild",0.976119219252879,1.02840508704769
"375","Estrilda melpoda","Estrilda melpoda","17.3","7.6","Grassland","3","1","Omnivore","Granivore","Generalist","3732329.06","Estrilda melpoda","Estrilda melpoda",3.04477799389903,"Estrilda melpoda",0.822981355567537,1.2913622696898
"376","Eudromias morinellus","Charadrius morinellus","55.9","108.16","Grassland","3","3","Carnivore","Invertivore","Terrestrial","3830439.01","Eudromias morinellus","Eudromias morinellus",29.5946067418329,"Eudromias morinellus",1.15223769129025,1.03801180181234
