"","sp_atlas","Accepted_SPNAME","HWI","Mass","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Range.Size"
"215","Cistothorus palustris","Cistothorus palustris","20","10.8","Wetland","3","2","Carnivore","Invertivore","Insessorial","4855077.99"
"216","Cistothorus platensis","Cistothorus platensis","13.4","9.04","Grassland","3","2","Carnivore","Invertivore","Insessorial","6645038.83"
"217","Clamator glandarius","Clamator glandarius","41.9","143","Shrubland","2","3","Carnivore","Invertivore","Insessorial","13672737.21"
"218","Clanga clanga",NA,"37.9","2154.29","Wetland","3","3","Carnivore","Vertivore","Generalist","8980278.98"
"219","Clanga pomarina",NA,"40.6","1359.41","Forest","1","3","Carnivore","Vertivore","Generalist","2013351.79"
"220","Clangula hyemalis","Clangula hyemalis","50.9","871","Wetland","3","3","Carnivore","Aquatic predator","Aquatic","9492361.68"
"221","Coccothraustes coccothraustes","Coccothraustes coccothraustes","32.9","56.63","Forest","1","2","Herbivore","Omnivore","Insessorial","12197802.66"
"222","Coccothraustes vespertinus","Hesperiphona vespertina","34.2","57.3","Forest","1","2","Herbivore","Omnivore","Insessorial","3942604.88"
"223","Coccyzus americanus","Coccyzus americanus","43","64","Forest","1","3","Carnivore","Invertivore","Insessorial","5270361.03"
"224","Coccyzus erythropthalmus","Coccyzus erythropthalmus","40.8","50.9","Forest","1","3","Carnivore","Invertivore","Insessorial","4944717.14"
"225","Colaptes auratus","Colaptes auratus","24.8","131.46","Shrubland","2","2","Carnivore","Invertivore","Generalist","15712040.85"
"226","Colinus virginianus","Colinus virginianus","27.6","171.89","Human Modified","2","1","Herbivore","Omnivore","Terrestrial","4364464.18"
"227","Columba janthina","Columba janthina","34.2","397","Forest","2","1","Herbivore","Granivore","Insessorial","6158.61"
"228","Columba livia","Columba livia","45.1","354.2","Human Modified","3","1","Herbivore","Granivore","Terrestrial","17464191.46"
"229","Columba oenas","Columba oenas","42.5","290.79","Woodland","3","1","Herbivore","Omnivore","Terrestrial","9272521.23"
"230","Columba palumbus","Columba palumbus","41.2","490","Woodland","2","1","Herbivore","Omnivore","Terrestrial","11947217.36"
"231","Columba trocaz","Columba trocaz","35.6","439.98","Forest","2","1","Herbivore","Frugivore","Generalist","549.16"
"232","Contopus cooperi","Contopus cooperi","37.9","32.1","Forest","1","3","Carnivore","Invertivore","Insessorial","9652028.65"
"233","Contopus virens","Contopus virens","31","13.9","Forest","1","3","Carnivore","Invertivore","Insessorial","4080253.15"
"234","Coracias garrulus","Coracias garrulus","37.5","146","Woodland","2","3","Carnivore","Invertivore","Insessorial","9539437.58"
"235","Corvus brachyrhynchos","Corvus brachyrhynchos","35.3","448.76","Human Modified","2","2","Omnivore","Omnivore","Terrestrial","11573830.54"
"236","Corvus corax","Corvus corax","39.8","927.97","Forest","3","2","Omnivore","Omnivore","Terrestrial","52288449.5"
"237","Corvus corone","Corvus corone","36.9","570","Human Modified","3","1","Carnivore","Omnivore","Terrestrial","33343165.09"
"238","Corvus frugilegus","Corvus frugilegus","41","452.1","Grassland","3","1","Omnivore","Omnivore","Terrestrial","19019081.22"
"239","Corvus macrorhynchos","Corvus macrorhynchos","34.8","513.14","Woodland","2","1","Omnivore","Omnivore","Generalist","10555052.47"
"240","Corvus monedula","Coloeus monedula","39.1","246","Human Modified","3","2","Omnivore","Omnivore","Terrestrial","13975046.48"
"241","Corvus ossifragus","Corvus ossifragus","36.3","284.6","Coastal","3","1","Omnivore","Omnivore","Terrestrial","970986.53"
"242","Coturnix coturnix","Coturnix coturnix","41","96.28","Human Modified","3","3","Herbivore","Granivore","Terrestrial","21283218.76"
"243","Crex crex","Crex crex","34.1","154.91","Grassland","2","3","Carnivore","Omnivore","Terrestrial","12516028.75"
"244","Cuculus canorus","Cuculus canorus","43.9","111.36","Forest","2","3","Carnivore","Invertivore","Insessorial","37338142.79"
"245","Cuculus micropterus","Cuculus micropterus","45.1","88.75","Forest","1","1","Carnivore","Invertivore","Insessorial","10050685.23"
"246","Cuculus optatus","Cuculus optatus","49.8","76.7","Forest","1","2","Carnivore","Invertivore","Insessorial",NA
"247","Cuculus poliocephalus","Cuculus poliocephalus","48.3","46.56","Forest","1","3","Carnivore","Invertivore","Insessorial","5291320.75"
"248","Cuculus saturatus","Cuculus saturatus","47.8","87","Forest","1","3","Carnivore","Invertivore","Insessorial","16826585.93"
"249","Cyanecula svecica",NA,"21.3","17.23","Grassland","2","3","Carnivore","Invertivore","Generalist","19896158.85"
"250","Cyanistes caeruleus","Cyanistes caeruleus","21","11.1","Forest","1","1","Omnivore","Invertivore","Insessorial","8753389.8"
"251","Cyanistes cyanus","Cyanistes cyanus","19.3","14.62","Forest","2","2","Omnivore","Invertivore","Insessorial","8153289.29"
"252","Cyanistes teneriffae","Cyanistes teneriffae","14.2","10","Forest","2","1","Omnivore","Omnivore","Insessorial","624090.33"
"253","Cyanocitta cristata","Cyanocitta cristata","17.4","88","Woodland","2","1","Omnivore","Omnivore","Terrestrial","6665383.16"
"254","Cyanopica cooki","Cyanopica cooki","16.9","70.4","Woodland","2","1","Omnivore","Omnivore","Generalist","179269.64"
"255","Cyanopica cyanus","Cyanopica cyanus","14.3","95.91","Woodland","2","1","Omnivore","Omnivore","Generalist","4927539.01"
"256","Cyanoptila cyanomelana","Cyanoptila cyanomelana","30.6","22.5","Forest","1","3","Carnivore","Invertivore","Terrestrial","1925229.48"
"257","Cygnus columbianus","Cygnus columbianus","45.3","6377.96","Wetland","3","3","Herbivore","Herbivore aquatic","Aquatic","5272186.12"
"258","Cygnus cygnus","Cygnus cygnus","44.8","9349.99","Wetland","3","3","Herbivore","Herbivore aquatic","Aquatic","17099815.6"
"259","Cygnus olor","Cygnus olor","42.1","10682.04","Wetland","3","3","Herbivore","Herbivore aquatic","Aquatic","4915289.2"
"260","Delichon dasypus","Delichon dasypus","54.8","18","Rock","2","3","Carnivore","Invertivore","Aerial","3760523.9"
"261","Delichon urbica","Delichon urbicum","54.3","14.5","Human Modified","3","3","Carnivore","Invertivore","Aerial","26299672.09"
"262","Delichon urbicum","Delichon urbicum","54.3","14.5","Human Modified","3","3","Carnivore","Invertivore","Aerial","26299672.09"
"263","Dendrocopos kizuki","Yungipicus kizuki","28.9","19.19","Forest","2","1","Carnivore","Invertivore","Insessorial","1603020.85"
"264","Dendrocopos leucotos","Dendrocopos leucotos","29.9","116.8","Forest","1","1","Carnivore","Invertivore","Insessorial","11181512.15"
"265","Dendrocopos major","Dendrocopos major","29.3","74.94","Woodland","1","1","Omnivore","Omnivore","Insessorial","24413724.29"
"266","Dendrocopos medius","Dendrocoptes medius","28.1","59","Woodland","1","1","Carnivore","Invertivore","Insessorial","3966649.98"
"267","Dendrocopos minor","Dryobates minor","27.4","19.8","Forest","1","1","Carnivore","Invertivore","Insessorial","18548908.46"
"268","Sapheopipo noguchii","Dendrocopos noguchii","21.4","200","Forest","1","1","Omnivore","Invertivore","Insessorial","585.25"
"269","Dendrocopos syriacus","Dendrocopos syriacus","26.6","76.7","Woodland","2","1","Omnivore","Invertivore","Insessorial","2931365.51"
"270","Dendroica caerulescens","Setophaga caerulescens","24.1","10.14","Forest","1","3","Carnivore","Invertivore","Insessorial","1168234.94"
"271","Dendroica castanea","Setophaga castanea","30.6","11.8","Forest","1","3","Omnivore","Invertivore","Insessorial","2650066.12"
"272","Dendroica cerulea","Setophaga cerulea","33.2","9.04","Forest","1","3","Carnivore","Invertivore","Insessorial","1849163.51"
"273","Dendroica coronata","Setophaga coronata","25.4","11.94","Forest","1","3","Carnivore","Invertivore","Insessorial","9938581.44"
"274","Dendroica discolor","Setophaga discolor","20","7.64","Shrubland","2","3","Carnivore","Invertivore","Insessorial","1565603.51"
"275","Dendroica dominica","Setophaga dominica","26.8","9.69","Forest","2","3","Carnivore","Invertivore","Insessorial","1927929.35"
"276","Dendroica fusca","Setophaga fusca","32.4","9.74","Forest","1","3","Carnivore","Invertivore","Insessorial","2026720.02"
"277","Dendroica magnolia","Setophaga magnolia","21.1","8.14","Forest","1","3","Carnivore","Invertivore","Insessorial","3661483.1"
"278","Dendroica palmarum","Setophaga palmarum","20.1","10.3","Forest","1","3","Carnivore","Invertivore","Insessorial","3394685.27"
"279","Dendroica pensylvanica","Setophaga pensylvanica","26.6","9.29","Forest","2","3","Carnivore","Invertivore","Insessorial","2422614.2"
"280","Dendroica petechia","Setophaga petechia","23.2","10.22","Shrubland","1","3","Carnivore","Invertivore","Insessorial",NA
"281","Dendroica pinus","Setophaga pinus","28.6","11.79","Forest","2","3","Carnivore","Invertivore","Insessorial","2073441.98"
"282","Dendroica striata","Setophaga striata","31.3","11.84","Forest","1","3","Carnivore","Invertivore","Insessorial","6353206.91"
"283","Dendroica tigrina","Setophaga tigrina","26.7","10.04","Forest","1","3","Omnivore","Invertivore","Insessorial","2530023.76"
"284","Dendroica virens","Setophaga virens","26.5","8.69","Forest","1","3","Omnivore","Invertivore","Insessorial","3340613.66"
"285","Dolichonyx oryzivorus","Dolichonyx oryzivorus","35.4","31.46","Grassland","1","3","Omnivore","Granivore","Generalist","3883605.76"
"286","Dryobates minor","Dryobates minor","27.4","19.8","Forest","1","1","Carnivore","Invertivore","Insessorial","18548908.46"
"287","Dryocopus martius","Dryocopus martius","26.4","321","Forest","1","1","Carnivore","Invertivore","Insessorial","19634445.89"
"288","Dryocopus pileatus","Dryocopus pileatus","25.3","286.59","Forest","1","1","Carnivore","Invertivore","Insessorial","5925872.32"
"289","Dumetella carolinensis","Dumetella carolinensis","18.6","35.3","Shrubland","1","3","Omnivore","Invertivore","Insessorial","6824562.12"
"290","Egretta caerulea","Egretta caerulea","38","338.61","Wetland","3","1","Carnivore","Aquatic predator","Terrestrial","5634382.17"
"291","Egretta garzetta","Egretta garzetta","33.1","312","Wetland","3","2","Carnivore","Aquatic predator","Terrestrial","34141787.35"
"292","Egretta sacra","Egretta sacra","32.9","502","Coastal","3","2","Carnivore","Aquatic predator","Terrestrial","4099474.31"
"293","Egretta thula","Egretta thula","31.9","371","Wetland","3","2","Carnivore","Aquatic predator","Terrestrial","19270773.23"
"294","Egretta tricolor","Egretta tricolor","35.5","372.3","Coastal","3","2","Carnivore","Aquatic predator","Terrestrial","1369046.69"
"295","Elanus caeruleus","Elanus caeruleus","45.2","259.76","Grassland","3","2","Carnivore","Vertivore","Aerial","26685941.8"
"296","Emberiza aureola","Emberiza aureola","25.8","19.6","Shrubland","2","3","Omnivore","Omnivore","Generalist","14850268.01"
"297","Emberiza bruniceps","Emberiza bruniceps","27.1","24.8","Grassland","3","3","Omnivore","Omnivore","Terrestrial","4074558.12"
"298","Emberiza caesia","Emberiza caesia","28.1","19.9","Shrubland","3","3","Omnivore","Granivore","Terrestrial","344081.04"
"299","Emberiza calandra","Emberiza calandra","26.5","48.5","Grassland","3","2","Herbivore","Omnivore","Terrestrial","7483952.2"
"300","Emberiza cia","Emberiza cia","19.6","23.43","Rock","3","2","Omnivore","Omnivore","Terrestrial","4412208.21"
"301","Emberiza cineracea","Emberiza cineracea","24","24.3","Shrubland","3","3","Omnivore","Omnivore","Terrestrial","105439.34"
"302","Emberiza cioides","Emberiza cioides","22.1","21.02","Grassland","3","2","Herbivore","Granivore","Terrestrial","10532097.13"
"303","Emberiza cirlus","Emberiza cirlus","20.2","25.6","Shrubland","2","2","Omnivore","Granivore","Terrestrial","2173407.94"
"304","Emberiza citrinella","Emberiza citrinella","25.7","29.7","Shrubland","3","2","Herbivore","Granivore","Terrestrial","12899942.03"
"305","Emberiza fucata","Emberiza fucata","19.5","19.8","Shrubland","2","3","Herbivore","Granivore","Terrestrial","3876445.61"
"306","Emberiza hortulana","Emberiza hortulana","28.8","19.9","Shrubland","2","3","Omnivore","Omnivore","Generalist","9881195.68"
"307","Emberiza melanocephala","Emberiza melanocephala","29.6","28.31","Shrubland","2","3","Omnivore","Omnivore","Generalist","2122285.8"
"308","Emberiza pallasi","Emberiza pallasi","22.3","13.96","Shrubland","3","3","Omnivore","Omnivore","Terrestrial","6843352.03"
"309","Emberiza pusilla","Emberiza pusilla","24.5","14.57","Forest","2","3","Herbivore","Granivore","Generalist","10268381.21"
"310","Emberiza rustica","Emberiza rustica","25.2","20.54","Forest","2","3","Herbivore","Granivore","Generalist","11090010.05"
"311","Emberiza schoeniclus","Emberiza schoeniclus","21.1","18.4","Wetland","2","2","Herbivore","Omnivore","Terrestrial","23743379.81"
"312","Emberiza spodocephala","Emberiza spodocephala","19.4","18.45","Shrubland","2","3","Carnivore","Invertivore","Terrestrial","5014357.44"
"313","Emberiza sulphurata","Emberiza sulphurata","26.9","14.89","Forest","1","3","Omnivore","Omnivore","Terrestrial","111789.59"
"314","Emberiza variabilis","Emberiza variabilis","23.8","23.8","Shrubland","1","3","Herbivore","Omnivore","Terrestrial","222168.05"
"315","Emberiza yessoensis","Emberiza yessoensis","17.5","13.49","Wetland","2","3","Herbivore","Granivore","Terrestrial","52341.69"
"316","Empidonax alnorum","Empidonax alnorum","19.2","12.7","Shrubland","1","3","Carnivore","Invertivore","Insessorial","7110677.02"
"317","Empidonax flaviventris","Empidonax flaviventris","24.1","11.8","Forest","1","3","Carnivore","Invertivore","Insessorial","5332665.34"
"318","Empidonax minimus","Empidonax minimus","22.8","10","Forest","1","3","Carnivore","Invertivore","Insessorial","5753545.24"
"319","Empidonax traillii","Empidonax traillii","23.5","13.39","Shrubland","2","3","Carnivore","Invertivore","Insessorial","7301691.61"
"320","Empidonax virescens","Empidonax virescens","27.5","12.6","Forest","2","3","Carnivore","Invertivore","Insessorial","3006134.68"
"321","Eophona personata","Eophona personata","36.4","80","Forest","2","1","Herbivore","Omnivore","Insessorial","1516318.98"
"322","Eremophila alpestris","Eremophila alpestris","38.6","33.33","Grassland","3","3","Omnivore","Omnivore","Terrestrial","35118904.89"
"323","Erithacus rubecula","Erithacus rubecula","19.9","17.7","Forest","1","3","Carnivore","Omnivore","Generalist","10001378.73"
"324","Estrilda astrild","Estrilda astrild","16.8","8.29","Grassland","3","1","Herbivore","Granivore","Generalist","5902588.4"
"325","Estrilda melpoda","Estrilda melpoda","17.3","7.6","Grassland","3","1","Omnivore","Granivore","Generalist","3732329.06"
"326","Eudromias morinellus","Charadrius morinellus","55.9","108.16","Grassland","3","3","Carnivore","Invertivore","Terrestrial","3830439.01"
"327","Euphagus carolinus","Euphagus carolinus","28","59.57","Forest","2","3","Omnivore","Omnivore","Terrestrial","7275943.03"
"328","Eurystomus orientalis","Eurystomus orientalis","36.9","143.02","Woodland","2","3","Carnivore","Invertivore","Aerial","12922409.59"
"329","Falcipennis canadensis","Falcipennis canadensis","34.9","473.65","Forest","1","1","Herbivore","Herbivore terrestrial","Terrestrial","6032495.4"
"330","Falco biarmicus","Falco biarmicus","50.6","606.09","Shrubland ","3","2","Carnivore","Vertivore","Aerial","17892923.9"
"331","Falco cherrug","Falco cherrug","49.9","961.21","Grassland","3","3","Carnivore","Vertivore","Generalist","11514254.26"
"332","Falco columbarius","Falco columbarius","48.9","188.5","Woodland","3","3","Carnivore","Vertivore","Aerial","26326086.22"
"333","Falco eleonorae","Falco eleonorae","55","390","Coastal","3","3","Carnivore","Omnivore","Aerial","121952.48"
"334","Falco naumanni","Falco naumanni","53.9","152.06","Grassland","3","3","Carnivore","Invertivore","Generalist","9560575.62"
"335","Falco peregrinus","Falco peregrinus","52.2","759.95","Grassland","3","2","Carnivore","Vertivore","Aerial","46153723.55"
"336","Falco rusticolus","Falco rusticolus","47.5","1431.72","Grassland","3","3","Carnivore","Vertivore","Aerial","8809463.94"
"337","Falco sparverius","Falco sparverius","43.7","114.61","Grassland","3","3","Carnivore","Omnivore","Insessorial","26638648.91"
"338","Falco subbuteo","Falco subbuteo","57.8","208.17","Woodland","3","3","Carnivore","Invertivore","Aerial","28255832.68"
"339","Falco tinnunculus","Falco tinnunculus","51","183.21","Shrubland","3","3","Carnivore","Vertivore","Aerial","49037026.09"
"340","Falco vespertinus","Falco vespertinus","55.6","151.49","Grassland","3","3","Carnivore","Invertivore","Aerial","9360235.41"
"341","Ficedula albicollis","Ficedula albicollis","31.9","12.69","Woodland","1","3","Carnivore","Invertivore","Insessorial","2473537.35"
"342","Ficedula hypoleuca","Ficedula hypoleuca","30.4","13.79","Forest","1","3","Carnivore","Invertivore","Insessorial","7339714.14"
"343","Ficedula narcissina","Ficedula narcissina","29.9","13.1","Forest","2","3","Carnivore","Invertivore","Insessorial","820488.13"
"344","Ficedula parva","Ficedula parva","25.3","10.8","Woodland","1","3","Carnivore","Invertivore","Insessorial","6006654.02"
"345","Ficedula semitorquata","Ficedula semitorquata","28.9","14.4","Woodland","2","3","Carnivore","Invertivore","Insessorial","613107.85"
"346","Francolinus francolinus","Francolinus francolinus","21.5","452.07","Shrubland","3","1","Herbivore","Omnivore","Terrestrial","2982416.91"
"347","Fratercula arctica","Fratercula arctica","51.6","593.01","Marine","3","3","Carnivore","Aquatic predator","Aquatic","1955692.47"
"348","Fringilla coelebs","Fringilla coelebs","27.6","23.81","Forest","2","2","Omnivore","Invertivore","Generalist","13931193.45"
"349","Fringilla montifringilla","Fringilla montifringilla","32.5","23.19","Forest","1","3","Herbivore","Omnivore","Generalist","13666715.85"
"350","Fulica americana","Fulica americana","36.3","636.74","Wetland","3","2","Herbivore","Herbivore aquatic","Aquatic","10577872.82"
"351","Fulica atra","Fulica atra","39.6","717.12","Wetland","3","1","Herbivore","Herbivore aquatic","Generalist","33490842.86"
"352","Fulica cristata","Fulica cristata","36.1","826","Wetland","3","1","Herbivore","Herbivore aquatic","Aquatic","5291448.7"
"353","Fulmarus glacialis","Fulmarus glacialis","51.1","611.94","Marine","3","3","Carnivore","Aquatic predator","Aquatic","29451058.1"
"354","Galerida cristata","Galerida cristata","26.7","42.68","Grassland","3","1","Omnivore","Omnivore","Terrestrial","24389170.69"
"355","Galerida theklae","Galerida theklae","23.3","38.17","Shrubland","2","1","Omnivore","Omnivore","Terrestrial","2270448.11"
"356","Gallinago delicata","Gallinago delicata","46.5","112.94","Wetland","3","3","Carnivore","Aquatic predator","Terrestrial","11985774.53"
"357","Gallinago gallinago","Gallinago gallinago","44.3","112.94","Wetland","3","3","Carnivore","Aquatic predator","Terrestrial","32090897.74"
"358","Gallinago hardwickii","Gallinago hardwickii","48.4","151.31","Human Modified","3","3","Carnivore","Aquatic predator","Terrestrial","251911.82"
"359","Gallinago media","Gallinago media","45","169.96","Wetland","3","3","Carnivore","Aquatic predator","Terrestrial","7813688.34"
"360","Gallinago stenura","Gallinago stenura","46.5","113","Wetland","3","3","Carnivore","Aquatic predator","Terrestrial","8781511.92"
"361","Gallinula chloropus","Gallinula chloropus","32.2","339.63","Wetland","3","1","Omnivore","Omnivore","Terrestrial","52285238.85"
"362","Gallirallus okinawae","Gallirallus okinawae","23.9","433","Forest","1","1","Carnivore","Invertivore","Terrestrial","594.31"
"363","Garrulax canorus","Garrulax canorus","7","62.78","Shrubland","2","1","Carnivore","Invertivore","Terrestrial","1868020.76"
"364","Garrulus glandarius","Garrulus glandarius","19.4","159.46","Forest","1","2","Omnivore","Omnivore","Insessorial","22919550.27"
"365","Garrulus lidthi","Garrulus lidthi","15.5","125","Forest","1","1","Omnivore","Omnivore","Insessorial","815.32"
"366","Gavia arctica","Gavia arctica","50.8","2251.1","Wetland","3","3","Carnivore","Aquatic predator","Aquatic","18911193.89"
"367","Gavia immer","Gavia immer","49.3","4956.81","Wetland","3","3","Carnivore","Aquatic predator","Aquatic","9453280.12"
"368","Gavia stellata","Gavia stellata","47.6","1486","Wetland","3","3","Carnivore","Aquatic predator","Aquatic","16657775.71"
"369","Gelochelidon nilotica","Gelochelidon nilotica","67","218.25","Coastal","3","3","Carnivore","Omnivore","Aerial","7524091.88"
"370","Geothlypis trichas","Geothlypis trichas","16.1","9.54","Wetland","1","3","Carnivore","Invertivore","Insessorial","12826786.25"
"371","Glareola maldivarum","Glareola maldivarum","59.2","75.2","Grassland","3","3","Carnivore","Invertivore","Aerial","6014195.65"
"372","Glareola nordmanni","Glareola nordmanni","61.4","97.19","Grassland","3","3","Carnivore","Invertivore","Aerial","2251795.82"
"373","Glareola pratincola","Glareola pratincola","60.7","84.9","Grassland","3","3","Carnivore","Invertivore","Aerial","5351786.34"
"374","Glaucidium passerinum","Glaucidium passerinum","25.9","57.87","Forest","1","2","Carnivore","Vertivore","Insessorial","11366077.56"
"375","Gorsachius goisagi","Gorsachius goisagi","34.6","527","Riverine","2","3","Carnivore","Aquatic predator","Terrestrial","157988.97"
"376","Grus grus","Grus grus","43","5499.99","Wetland","3","3","Herbivore","Omnivore","Terrestrial","15456101.32"
"377","Grus japonensis","Grus japonensis","41.1","8785.99","Wetland","3","3","Omnivore","Omnivore","Terrestrial","738171.22"
"378","Gulosus aristotelis",NA,"33.2","1764.34","Marine","3","1","Carnivore","Aquatic predator","Aquatic","230027.34"
"379","Gypaetus barbatus","Gypaetus barbatus","49.5","5694.98","Rock","3","2","Scavenger","Scavenger","Terrestrial","8369572.33"
"380","Gyps fulvus","Gyps fulvus","39.2","7435.99","Grassland","3","1","Scavenger","Scavenger","Terrestrial","3487541.03"
"381","Haematopus ostralegus","Haematopus ostralegus","51.2","526","Coastal","3","1","Carnivore","Aquatic predator","Terrestrial","9505624.97"
"382","Haematopus palliatus","Haematopus palliatus","48","601.45","Coastal","3","1","Carnivore","Aquatic predator","Terrestrial","1471742.97"
"383","Halcyon coromanda","Halcyon coromanda","22.4","77.5","Forest","1","3","Carnivore","Omnivore","Insessorial","2736822.53"
"384","Haliaeetus albicilla","Haliaeetus albicilla","38","4729.27","Rock","3","2","Carnivore","Aquatic predator","Aerial","17404346.92"
"385","Haliaeetus leucocephalus","Haliaeetus leucocephalus","41.4","4700.58","Wetland","3","3","Carnivore","Omnivore","Generalist","9351853.96"
"386","Helmitheros vermivorum","Helmitheros vermivorum","26.2","14.16","Forest","1","3","Carnivore","Invertivore","Insessorial","1754178.4"
"387","Hieraaetus pennatus","Hieraaetus pennatus","42","823.75","Forest","1","3","Carnivore","Vertivore","Generalist","6138248.03"
"388","Hierococcyx hyperythrus",NA,"36.6","79.7","Forest","1","1","Carnivore","Invertivore","Insessorial","2474869.28"
"389","Himantopus himantopus","Himantopus himantopus","52.2","176.82","Wetland","3","2","Carnivore","Aquatic predator","Terrestrial","30584240.92"
"390","Hippolais icterina","Hippolais icterina","30.8","13.2","Woodland","1","3","Carnivore","Invertivore","Insessorial","6330920.54"
"391","Hippolais olivetorum","Hippolais olivetorum","28.6","17.5","Human Modified","2","3","Carnivore","Invertivore","Insessorial","285772.62"
"392","Hippolais polyglotta","Hippolais polyglotta","21.2","11","Woodland","2","3","Carnivore","Invertivore","Insessorial","1710837.05"
"393","Hirundapus caudacutus","Hirundapus caudacutus","72.2","95.5","Woodland","1","3","Carnivore","Invertivore","Aerial","6143488.25"
"394","Hirundo daurica","Cecropis daurica","52.9","22.2","Grassland","3","3","Carnivore","Invertivore","Aerial","19153028.31"
"395","Hirundo rustica","Hirundo rustica","52.6","17.91","Human Modified","3","3","Carnivore","Invertivore","Aerial","51701054.06"
"396","Hirundo tahitica","Hirundo tahitica","42.5","17.8","Coastal","3","2","Carnivore","Invertivore","Aerial","1208.55"
"397","Histrionicus histrionicus","Histrionicus histrionicus","50","561.57","Marine","3","2","Carnivore","Aquatic predator","Aquatic","7912681.94"
"398","Hydrobates castro","Hydrobates pelagicus","60","46.14","Marine","3","3","Carnivore","Aquatic predator","Aerial","86645652.29"
"399","Hydrobates leucorhous","Hydrobates pelagicus","58.8","36.71","Marine","3","3","Carnivore","Aquatic predator","Aerial","110025337.7"
"400","Hydrobates pelagicus","Hydrobates pelagicus","59","25.2","Marine","3","3","Carnivore","Aquatic predator","Aerial","50310627.51"
"401","Hydrocoloeus minutus","Hydrocoloeus minutus","57.9","118","Coastal","3","2","Carnivore","Aquatic predator","Generalist","8322361.57"
"402","Hydropogne caspia","Hydroprogne caspia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"403","Hydroprogne caspia","Hydroprogne caspia","65.1","655","Wetland","3","3","Carnivore","Aquatic predator","Aerial","6293644.91"
"404","Hylocichla mustelina","Hylocichla mustelina","26.9","50.09","Forest","1","3","Omnivore","Invertivore","Generalist","3494414.7"
"405","Hypsipetes amaurotis","Hypsipetes amaurotis","21.3","70.89","Forest","2","2","Herbivore","Frugivore","Insessorial","482417.45"
"406","Icteria virens","Icteria virens","21.3","24.89","Forest","2","1","Carnivore","Invertivore","Insessorial","6188045.96"
"407","Icterus galbula","Icterus galbula","27.4","32.83","Forest","1","3","Omnivore","Invertivore","Insessorial","4604558.64"
"408","Icterus spurius","Icterus spurius","26.9","19.44","Forest","2","3","Carnivore","Invertivore","Insessorial","4816791.26"
"409","Iduna caligata","Iduna caligata","17","8.9","Shrubland","2","3","Carnivore","Invertivore","Insessorial","5841802.63"
"410","Iduna opaca","Iduna opaca","22.6","9","Shrubland","2","3","Carnivore","Invertivore","Insessorial","515405.67"
"411","Iduna pallida","Iduna pallida","22.6","9","Shrubland","2","3","Carnivore","Invertivore","Insessorial","4793435.1"
"412","Ixobrychus cinnamomeus","Ixobrychus cinnamomeus","25.6","126.49","Human Modified","1","1","Carnivore","Aquatic predator","Terrestrial","7931366.43"
"413","Ixobrychus exilis","Ixobrychus exilis","29","86.29","Wetland","1","2","Carnivore","Aquatic predator","Terrestrial","6223094.32"
"414","Ixobrychus minutus","Ixobrychus minutus","37.2","99.49","Wetland","1","3","Carnivore","Aquatic predator","Terrestrial","29368135.64"
"415","Ixobrychus sinensis","Ixobrychus sinensis","31","94.29","Wetland","1","3","Carnivore","Aquatic predator","Terrestrial","8593201.95"
"416","Junco hyemalis","Junco hyemalis","21.9","19.5","Forest","2","3","Herbivore","Granivore","Generalist","10167654.77"
"417","Jynx torquilla","Jynx torquilla","27.1","34.96","Woodland","1","3","Carnivore","Invertivore","Terrestrial","17649135.86"
"418","Lagopus lagopus","Lagopus lagopus","39","566.86","Grassland","3","1","Herbivore","Herbivore terrestrial","Terrestrial","24300173.65"
"419","Lagopus muta","Lagopus muta","46.1","535.3","Grassland","3","1","Herbivore","Herbivore terrestrial","Terrestrial","14996056.99"
"420","Lanius bucephalus","Lanius bucephalus","23","39.42","Shrubland","3","3","Carnivore","Invertivore","Insessorial","1714597.84"
"421","Lanius collurio","Lanius collurio","31","28.44","Woodland","3","3","Carnivore","Invertivore","Insessorial","10799323.67"
"422","Lanius cristatus","Lanius cristatus","26.6","32.18","Shrubland","3","3","Carnivore","Invertivore","Insessorial","14145065.02"
"423","Lanius excubitor","Lanius excubitor","26.3","63.41","Shrubland","3","3","Carnivore","Vertivore","Insessorial","35088491.93"
"424","Lanius ludovicianus","Lanius ludovicianus","22.6","51.59","Shrubland","3","3","Carnivore","Invertivore","Insessorial","8852504.29"
"425","Lanius meridionalis","Lanius meridionalis","23.8","60.43","Shrubland","2","2","Carnivore","Invertivore","Insessorial","557659.42"
"426","Lanius minor","Lanius minor","36","46.49","Grassland","3","3","Carnivore","Invertivore","Insessorial","8409985.28"
"427","Lanius nubicus","Lanius nubicus","23.6","19.7","Woodland","2","3","Carnivore","Invertivore","Insessorial","352571.91"
"428","Lanius senator","Lanius senator","31.4","35.97","Shrubland","2","3","Carnivore","Invertivore","Insessorial","2577480.33"
"429","Lanius tigrinus","Lanius tigrinus","30","30.14","Woodland","2","3","Carnivore","Invertivore","Insessorial","2874862.37"
"430","Larus argentatus","Larus argentatus","53.4","1090.99","Coastal","3","2","Carnivore","Aquatic predator","Generalist","13888864.47"
"431","Larus armenicus","Larus armenicus","54.5","866.99","Wetland","3","3","Carnivore","Aquatic predator","Generalist","92321.08"
