"","verbatim_name","tp","cell_grouping","Total_area","Total_Ncells","occupancy_Ncells","AOO","relative_occupancy_Ncells","dataset"
"147","Scolopax mira",1,1,448951.020447356,1095,1,454.528090308685,0,"Birds_atlas_Japan"
"148","Aythya fuligula",2,1,450221.445308138,1098,11,4572.55265378101,0.01,"Birds_atlas_Japan"
"149","Eudynamys scolopaceus",2,1,450221.445308138,1098,1,456.568466701263,0,"Birds_atlas_Japan"
"150","Butastur indicus",2,1,450221.445308138,1098,116,48273.9420134873,0.11,"Birds_atlas_Japan"
"151","Tachybaptus ruficollis",2,1,450221.445308138,1098,108,44777.5256961845,0.1,"Birds_atlas_Japan"
"152","Garrulus lidthi",1,1,448951.020447356,1095,5,2265.03863055054,0,"Birds_atlas_Japan"
"153","Dendrocopos leucotos",1,1,448951.020447356,1095,78,31862.7669999548,0.07,"Birds_atlas_Japan"
"154","Garrulus lidthi",2,1,450221.445308138,1098,5,2265.03863055054,0,"Birds_atlas_Japan"
"155","Dendrocopos leucotos",2,1,450221.445308138,1098,129,52074.2158685738,0.12,"Birds_atlas_Japan"
"156","Apus pacificus",1,1,448951.020447356,1095,127,51440.2043094283,0.12,"Birds_atlas_Japan"
"157","Motacilla cinerea",1,1,448951.020447356,1095,607,247457.608054566,0.55,"Birds_atlas_Japan"
"158","Acrocephalus bistrigiceps",1,1,448951.020447356,1095,100,38666.1816212769,0.09,"Birds_atlas_Japan"
"159","Turdus celaenops",1,1,448951.020447356,1095,4,1730.41214100472,0,"Birds_atlas_Japan"
"160","Phylloscopus ijimae",1,1,448951.020447356,1095,4,1728.73957989705,0,"Birds_atlas_Japan"
"161","Falco peregrinus",1,1,448951.020447356,1095,29,11883.7850075871,0.03,"Birds_atlas_Japan"
"162","Turdus celaenops",2,1,450221.445308138,1098,3,1305.49767266022,0,"Birds_atlas_Japan"
"163","Phylloscopus ijimae",2,1,450221.445308138,1098,3,1305.49767266022,0,"Birds_atlas_Japan"
"164","Emberiza cioides",1,1,448951.020447356,1095,901,371043.413896778,0.82,"Birds_atlas_Japan"
"165","Picus awokera",2,1,450221.445308138,1098,510,213274.522397708,0.46,"Birds_atlas_Japan"
"166","Emberiza cioides",2,1,450221.445308138,1098,891,366311.574036378,0.81,"Birds_atlas_Japan"
"167","Urosphena squameiceps",2,1,450221.445308138,1098,653,264156.215298314,0.59,"Birds_atlas_Japan"
"168","Periparus ater",2,1,450221.445308138,1098,562,226054.621024426,0.51,"Birds_atlas_Japan"
"169","Milvus migrans",2,1,450221.445308138,1098,566,231484.23553556,0.52,"Birds_atlas_Japan"
"170","Bambusicola thoracicus",1,1,448951.020447356,1095,292,124151.281440074,0.27,"Birds_atlas_Japan"
"171","Milvus migrans",1,1,448951.020447356,1095,685,279138.603846766,0.63,"Birds_atlas_Japan"
"172","Porzana fusca",2,1,450221.445308138,1098,27,11576.212965292,0.02,"Birds_atlas_Japan"
"173","Treron sieboldii",1,1,448951.020447356,1095,339,135230.266478053,0.31,"Birds_atlas_Japan"
"174","Bambusicola thoracicus",2,1,450221.445308138,1098,256,108651.722513188,0.23,"Birds_atlas_Japan"
"175","Urosphena squameiceps",1,1,448951.020447356,1095,680,276362.32484268,0.62,"Birds_atlas_Japan"
"176","Picus awokera",1,1,448951.020447356,1095,403,168916.119880324,0.37,"Birds_atlas_Japan"
"177","Troglodytes troglodytes",1,1,448951.020447356,1095,333,135487.833888995,0.3,"Birds_atlas_Japan"
"178","Garrulus glandarius",1,1,448951.020447356,1095,605,248026.86236216,0.55,"Birds_atlas_Japan"
"179","Charadrius dubius",2,1,450221.445308138,1098,101,41922.825456786,0.09,"Birds_atlas_Japan"
