"","verbatim_name","dataset","log_R2_1"
"242","Catharus guttatus","Birds_Atlas_New_York",0.268018285539472
"243","Catharus ustulatus","Birds_Atlas_New_York",-0.178388105365948
"244","Cecropis daurica","Birds_atlas_EBBA",0.00550643244672925
"245","Cepphus carbo","Birds_atlas_Japan",0.684991893658521
"246","Cepphus grylle","Birds_atlas_EBBA",-0.00193492734764457
"247","Cercotrichas galactotes","Birds_atlas_EBBA",0
"248","Cerorhinca monocerata","Birds_atlas_Japan",-1.10962657408474
"249","Certhia americana","Birds_Atlas_New_York",0.0502113510391877
"250","Certhia brachydactyla","Birds_Atlas_Czechia",0.0688024402756895
"251","Certhia brachydactyla","Birds_atlas_EBBA",0
"252","Certhia familiaris","Birds_Atlas_Czechia",0.0682299622941421
"253","Certhia familiaris","Birds_atlas_EBBA",0
"254","Certhia familiaris","Birds_atlas_Japan",0.942221391629307
"255","Cettia cetti","Birds_atlas_EBBA",0.00129498696204166
"256","Cettia diphone","Birds_atlas_Japan",0.0133325011642177
"257","Chaetura pelagica","Birds_Atlas_New_York",-0.163782103086247
"258","Chalcophaps indica","Birds_atlas_Japan",0.469708103020723
"259","Charadrius alexandrinus","Birds_atlas_EBBA",0
"260","Charadrius alexandrinus","Birds_atlas_Japan",-0.870810302305009
"261","Charadrius asiaticus","Birds_atlas_EBBA",0
"262","Charadrius dubius","Birds_Atlas_Czechia",0.0379402812792268
"263","Charadrius dubius","Birds_atlas_EBBA",0
"264","Charadrius dubius","Birds_atlas_Japan",-0.100015667469411
"265","Charadrius hiaticula","Birds_atlas_EBBA",-0.00121289885764538
"266","Charadrius leschenaultii","Birds_atlas_EBBA",0
"267","Charadrius melodus","Birds_Atlas_New_York",0.0132231924404035
"268","Charadrius morinellus","Birds_Atlas_Czechia",-0.70047745189786
"269","Charadrius placidus","Birds_atlas_Japan",0.124838792893321
"270","Charadrius vociferus","Birds_Atlas_New_York",-0.0412154042574971
"271","Chersophilus duponti","Birds_atlas_EBBA",0
"272","Chlidonias hybrida","Birds_atlas_EBBA",0
"273","Chlidonias leucopterus","Birds_atlas_EBBA",0
"274","Chlidonias niger","Birds_Atlas_Czechia",-0.318072826186324
"275","Chlidonias niger","Birds_atlas_EBBA",0
"276","Chlidonias niger","Birds_Atlas_New_York",-0.506210881793191
"277","Chloris chloris","Birds_atlas_EBBA",-1.27245429406517e-07
"278","Chloris sinica","Birds_atlas_Japan",-0.00316713920890825
"279","Chordeiles minor","Birds_Atlas_New_York",-1.24009534545801
"280","Chrysolophus amherstiae","Birds_atlas_EBBA",0
"281","Chrysolophus pictus","Birds_atlas_EBBA",0
"282","Ciconia ciconia","Birds_Atlas_Czechia",0.0478092585333654
"283","Ciconia ciconia","Birds_atlas_EBBA",0
"284","Ciconia nigra","Birds_Atlas_Czechia",0.235166290147305
"285","Ciconia nigra","Birds_atlas_EBBA",0
"286","Cinclus cinclus","Birds_Atlas_Czechia",0.039620484557671
"287","Cinclus cinclus","Birds_atlas_EBBA",0
"288","Cinclus pallasii","Birds_atlas_Japan",0.0521801140214549
"289","Circaetus gallicus","Birds_atlas_EBBA",0
"290","Circus aeruginosus","Birds_Atlas_Czechia",0.286198636274924
"291","Circus aeruginosus","Birds_atlas_EBBA",0
"292","Circus cyaneus","Birds_Atlas_Czechia",-0.0394743220141287
"293","Circus cyaneus","Birds_atlas_EBBA",0
"294","Circus cyaneus","Birds_Atlas_New_York",-0.0140116094157838
"295","Circus macrourus","Birds_atlas_EBBA",0
"296","Circus pygargus","Birds_Atlas_Czechia",0.836186931960728
"297","Circus pygargus","Birds_atlas_EBBA",0
"298","Circus spilonotus","Birds_atlas_Japan",-0.167337341959051
"299","Cisticola juncidis","Birds_atlas_EBBA",0.00186745388523977
"300","Cisticola juncidis","Birds_atlas_Japan",-0.147872884182255
"301","Cistothorus palustris","Birds_Atlas_New_York",0.0489381653089941
"302","Cistothorus platensis","Birds_Atlas_New_York",0.233465633111122
"303","Clamator glandarius","Birds_atlas_EBBA",0
"304","Clanga clanga","Birds_atlas_EBBA",0
"305","Clanga pomarina","Birds_atlas_EBBA",0
"306","Clangula hyemalis","Birds_atlas_EBBA",-0.223840623043842
"307","Coccothraustes coccothraustes","Birds_Atlas_Czechia",0.0794968434917426
"308","Coccothraustes coccothraustes","Birds_atlas_EBBA",0
"309","Coccothraustes coccothraustes","Birds_atlas_Japan",-0.0712982180317744
"310","Coccothraustes vespertinus","Birds_Atlas_New_York",0.364622195587198
"311","Coccyzus americanus","Birds_Atlas_New_York",0.0329546461264553
"312","Coccyzus erythropthalmus","Birds_Atlas_New_York",0.0356093585922444
"313","Colaptes auratus","Birds_Atlas_New_York",-0.00636171036288875
"314","Colinus virginianus","Birds_atlas_EBBA",0
"315","Colinus virginianus","Birds_Atlas_New_York",-0.299123133371511
"316","Columba janthina","Birds_atlas_Japan",-0.0584014791117093
"317","Columba livia","Birds_Atlas_Czechia",0.0124415328667867
"318","Columba livia","Birds_atlas_EBBA",0.000430637813979509
"319","Columba livia","Birds_atlas_Japan",0.157304529316521
"320","Columba livia","Birds_Atlas_New_York",-0.00798889389790613
"321","Columba oenas","Birds_Atlas_Czechia",0.323460226030365
"322","Columba oenas","Birds_atlas_EBBA",0
"323","Columba palumbus","Birds_Atlas_Czechia",0.0127639717938152
"324","Columba palumbus","Birds_atlas_EBBA",-0.000256366675096008
"325","Columba trocaz","Birds_atlas_EBBA",0
"326","Contopus cooperi","Birds_Atlas_New_York",-0.415962730005933
"327","Contopus virens","Birds_Atlas_New_York",-0.0430307825864895
"328","Coracias garrulus","Birds_atlas_EBBA",0
"329","Corvus brachyrhynchos","Birds_Atlas_New_York",0.00863228336545826
"330","Corvus corax","Birds_Atlas_Czechia",0.693950502532977
"331","Corvus corax","Birds_atlas_EBBA",-2.99838506233348e-07
"332","Corvus corax","Birds_Atlas_New_York",1.79214218706058
"333","Corvus corone","Birds_Atlas_Czechia",-0.025849061252959
"334","Corvus corone","Birds_atlas_EBBA",-0.0019765601990642
"335","Corvus corone","Birds_atlas_Japan",-0.0269107706233058
"336","Corvus frugilegus","Birds_Atlas_Czechia",-0.179781069703203
"337","Corvus frugilegus","Birds_atlas_EBBA",0
"338","Corvus macrorhynchos","Birds_atlas_Japan",0.0698266555098402
"339","Corvus monedula","Birds_Atlas_Czechia",-0.339345675128617
"340","Corvus monedula","Birds_atlas_EBBA",0
"341","Corvus ossifragus","Birds_Atlas_New_York",0.433751231382132
"342","Coturnix coturnix","Birds_Atlas_Czechia",0.30052277641449
"343","Coturnix coturnix","Birds_atlas_EBBA",-0.000502197912380226
"344","Crex crex","Birds_Atlas_Czechia",0.658972376229172
"345","Crex crex","Birds_atlas_EBBA",0
"346","Cuculus canorus","Birds_Atlas_Czechia",0.00804663679320043
"347","Cuculus canorus","Birds_atlas_EBBA",0.000715953896121418
"348","Cuculus canorus","Birds_atlas_Japan",0.0345522314295311
"349","Cuculus micropterus","Birds_atlas_Japan",2.04845268325912
"350","Cuculus optatus","Birds_atlas_Japan",0.0822051231828126
"351","Cuculus poliocephalus","Birds_atlas_Japan",0.291491864894624
"352","Cuculus saturatus","Birds_atlas_EBBA",-0.0715257772048566
"353","Cyanecula svecica","Birds_atlas_EBBA",-0.00644019591594759
"354","Cyanistes caeruleus","Birds_atlas_EBBA",0
"355","Cyanistes cyanus","Birds_atlas_EBBA",0
"356","Cyanistes teneriffae","Birds_atlas_EBBA",0
"357","Cyanocitta cristata","Birds_Atlas_New_York",0.00445283978647497
"358","Cyanopica cooki","Birds_atlas_EBBA",0
"359","Cyanopica cyanus","Birds_atlas_Japan",-0.467318784967396
"360","Cyanoptila cyanomelana","Birds_atlas_Japan",0.0851509326077971
"361","Cygnus columbianus","Birds_atlas_EBBA",-0.490508265048904
"362","Cygnus cygnus","Birds_atlas_EBBA",-0.0457857292129238
"363","Cygnus olor","Birds_Atlas_Czechia",-0.00134979722921927
"364","Cygnus olor","Birds_atlas_EBBA",0
"365","Cygnus olor","Birds_atlas_Japan",1.06421799604489
"366","Cygnus olor","Birds_Atlas_New_York",0.624400289837611
"367","Delichon dasypus","Birds_atlas_Japan",-0.25001674439007
"368","Delichon urbica","Birds_Atlas_Czechia",-5.55529874666716e-05
"369","Delichon urbicum","Birds_atlas_EBBA",0.000356723748557122
"370","Dendrocopos kizuki","Birds_atlas_Japan",0.0446919274731573
"371","Dendrocopos leucotos","Birds_Atlas_Czechia",-0.027210602932965
"372","Dendrocopos leucotos","Birds_atlas_EBBA",0
"373","Dendrocopos leucotos","Birds_atlas_Japan",0.491231779878572
"374","Dendrocopos major","Birds_Atlas_Czechia",0.00798830411121101
"375","Dendrocopos major","Birds_atlas_EBBA",0
"376","Dendrocopos major","Birds_atlas_Japan",0.0496320238999531
"377","Dendrocopos medius","Birds_Atlas_Czechia",0.340195060019847
"378","Dendrocopos minor","Birds_Atlas_Czechia",0.0925637098430306
"379","Dendrocopos minor","Birds_atlas_Japan",-0.593208039829772
"380","Dendrocopos syriacus","Birds_Atlas_Czechia",0.834176910942168
"381","Dendrocopos syriacus","Birds_atlas_EBBA",0
"382","Dendroica caerulescens","Birds_Atlas_New_York",0.0990294756292735
"383","Dendroica castanea","Birds_Atlas_New_York",-0.980860245208996
"384","Dendroica cerulea","Birds_Atlas_New_York",-0.133988928050339
"385","Dendroica coronata","Birds_Atlas_New_York",0.301375312730356
"386","Dendroica discolor","Birds_Atlas_New_York",0.179721580145213
"387","Dendroica dominica","Birds_Atlas_New_York",0.510537876769642
"388","Dendroica fusca","Birds_Atlas_New_York",0.175195726607465
"389","Dendroica magnolia","Birds_Atlas_New_York",0.230847663803301
"390","Dendroica palmarum","Birds_Atlas_New_York",3.76113908999108
"391","Dendroica pensylvanica","Birds_Atlas_New_York",0.0941578858900352
"392","Dendroica petechia","Birds_Atlas_New_York",0.00152227139688428
"393","Dendroica pinus","Birds_Atlas_New_York",1.16259539031515
"394","Dendroica striata","Birds_Atlas_New_York",-0.0834170534565792
"395","Dendroica tigrina","Birds_Atlas_New_York",-0.251385371806403
"396","Dendroica virens","Birds_Atlas_New_York",0.251756270316019
"397","Dolichonyx oryzivorus","Birds_Atlas_New_York",-0.0861783106884162
"398","Dryobates minor","Birds_atlas_EBBA",0
"399","Dryocopus martius","Birds_Atlas_Czechia",0.041047855996743
"400","Dryocopus martius","Birds_atlas_EBBA",0
"401","Dryocopus martius","Birds_atlas_Japan",0.570755867725443
"402","Dryocopus pileatus","Birds_Atlas_New_York",0.251697580893475
"403","Dumetella carolinensis","Birds_Atlas_New_York",-0.0366559246624255
"404","Egretta caerulea","Birds_Atlas_New_York",-0.0538927731285541
"405","Egretta garzetta","Birds_Atlas_Czechia",2.39356357425324
"406","Egretta garzetta","Birds_atlas_EBBA",0
"407","Egretta garzetta","Birds_atlas_Japan",-0.866095865887388
"408","Egretta intermedia","Birds_atlas_Japan",-0.239712796653825
"409","Egretta sacra","Birds_atlas_Japan",-0.530447868737635
