"","verbatim_name","tp","cell_grouping","Total_area","Total_Ncells","occupancy_Ncells","AOO","relative_occupancy_Ncells","scale"
"951","Certhia familiaris",2,"2",83907.5085275841,176,176,83907.5085275841,1,0.03125
"952","Anas querquedula",2,"2",83907.5085275841,176,106,54018.7249502043,0.6,0.03125
"953","Cuculus canorus",1,"2",83907.5085275841,176,175,83773.6403648837,0.99,0.03125
"954","Locustella naevia",3,"2",89635.9803373288,185,173,86719.0101383318,0.94,0.03125
"955","Fringilla coelebs",1,"2",83907.5085275841,176,176,83907.5085275841,1,0.03125
"956","Lanius excubitor",2,"2",83907.5085275841,176,160,79388.8892038499,0.91,0.03125
"957","Phoenicurus ochruros",1,"2",83907.5085275841,176,176,83907.5085275841,1,0.03125
"958","Gallinula chloropus",1,"2",83907.5085275841,176,150,74830.6343410698,0.85,0.03125
"959","Acrocephalus scirpaceus",1,"2",83907.5085275841,176,151,76021.4699989467,0.86,0.03125
"960","Sylvia communis",1,"2",83907.5085275841,176,175,83773.6403648837,0.99,0.03125
"961","Phoenicurus phoenicurus",2,"2",83907.5085275841,176,174,83638.9876501104,0.99,0.03125
"962","Emberiza schoeniclus",1,"2",83907.5085275841,176,155,77520.10836809,0.88,0.03125
"963","Parus ater",2,"2",83907.5085275841,176,175,83775.5538987667,0.99,0.03125
"964","Sylvia borin",2,"2",83907.5085275841,176,172,83240.4119274607,0.98,0.03125
"965","Regulus ignicapillus",1,"2",83907.5085275841,176,148,73377.5012016174,0.84,0.03125
"966","Rallus aquaticus",2,"2",83907.5085275841,176,127,64568.8539406576,0.72,0.03125
"967","Tachybaptus ruficollis",1,"2",83907.5085275841,176,152,75787.1542843331,0.86,0.03125
"968","Cygnus olor",3,"2",89635.9803373288,185,150,77493.885191914,0.81,0.03125
"969","Parus cristatus",2,"2",83907.5085275841,176,163,79487.7363199255,0.93,0.03125
"970","Alcedo atthis",2,"2",83907.5085275841,176,165,81773.7013611931,0.94,0.03125
"971","Larus ridibundus",1,"2",83907.5085275841,176,138,70018.5208901689,0.78,0.03125
"972","Anas platyrhynchos",2,"2",83907.5085275841,176,173,83238.749878537,0.98,0.03125
"973","Falco subbuteo",1,"2",83907.5085275841,176,120,58748.2774827169,0.68,0.03125
"974","Rallus aquaticus",3,"2",89635.9803373288,185,122,63773.6356566687,0.66,0.03125
"975","Dendrocopos minor",1,"2",83907.5085275841,176,159,79377.4233801957,0.9,0.03125
"976","Carduelis flammea",2,"2",83907.5085275841,176,119,57944.5854532926,0.68,0.03125
"977","Aythya fuligula",2,"2",83907.5085275841,176,158,77907.8180808052,0.9,0.03125
"978","Charadrius dubius",3,"2",89635.9803373288,185,148,76182.3210293073,0.8,0.03125
"979","Nucifraga caryocatactes",2,"2",83907.5085275841,176,129,62507.2508383919,0.73,0.03125
"980","Actitis hypoleucos",3,"2",89635.9803373288,185,103,53480.514477783,0.56,0.03125
"981","Emberiza citrinella",1,"2",83907.5085275841,176,176,83907.5085275841,1,0.03125
"982","Turdus viscivorus",2,"2",83907.5085275841,176,173,83116.0567016644,0.98,0.03125
"983","Cuculus canorus",2,"2",83907.5085275841,176,176,83907.5085275841,1,0.03125
"984","Perdix perdix",1,"2",83907.5085275841,176,165,80985.9935198895,0.94,0.03125
"985","Phylloscopus sibilatrix",3,"2",89635.9803373288,185,180,88705.1849838949,0.97,0.03125
"986","Corvus monedula",1,"2",83907.5085275841,176,150,75106.8584317618,0.85,0.03125
"987","Saxicola rubetra",1,"2",83907.5085275841,176,172,82820.8929763624,0.98,0.03125
"988","Chlidonias niger",1,"2",83907.5085275841,176,49,25825.9058326451,0.28,0.03125
"989","Columba livia",3,"2",89635.9803373288,185,165,84021.3052827852,0.89,0.03125
"990","Muscicapa striata",1,"2",83907.5085275841,176,172,82979.7292128555,0.98,0.03125
"991","Strix aluco",2,"2",83907.5085275841,176,172,83376.1811926927,0.98,0.03125
"992","Columba livia",1,"2",83907.5085275841,176,163,81086.1475671954,0.93,0.03125
"993","Remiz pendulinus",2,"2",83907.5085275841,176,122,62141.924791337,0.69,0.03125
"994","Turdus merula",1,"2",83907.5085275841,176,176,83907.5085275841,1,0.03125
"995","Streptopelia decaocto",2,"2",83907.5085275841,176,171,83235.4898487802,0.97,0.03125
"996","Vanellus vanellus",3,"2",89635.9803373288,185,161,81796.1423347345,0.87,0.03125
"997","Aegithalos caudatus",2,"2",83907.5085275841,176,173,83508.1358215101,0.98,0.03125
"998","Aythya ferina",3,"2",89635.9803373288,185,114,60316.4424975514,0.62,0.03125
"999","Prunella modularis",1,"2",83907.5085275841,176,174,83641.6857949498,0.99,0.03125
